Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000008, 0.000401, +0.000196
0.255000, 0.000016, 0.000685, +0.000334
0.260000, 0.000031, 0.001130, +0.000550
0.265000, 0.000057, 0.001805, +0.000874
0.270000, 0.000102, 0.002793, +0.001345
0.275000, 0.000178, 0.004192, +0.002007
0.280000, 0.000303, 0.006113, +0.002905
0.285000, 0.000500, 0.008670, +0.004085
0.290000, 0.000804, 0.011979, +0.005588
0.295000, 0.001258, 0.016148, +0.007445
0.300000, 0.001919, 0.021268, +0.009675
0.305000, 0.002852, 0.027410, +0.012279
0.310000, 0.004135, 0.034618, +0.015242
0.315000, 0.005852, 0.042905, +0.018526
0.320000, 0.008091, 0.052249, +0.022079
0.325000, 0.010938, 0.062597, +0.025829
0.330000, 0.014471, 0.073863, +0.029696
0.335000, 0.018757, 0.085936, +0.033589
0.340000, 0.023848, 0.098682, +0.037417
0.345000, 0.029775, 0.111958, +0.041092
0.350000, 0.036554, 0.125618, +0.044532
0.355000, 0.044187, 0.139523, +0.047668
0.360000, 0.052663, 0.153551, +0.050444
0.365000, 0.061971, 0.167599, +0.052814
0.370000, 0.072095, 0.181590, +0.054747
0.375000, 0.083028, 0.195464, +0.056218
0.380000, 0.094765, 0.207941, +0.056588
0.385000, 0.107308, 0.216546, +0.054619
0.390000, 0.120662, 0.225367, +0.052352
0.395000, 0.134826, 0.234416, +0.049795
0.400000, 0.149795, 0.243707, +0.046956
0.405000, 0.165547, 0.253255, +0.043854
0.410000, 0.182045, 0.263075, +0.040515
0.415000, 0.199231, 0.273182, +0.036975
0.420000, 0.217027, 0.283592, +0.033282
0.425000, 0.235336, 0.294319, +0.029491
0.430000, 0.254048, 0.305375, +0.025664
0.435000, 0.273044, 0.316771, +0.021864
0.440000, 0.292199, 0.328512, +0.018156
0.445000, 0.311396, 0.340600, +0.014602
0.450000, 0.330523, 0.353035, +0.011256
0.455000, 0.349483, 0.365812, +0.008165
0.460000, 0.368196, 0.378924, +0.005364
0.465000, 0.386602, 0.392361, +0.002880
0.470000, 0.404657, 0.406112, +0.000727
0.475000, 0.422337, 0.420168, -0.001085
0.480000, 0.439633, 0.434520, -0.002557
0.485000, 0.456547, 0.449164, -0.003692
0.490000, 0.473091, 0.464099, -0.004496
0.495000, 0.489281, 0.479329, -0.004976
0.500000, 0.505136, 0.494864, -0.005136
0.505000, 0.520671, 0.510719, -0.004976
0.510000, 0.535901, 0.526909, -0.004496
0.515000, 0.550836, 0.543453, -0.003692
0.520000, 0.565480, 0.560367, -0.002557
0.525000, 0.579832, 0.577663, -0.001085
0.530000, 0.593888, 0.595343, +0.000727
0.535000, 0.607639, 0.613398, +0.002880
0.540000, 0.621076, 0.631804, +0.005364
0.545000, 0.634188, 0.650517, +0.008165
0.550000, 0.646965, 0.669477, +0.011256
0.555000, 0.659400, 0.688604, +0.014602
0.560000, 0.671488, 0.707801, +0.018156
0.565000, 0.683229, 0.726956, +0.021864
0.570000, 0.694625, 0.745952, +0.025664
0.575000, 0.705681, 0.764664, +0.029491
0.580000, 0.716408, 0.782973, +0.033282
0.585000, 0.726818, 0.800769, +0.036975
0.590000, 0.736925, 0.817955, +0.040515
0.595000, 0.746745, 0.834453, +0.043854
0.600000, 0.756293, 0.850205, +0.046956
0.605000, 0.765584, 0.865174, +0.049795
0.610000, 0.774633, 0.879338, +0.052352
0.615000, 0.783454, 0.892692, +0.054619
0.620000, 0.792059, 0.905235, +0.056588
0.625000, 0.804536, 0.916972, +0.056218
0.630000, 0.818410, 0.927905, +0.054747
0.635000, 0.832401, 0.938029, +0.052814
0.640000, 0.846449, 0.947337, +0.050444
0.645000, 0.860477, 0.955813, +0.047668
0.650000, 0.874382, 0.963446, +0.044532
0.655000, 0.888042, 0.970225, +0.041092
0.660000, 0.901318, 0.976152, +0.037417
0.665000, 0.914064, 0.981243, +0.033589
0.670000, 0.926137, 0.985529, +0.029696
0.675000, 0.937403, 0.989062, +0.025829
0.680000, 0.947751, 0.991909, +0.022079
0.685000, 0.957095, 0.994148, +0.018526
0.690000, 0.965382, 0.995865, +0.015242
0.695000, 0.972590, 0.997148, +0.012279
0.700000, 0.978732, 0.998081, +0.009675
0.705000, 0.983852, 0.998742, +0.007445
0.710000, 0.988021, 0.999196, +0.005588
0.715000, 0.991330, 0.999500, +0.004085
0.720000, 0.993887, 0.999697, +0.002905
0.725000, 0.995808, 0.999822, +0.002007
0.730000, 0.997207, 0.999898, +0.001345
0.735000, 0.998195, 0.999943, +0.000874
0.740000, 0.998870, 0.999969, +0.000550
0.745000, 0.999315, 0.999984, +0.000334
0.750000, 0.999599, 0.999992, +0.000196
