Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000008, 0.000401, +0.000196, 0.000000, 0.035414, 0.018868
0.255000, 0.000016, 0.000685, +0.000334, 0.000000, 0.039107, 0.037736
0.260000, 0.000031, 0.001130, +0.000550, 0.000000, 0.042930, 0.056604
0.265000, 0.000057, 0.001805, +0.000874, 0.000000, 0.046869, 0.056604
0.270000, 0.000102, 0.002793, +0.001345, 0.000000, 0.050918, 0.056604
0.275000, 0.000178, 0.004192, +0.002007, 0.000000, 0.055073, 0.056604
0.280000, 0.000303, 0.006113, +0.002905, 0.000000, 0.059334, 0.056604
0.285000, 0.000500, 0.008670, +0.004085, 0.000000, 0.063707, 0.056604
0.290000, 0.000804, 0.011979, +0.005588, 0.000000, 0.068206, 0.075472
0.295000, 0.001258, 0.016148, +0.007445, 0.000000, 0.072847, 0.075472
0.300000, 0.001919, 0.021268, +0.009675, 0.000000, 0.077651, 0.075472
0.305000, 0.002852, 0.027410, +0.012279, 0.000000, 0.082645, 0.075472
0.310000, 0.004135, 0.034618, +0.015242, 0.000000, 0.087859, 0.075472
0.315000, 0.005852, 0.042905, +0.018526, 0.000000, 0.093323, 0.075472
0.320000, 0.008091, 0.052249, +0.022079, 0.000000, 0.099073, 0.075472
0.325000, 0.010938, 0.062597, +0.025829, 0.000000, 0.105142, 0.094340
0.330000, 0.014471, 0.073863, +0.029696, 0.000000, 0.111565, 0.113208
0.335000, 0.018757, 0.085936, +0.033589, 0.000000, 0.118376, 0.113208
0.340000, 0.023848, 0.098682, +0.037417, 0.000000, 0.125605, 0.113208
0.345000, 0.029775, 0.111958, +0.041092, 0.000000, 0.133279, 0.113208
0.350000, 0.036554, 0.125618, +0.044532, 0.018868, 0.141423, 0.113208
0.355000, 0.044187, 0.139523, +0.047668, 0.018868, 0.150053, 0.132075
0.360000, 0.052663, 0.153551, +0.050444, 0.056604, 0.159182, 0.132075
0.365000, 0.061971, 0.167599, +0.052814, 0.056604, 0.168812, 0.150943
0.370000, 0.072095, 0.181590, +0.054747, 0.056604, 0.178941, 0.150943
0.375000, 0.083028, 0.195464, +0.056218, 0.075472, 0.189554, 0.169811
0.380000, 0.094765, 0.207941, +0.056588, 0.075472, 0.200630, 0.169811
0.385000, 0.107308, 0.216546, +0.054619, 0.075472, 0.212138, 0.188679
0.390000, 0.120662, 0.225367, +0.052352, 0.075472, 0.224040, 0.207547
0.395000, 0.134826, 0.234416, +0.049795, 0.113208, 0.236290, 0.207547
0.400000, 0.149795, 0.243707, +0.046956, 0.113208, 0.248837, 0.226415
0.405000, 0.165547, 0.253255, +0.043854, 0.132075, 0.261626, 0.264151
0.410000, 0.182045, 0.263075, +0.040515, 0.150943, 0.274600, 0.283019
0.415000, 0.199231, 0.273182, +0.036975, 0.169811, 0.287705, 0.301887
0.420000, 0.217027, 0.283592, +0.033282, 0.169811, 0.300885, 0.301887
0.425000, 0.235336, 0.294319, +0.029491, 0.207547, 0.314092, 0.339623
0.430000, 0.254048, 0.305375, +0.025664, 0.226415, 0.327282, 0.339623
0.435000, 0.273044, 0.316771, +0.021864, 0.264151, 0.340421, 0.358491
0.440000, 0.292199, 0.328512, +0.018156, 0.301887, 0.353482, 0.358491
0.445000, 0.311396, 0.340600, +0.014602, 0.320755, 0.366446, 0.358491
0.450000, 0.330523, 0.353035, +0.011256, 0.339623, 0.379305, 0.396226
0.455000, 0.349483, 0.365812, +0.008165, 0.358491, 0.392059, 0.396226
0.460000, 0.368196, 0.378924, +0.005364, 0.358491, 0.404714, 0.415094
0.465000, 0.386602, 0.392361, +0.002880, 0.396226, 0.417284, 0.415094
0.470000, 0.404657, 0.406112, +0.000727, 0.415094, 0.429789, 0.433962
0.475000, 0.422337, 0.420168, -0.001085, 0.433962, 0.442250, 0.433962
0.480000, 0.439633, 0.434520, -0.002557, 0.433962, 0.454692, 0.452830
0.485000, 0.456547, 0.449164, -0.003692, 0.452830, 0.467139, 0.471698
0.490000, 0.473091, 0.464099, -0.004496, 0.471698, 0.479613, 0.471698
0.495000, 0.489281, 0.479329, -0.004976, 0.490566, 0.492132, 0.490566
0.500000, 0.505136, 0.494864, -0.005136, 0.509434, 0.504709, 0.509434
0.505000, 0.520671, 0.510719, -0.004976, 0.509434, 0.517353, 0.509434
0.510000, 0.535901, 0.526909, -0.004496, 0.509434, 0.530063, 0.509434
0.515000, 0.550836, 0.543453, -0.003692, 0.528302, 0.542833, 0.528302
