DISTRICT,VPI,TWO-PARTY
CD 1,0.475616,227894
CD 2,0.713606,247205
CD 3,0.611751,173677
CD 4,0.504942,258277
CD 5,0.706465,204933
CD 6,0.762878,165906
CD 7,0.607751,218902
CD 8,0.424152,143774
CD 9,0.610807,151100
CD 10,0.565883,150176
CD 11,0.669066,215043
CD 12,0.859244,205775
CD 13,0.895345,207911
CD 14,0.740907,180063
CD 15,0.665054,174816
CD 16,0.602286,103499
CD 17,0.706140,153352
CD 18,0.664998,226097
CD 19,0.667246,151370
CD 20,0.701192,164731
CD 21,0.570223,82957
CD 22,0.447515,159360
CD 23,0.390804,158087
CD 24,0.538103,214866
CD 25,0.432524,165755
CD 26,0.518868,195225
CD 27,0.623597,176986
CD 28,0.690918,169890
CD 29,0.748393,93952
CD 30,0.636662,184869
CD 31,0.553884,130150
CD 32,0.632760,126563
CD 33,0.600269,240579
CD 34,0.831994,87628
CD 35,0.651900,95823
CD 36,0.491616,149391
CD 37,0.853734,165972
CD 38,0.633025,145078
CD 39,0.446320,176024
CD 40,0.793346,80042
CD 41,0.578679,111027
CD 42,0.396995,146881
CD 43,0.760493,136397
CD 44,0.837671,105206
CD 45,0.381398,212151
CD 46,0.551800,98311
CD 47,0.565407,160916
CD 48,0.392622,214718
CD 49,0.452318,200430
CD 50,0.398094,188390
CD 51,0.698672,99128
CD 52,0.529980,214461
CD 53,0.631338,184817
