CA-2012, 2010C, Definition
state<V>, 0.604100, Statewide fractional D vote
t-bias, -0.007546, state<V> minus average district D vote
S-fptp, 41, Seats from first past the post
S<V>est, 40.541393, Seats at state<V>
S50est, 27.961727, Seats at V=0.5
BS<V>, 3.79868, % Geometric Seat Bias at statewide<V>
BS50, -2.757976, % Simple Bias at V=0.5
BV<V>, 1.218067, % Vote Bias at statewide<V>
BV50, -0.799668, % Vote Bias at V=0.5
R<V>, 1.534540, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.421210, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.732242, Number of responsive districts at statewide <V>
RD50, 16.257737, Number of responsive districts at V=0.5
EG<V>fpp, -6.538491, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -5.673195, Efficiency Gap at state<V> using estimated S(V)
