DISTRICT,VPI,TWO-PARTY
CD 1,0.412287,246593
CD 2,0.680455,276243
CD 3,0.537442,184565
CD 4,0.406845,274407
CD 5,0.669466,223251
CD 6,0.700764,172556
CD 7,0.526407,225979
CD 8,0.407184,152479
CD 9,0.544797,160179
CD 10,0.471678,156431
CD 11,0.641374,234662
CD 12,0.824032,238544
CD 13,0.881464,231441
CD 14,0.699575,200456
CD 15,0.623940,192259
CD 16,0.541062,107594
CD 17,0.643873,171863
CD 18,0.631535,253815
CD 19,0.643930,168183
CD 20,0.668915,180543
CD 21,0.520956,86180
CD 22,0.377303,164711
CD 23,0.363545,166535
CD 24,0.503466,227209
CD 25,0.427236,176001
CD 26,0.494411,205770
CD 27,0.583730,190367
CD 28,0.669011,183867
CD 29,0.731273,105103
CD 30,0.607092,201065
CD 31,0.539512,139769
CD 32,0.619017,138581
CD 33,0.572019,259577
CD 34,0.811942,97305
CD 35,0.635907,104001
CD 36,0.466323,158504
CD 37,0.833803,176176
CD 38,0.615184,158998
CD 39,0.413678,189529
CD 40,0.786192,90165
CD 41,0.565110,118308
CD 42,0.382713,154667
CD 43,0.734645,145315
CD 44,0.822690,114562
CD 45,0.362446,228671
CD 46,0.552213,108775
CD 47,0.541784,174444
CD 48,0.374643,234669
CD 49,0.401667,216926
CD 50,0.336361,199717
CD 51,0.647589,104625
CD 52,0.457474,233657
CD 53,0.564422,196626
