Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000076, 0.000068, -0.000004
0.255000, 0.000138, 0.000127, -0.000006
0.260000, 0.000246, 0.000230, -0.000008
0.265000, 0.000423, 0.000405, -0.000009
0.270000, 0.000707, 0.000692, -0.000007
0.275000, 0.001145, 0.001148, +0.000002
0.280000, 0.001799, 0.001849, +0.000025
0.285000, 0.002749, 0.002895, +0.000073
0.290000, 0.004082, 0.004407, +0.000162
0.295000, 0.005900, 0.006529, +0.000314
0.300000, 0.008304, 0.009420, +0.000558
0.305000, 0.011394, 0.013247, +0.000927
0.310000, 0.015254, 0.018172, +0.001459
0.315000, 0.019947, 0.024337, +0.002195
0.320000, 0.025505, 0.031850, +0.003172
0.325000, 0.031926, 0.040768, +0.004421
0.330000, 0.039169, 0.051090, +0.005961
0.335000, 0.047164, 0.062752, +0.007794
0.340000, 0.055812, 0.075620, +0.009904
0.345000, 0.065004, 0.089507, +0.012251
0.350000, 0.074631, 0.104179, +0.014774
0.355000, 0.084596, 0.119378, +0.017391
0.360000, 0.094831, 0.134836, +0.020003
0.365000, 0.105300, 0.150299, +0.022499
0.370000, 0.116007, 0.165544, +0.024768
0.375000, 0.126989, 0.180391, +0.026701
0.380000, 0.138311, 0.194715, +0.028202
0.385000, 0.150058, 0.208441, +0.029192
0.390000, 0.162319, 0.221554, +0.029618
0.395000, 0.175178, 0.234081, +0.029452
0.400000, 0.188701, 0.246090, +0.028695
0.405000, 0.202929, 0.257675, +0.027373
0.410000, 0.217873, 0.268944, +0.025536
0.415000, 0.233511, 0.280015, +0.023252
0.420000, 0.249789, 0.290998, +0.020604
0.425000, 0.266628, 0.301995, +0.017683
0.430000, 0.283927, 0.313092, +0.014583
0.435000, 0.301568, 0.323402, +0.010917
0.440000, 0.319427, 0.332869, +0.006721
0.445000, 0.337381, 0.342822, +0.002721
0.450000, 0.355311, 0.353264, -0.001024
0.455000, 0.373112, 0.364190, -0.004461
0.460000, 0.390696, 0.375587, -0.007554
0.465000, 0.407991, 0.387436, -0.010277
0.470000, 0.424948, 0.399715, -0.012617
0.475000, 0.441537, 0.412397, -0.014570
0.480000, 0.457745, 0.425457, -0.016144
0.485000, 0.473571, 0.438874, -0.017348
0.490000, 0.489023, 0.452631, -0.018196
0.495000, 0.504117, 0.466718, -0.018699
0.500000, 0.518866, 0.481134, -0.018866
0.505000, 0.533282, 0.495883, -0.018699
0.510000, 0.547369, 0.510977, -0.018196
0.515000, 0.561126, 0.526429, -0.017348
0.520000, 0.574543, 0.542255, -0.016144
0.525000, 0.587603, 0.558463, -0.014570
0.530000, 0.600285, 0.575052, -0.012617
0.535000, 0.612564, 0.592009, -0.010277
0.540000, 0.624413, 0.609304, -0.007554
0.545000, 0.635810, 0.626888, -0.004461
0.550000, 0.646736, 0.644689, -0.001024
0.555000, 0.657178, 0.662619, +0.002721
0.560000, 0.667131, 0.680573, +0.006721
0.565000, 0.676598, 0.698432, +0.010917
0.570000, 0.686908, 0.716073, +0.014583
0.575000, 0.698005, 0.733372, +0.017683
0.580000, 0.709002, 0.750211, +0.020604
0.585000, 0.719985, 0.766489, +0.023252
0.590000, 0.731056, 0.782127, +0.025536
0.595000, 0.742325, 0.797071, +0.027373
0.600000, 0.753910, 0.811299, +0.028695
0.605000, 0.765919, 0.824822, +0.029452
0.610000, 0.778446, 0.837681, +0.029618
0.615000, 0.791559, 0.849942, +0.029192
0.620000, 0.805285, 0.861689, +0.028202
0.625000, 0.819609, 0.873011, +0.026701
0.630000, 0.834456, 0.883993, +0.024768
0.635000, 0.849701, 0.894700, +0.022499
0.640000, 0.865164, 0.905169, +0.020003
0.645000, 0.880622, 0.915404, +0.017391
0.650000, 0.895821, 0.925369, +0.014774
0.655000, 0.910493, 0.934996, +0.012251
0.660000, 0.924380, 0.944188, +0.009904
0.665000, 0.937248, 0.952836, +0.007794
0.670000, 0.948910, 0.960831, +0.005961
0.675000, 0.959232, 0.968074, +0.004421
0.680000, 0.968150, 0.974495, +0.003172
0.685000, 0.975663, 0.980053, +0.002195
0.690000, 0.981828, 0.984746, +0.001459
0.695000, 0.986753, 0.988606, +0.000927
0.700000, 0.990580, 0.991696, +0.000558
0.705000, 0.993471, 0.994100, +0.000314
0.710000, 0.995593, 0.995918, +0.000162
0.715000, 0.997105, 0.997251, +0.000073
0.720000, 0.998151, 0.998201, +0.000025
0.725000, 0.998852, 0.998855, +0.000002
0.730000, 0.999308, 0.999293, -0.000007
0.735000, 0.999595, 0.999577, -0.000009
0.740000, 0.999770, 0.999754, -0.000008
0.745000, 0.999873, 0.999862, -0.000006
0.750000, 0.999932, 0.999924, -0.000004
