Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000056, 0.000139, +0.000042
0.255000, 0.000104, 0.000254, +0.000075
0.260000, 0.000188, 0.000452, +0.000132
0.265000, 0.000328, 0.000777, +0.000225
0.270000, 0.000558, 0.001297, +0.000369
0.275000, 0.000919, 0.002097, +0.000589
0.280000, 0.001471, 0.003293, +0.000911
0.285000, 0.002286, 0.005019, +0.001366
0.290000, 0.003454, 0.007436, +0.001991
0.295000, 0.005074, 0.010714, +0.002820
0.300000, 0.007256, 0.015027, +0.003886
0.305000, 0.010106, 0.020534, +0.005214
0.310000, 0.013724, 0.027362, +0.006819
0.315000, 0.018187, 0.035593, +0.008703
0.320000, 0.023545, 0.045244, +0.010849
0.325000, 0.029812, 0.056265, +0.013226
0.330000, 0.036961, 0.068531, +0.015785
0.335000, 0.044934, 0.081853, +0.018459
0.340000, 0.053641, 0.095988, +0.021174
0.345000, 0.062979, 0.110663, +0.023842
0.350000, 0.072841, 0.125590, +0.026374
0.355000, 0.083136, 0.140496, +0.028680
0.360000, 0.093795, 0.155142, +0.030673
0.365000, 0.104788, 0.169338, +0.032275
0.370000, 0.116118, 0.182960, +0.033421
0.375000, 0.127824, 0.195946, +0.034061
0.380000, 0.139971, 0.208302, +0.034166
0.385000, 0.152638, 0.220088, +0.033725
0.390000, 0.165907, 0.231409, +0.032751
0.395000, 0.179847, 0.242396, +0.031275
0.400000, 0.194503, 0.253193, +0.029345
0.405000, 0.209891, 0.263938, +0.027023
0.410000, 0.225988, 0.274754, +0.024383
0.415000, 0.242736, 0.285739, +0.021501
0.420000, 0.260044, 0.295960, +0.017958
0.425000, 0.277791, 0.304837, +0.013523
0.430000, 0.295839, 0.314143, +0.009152
0.435000, 0.314039, 0.323870, +0.004916
0.440000, 0.332242, 0.334004, +0.000881
0.445000, 0.350309, 0.344524, -0.002893
0.450000, 0.368116, 0.355403, -0.006356
0.455000, 0.385561, 0.366613, -0.009474
0.460000, 0.402570, 0.378123, -0.012223
0.465000, 0.419093, 0.389900, -0.014596
0.470000, 0.435108, 0.401916, -0.016596
0.475000, 0.450619, 0.414148, -0.018235
0.480000, 0.465645, 0.426578, -0.019533
0.485000, 0.480222, 0.439198, -0.020512
0.490000, 0.494396, 0.452010, -0.021193
0.495000, 0.508215, 0.465027, -0.021594
0.500000, 0.521726, 0.478274, -0.021726
0.505000, 0.534973, 0.491785, -0.021594
0.510000, 0.547990, 0.505604, -0.021193
0.515000, 0.560802, 0.519778, -0.020512
0.520000, 0.573422, 0.534355, -0.019533
0.525000, 0.585852, 0.549381, -0.018235
0.530000, 0.598084, 0.564892, -0.016596
0.535000, 0.610100, 0.580907, -0.014596
0.540000, 0.621877, 0.597430, -0.012223
0.545000, 0.633387, 0.614439, -0.009474
0.550000, 0.644597, 0.631884, -0.006356
0.555000, 0.655476, 0.649691, -0.002893
0.560000, 0.665996, 0.667758, +0.000881
0.565000, 0.676130, 0.685961, +0.004916
0.570000, 0.685857, 0.704161, +0.009152
0.575000, 0.695163, 0.722209, +0.013523
0.580000, 0.704040, 0.739956, +0.017958
0.585000, 0.714261, 0.757264, +0.021501
0.590000, 0.725246, 0.774012, +0.024383
0.595000, 0.736062, 0.790109, +0.027023
0.600000, 0.746807, 0.805497, +0.029345
0.605000, 0.757604, 0.820153, +0.031275
0.610000, 0.768591, 0.834093, +0.032751
0.615000, 0.779912, 0.847362, +0.033725
0.620000, 0.791698, 0.860029, +0.034166
0.625000, 0.804054, 0.872176, +0.034061
0.630000, 0.817040, 0.883882, +0.033421
0.635000, 0.830662, 0.895212, +0.032275
0.640000, 0.844858, 0.906205, +0.030673
0.645000, 0.859504, 0.916864, +0.028680
0.650000, 0.874410, 0.927159, +0.026374
0.655000, 0.889337, 0.937021, +0.023842
0.660000, 0.904012, 0.946359, +0.021174
0.665000, 0.918147, 0.955066, +0.018459
0.670000, 0.931469, 0.963039, +0.015785
0.675000, 0.943735, 0.970188, +0.013226
0.680000, 0.954756, 0.976455, +0.010849
0.685000, 0.964407, 0.981813, +0.008703
0.690000, 0.972638, 0.986276, +0.006819
0.695000, 0.979466, 0.989894, +0.005214
0.700000, 0.984973, 0.992744, +0.003886
0.705000, 0.989286, 0.994926, +0.002820
0.710000, 0.992564, 0.996546, +0.001991
0.715000, 0.994981, 0.997714, +0.001366
0.720000, 0.996707, 0.998529, +0.000911
0.725000, 0.997903, 0.999081, +0.000589
0.730000, 0.998703, 0.999442, +0.000369
0.735000, 0.999223, 0.999672, +0.000225
0.740000, 0.999548, 0.999812, +0.000132
0.745000, 0.999746, 0.999896, +0.000075
0.750000, 0.999861, 0.999944, +0.000042
