Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000016, 0.000164, +0.000074, 0.000000, 0.047705, 0.056604
0.255000, 0.000030, 0.000299, +0.000135, 0.000000, 0.052359, 0.056604
0.260000, 0.000057, 0.000528, +0.000235, 0.000000, 0.057127, 0.056604
0.265000, 0.000104, 0.000901, +0.000399, 0.000000, 0.061981, 0.056604
0.270000, 0.000183, 0.001491, +0.000654, 0.000000, 0.066893, 0.075472
0.275000, 0.000315, 0.002394, +0.001040, 0.000000, 0.071843, 0.075472
0.280000, 0.000525, 0.003728, +0.001601, 0.000000, 0.076814, 0.094340
0.285000, 0.000853, 0.005639, +0.002393, 0.000000, 0.081796, 0.094340
0.290000, 0.001349, 0.008289, +0.003470, 0.000000, 0.086786, 0.094340
0.295000, 0.002074, 0.011851, +0.004888, 0.000000, 0.091790, 0.094340
0.300000, 0.003107, 0.016496, +0.006694, 0.000000, 0.096823, 0.094340
0.305000, 0.004536, 0.022374, +0.008919, 0.000000, 0.101907, 0.113208
0.310000, 0.006459, 0.029600, +0.011570, 0.000000, 0.107071, 0.113208
0.315000, 0.008976, 0.038236, +0.014630, 0.000000, 0.112355, 0.113208
0.320000, 0.012184, 0.048278, +0.018047, 0.000000, 0.117800, 0.113208
0.325000, 0.016168, 0.059652, +0.021742, 0.000000, 0.123456, 0.113208
0.330000, 0.020996, 0.072208, +0.025606, 0.000000, 0.129373, 0.113208
0.335000, 0.026710, 0.085738, +0.029514, 0.000000, 0.135607, 0.113208
0.340000, 0.033326, 0.099980, +0.033327, 0.018868, 0.142210, 0.113208
0.345000, 0.040828, 0.114648, +0.036910, 0.018868, 0.149234, 0.132075
0.350000, 0.049181, 0.129448, +0.040134, 0.018868, 0.156730, 0.150943
0.355000, 0.058329, 0.144108, +0.042890, 0.056604, 0.164741, 0.150943
0.360000, 0.068210, 0.158393, +0.045091, 0.056604, 0.173303, 0.169811
0.365000, 0.078764, 0.172122, +0.046679, 0.075472, 0.182444, 0.169811
0.370000, 0.089942, 0.185181, +0.047620, 0.094340, 0.192182, 0.169811
0.375000, 0.101713, 0.197523, +0.047905, 0.094340, 0.202523, 0.169811
0.380000, 0.114070, 0.209165, +0.047548, 0.113208, 0.213457, 0.169811
0.385000, 0.127025, 0.220179, +0.046577, 0.113208, 0.224966, 0.169811
0.390000, 0.140607, 0.230677, +0.045035, 0.113208, 0.237015, 0.169811
0.395000, 0.154854, 0.237860, +0.041503, 0.113208, 0.249556, 0.226415
0.400000, 0.169804, 0.244763, +0.037480, 0.150943, 0.262532, 0.264151
0.405000, 0.185483, 0.251945, +0.033231, 0.150943, 0.275875, 0.264151
0.410000, 0.201899, 0.259453, +0.028777, 0.169811, 0.289512, 0.301887
0.415000, 0.219036, 0.267330, +0.024147, 0.169811, 0.303362, 0.301887
0.420000, 0.236844, 0.275616, +0.019386, 0.169811, 0.317349, 0.320755
0.425000, 0.255249, 0.284345, +0.014548, 0.207547, 0.331396, 0.320755
0.430000, 0.274149, 0.293546, +0.009699, 0.264151, 0.345434, 0.358491
0.435000, 0.293419, 0.303237, +0.004909, 0.301887, 0.359400, 0.377358
0.440000, 0.312926, 0.313433, +0.000254, 0.301887, 0.373247, 0.377358
0.445000, 0.332529, 0.324136, -0.004196, 0.320755, 0.386938, 0.396226
0.450000, 0.352093, 0.335344, -0.008374, 0.377358, 0.400450, 0.433962
0.455000, 0.371496, 0.347046, -0.012225, 0.377358, 0.413776, 0.452830
0.460000, 0.390632, 0.359224, -0.015704, 0.415094, 0.426920, 0.452830
0.465000, 0.409418, 0.371857, -0.018780, 0.433962, 0.439899, 0.452830
0.470000, 0.427794, 0.384923, -0.021435, 0.452830, 0.452741, 0.452830
0.475000, 0.445723, 0.398397, -0.023663, 0.452830, 0.465477, 0.452830
0.480000, 0.463191, 0.412259, -0.025466, 0.452830, 0.478144, 0.471698
