DISTRICT,VPI,TWO-PARTY
CD 1,0.415858,294281
CD 2,0.719143,320120
CD 3,0.557549,235382
CD 4,0.405864,328861
CD 5,0.717533,278627
CD 6,0.709722,220003
CD 7,0.520175,279035
CD 8,0.428214,206857
CD 9,0.590387,215821
CD 10,0.518476,210083
CD 11,0.693031,293925
CD 12,0.870735,309464
CD 13,0.907046,295567
CD 14,0.759071,263932
CD 15,0.695095,254991
CD 16,0.598013,148781
CD 17,0.737934,222055
CD 18,0.702269,310539
CD 19,0.728652,227173
CD 20,0.730201,231383
CD 21,0.556504,117063
CD 22,0.423561,217218
CD 23,0.370014,221935
CD 24,0.556428,284168
CD 25,0.490736,245959
CD 26,0.552492,267430
CD 27,0.641478,251806
CD 28,0.725958,258198
CD 29,0.789629,163777
CD 30,0.670193,277981
CD 31,0.584762,201865
CD 32,0.667541,199330
CD 33,0.622379,337431
CD 34,0.854344,149249
CD 35,0.687954,158416
CD 36,0.516162,209070
CD 37,0.869709,255636
CD 38,0.663082,224921
CD 39,0.481319,257850
CD 40,0.831424,139083
CD 41,0.628825,181354
CD 42,0.422631,227650
CD 43,0.795778,217827
CD 44,0.861488,180454
CD 45,0.439896,302603
CD 46,0.629265,151731
CD 47,0.615770,239466
CD 48,0.440225,302352
CD 49,0.466339,288303
CD 50,0.383372,267753
CD 51,0.706153,163718
CD 52,0.532807,307637
CD 53,0.627824,278129
