,08P,10-12D,10AG,10C,10G,10SoS,10T,12P,12S,Mean,Standard Deviation,mean,sem,R mean,R,B_GS,,,
,,,,,,,,,,,std,,,,SEM,,SEM,,
0.25,8E-6,2.5E-5,4.5E-4,1.9E-5,7.6E-5,5.6E-5,1.6E-5,1.5E-5,1.1E-5,7.51111111111111E-5,1.42429319703182E-4,7.51111111111111E-5,4.74764399010605E-5,2.70666666666641E-4,7.39705271637929E-5,0.499902222222222,6.07234835324267E-5,0.59209,0.736
0.255,1.6E-5,4.8E-5,7.61E-4,3.7E-5,1.38E-4,1.04E-4,3E-5,2.9E-5,2.1E-5,1.31555555555556E-4,2.39616939672006E-4,1.31555555555556E-4,7.9872313224002E-5,4.73222222222236E-4,1.25003086381647E-4,0.499829166666667,1.02437699802824E-4,0.59209,0.471
0.26,3.1E-5,8.8E-5,0.001242,6.8E-5,2.46E-4,1.88E-4,5.7E-5,5.4E-5,4E-5,2.23777777777778E-4,3.88720586597166E-4,2.23777777777778E-4,1.29573528865722E-4,8.01666666666701E-4,2.03923528695317E-4,0.499711055555556,1.6674852878052E-4,,
0.265,5.7E-5,1.59E-4,0.001961,1.23E-4,4.23E-4,3.28E-4,1.04E-4,1E-4,7.4E-5,3.69888888888889E-4,6.09366975730644E-4,3.69888888888889E-4,2.03122325243548E-4,0.00131511111111116,3.21680243428697E-4,0.499527388888889,2.62401284336122E-4,,
0.27,1.02E-4,2.76E-4,0.002997,2.16E-4,7.07E-4,5.58E-4,1.83E-4,1.77E-4,1.32E-4,5.94222222222222E-4,9.24040012361177E-4,5.94222222222222E-4,3.08013337453726E-4,0.00209244444444445,4.90245718183777E-4,0.499250888888889,3.99129527818751E-4,,
0.275,1.78E-4,4.67E-4,0.004439,3.69E-4,0.001145,9.19E-4,3.15E-4,3.07E-4,2.3E-4,9.29888888888889E-4,0.00135602244122696,9.29888888888889E-4,4.52007480408985E-4,0.00323133333333336,7.22993007496527E-4,0.498849277777778,5.87500243952756E-4,,
0.28,3.03E-4,7.67E-4,0.006379,6.12E-4,0.001799,0.001471,5.25E-4,5.15E-4,3.88E-4,0.00141766666666667,0.00192840316064873,0.00141766666666667,6.42801053549576E-4,0.00484833333333323,0.00103281668535881,0.498284666666667,8.37808869454194E-4,,
0.285,5E-4,0.001225,0.008906,9.87E-4,0.002749,0.002286,8.53E-4,8.43E-4,6.38E-4,0.00210966666666667,0.00266020412750601,0.00210966666666667,8.86734709168669E-4,0.00707488888888885,0.00143040923092004,0.497517388888889,0.00115857197004435,,
0.29,8.04E-4,0.001903,0.012097,0.001548,0.004082,0.003454,0.001349,0.001341,0.001021,0.00306655555555556,0.00356407481371783,0.00306655555555556,0.00118802493790594,0.0100512222222221,0.00192247235768149,0.496507666666667,0.00155524864779372,,
0.295,0.001258,0.002876,0.016006,0.002363,0.0059,0.005074,0.002074,0.002076,0.00159,0.00435744444444444,0.00464271841465512,0.00435744444444444,0.00154757280488504,0.0139172222222222,0.00251027153676084,0.495220111111111,0.00202892217082294,,
