Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000004, 0.000001, -0.000002, 0.000000, 0.002023, 0.000000
0.255000, 0.000009, 0.000003, -0.000003, 0.000000, 0.002762, 0.000000
0.260000, 0.000018, 0.000006, -0.000006, 0.000000, 0.003719, 0.000000
0.265000, 0.000034, 0.000011, -0.000011, 0.000000, 0.004939, 0.000000
0.270000, 0.000063, 0.000021, -0.000021, 0.000000, 0.006471, 0.000000
0.275000, 0.000114, 0.000040, -0.000037, 0.000000, 0.008364, 0.000000
0.280000, 0.000202, 0.000072, -0.000065, 0.000000, 0.010669, 0.000000
0.285000, 0.000347, 0.000128, -0.000109, 0.000000, 0.013432, 0.000000
0.290000, 0.000582, 0.000222, -0.000180, 0.000000, 0.016694, 0.000000
0.295000, 0.000950, 0.000376, -0.000287, 0.000000, 0.020487, 0.000000
0.300000, 0.001511, 0.000619, -0.000446, 0.000000, 0.024834, 0.000000
0.305000, 0.002342, 0.000996, -0.000673, 0.000000, 0.029740, 0.000000
0.310000, 0.003539, 0.001565, -0.000987, 0.000000, 0.035200, 0.000000
0.315000, 0.005215, 0.002399, -0.001408, 0.000000, 0.041189, 0.000000
0.320000, 0.007496, 0.003592, -0.001952, 0.000000, 0.047669, 0.000000
0.325000, 0.010517, 0.005256, -0.002630, 0.000000, 0.054591, 0.000000
0.330000, 0.014407, 0.007518, -0.003445, 0.000000, 0.061892, 0.000000
0.335000, 0.019283, 0.010513, -0.004385, 0.000000, 0.069506, 0.000000
0.340000, 0.025231, 0.014384, -0.005423, 0.000000, 0.077366, 0.142857
0.345000, 0.032302, 0.019264, -0.006519, 0.000000, 0.085408, 0.142857
0.350000, 0.040495, 0.025269, -0.007613, 0.000000, 0.093581, 0.142857
0.355000, 0.049760, 0.032487, -0.008637, 0.000000, 0.101846, 0.142857
0.360000, 0.059999, 0.040964, -0.009518, 0.000000, 0.110183, 0.142857
0.365000, 0.071076, 0.050703, -0.010187, 0.000000, 0.118593, 0.142857
0.370000, 0.082835, 0.061657, -0.010589, 0.142857, 0.127098, 0.142857
0.375000, 0.095116, 0.073734, -0.010691, 0.142857, 0.135740, 0.142857
0.380000, 0.107778, 0.086802, -0.010488, 0.142857, 0.144580, 0.142857
0.385000, 0.120715, 0.100700, -0.010008, 0.142857, 0.153691, 0.142857
0.390000, 0.133867, 0.115254, -0.009306, 0.142857, 0.163158, 0.142857
0.395000, 0.147226, 0.130290, -0.008468, 0.142857, 0.173067, 0.142857
0.400000, 0.160830, 0.145645, -0.007592, 0.142857, 0.183503, 0.142857
0.405000, 0.174754, 0.161181, -0.006786, 0.142857, 0.194544, 0.142857
0.410000, 0.189094, 0.176789, -0.006153, 0.142857, 0.206256, 0.142857
0.415000, 0.203951, 0.192393, -0.005779, 0.142857, 0.218692, 0.142857
0.420000, 0.219414, 0.207953, -0.005731, 0.142857, 0.231886, 0.142857
0.425000, 0.235546, 0.223458, -0.006044, 0.142857, 0.245855, 0.285714
0.430000, 0.252377, 0.238925, -0.006726, 0.285714, 0.260600, 0.285714
0.435000, 0.269902, 0.254396, -0.007753, 0.285714, 0.276105, 0.285714
0.440000, 0.288080, 0.269927, -0.009076, 0.285714, 0.292338, 0.285714
0.445000, 0.306840, 0.285591, -0.010625, 0.285714, 0.309256, 0.285714
0.450000, 0.326090, 0.301463, -0.012313, 0.285714, 0.326804, 0.285714
0.455000, 0.344249, 0.317624, -0.013313, 0.285714, 0.344918, 0.285714
0.460000, 0.361765, 0.334146, -0.013810, 0.285714, 0.363528, 0.285714
0.465000, 0.379890, 0.351093, -0.014399, 0.428571, 0.382556, 0.428571
0.470000, 0.398566, 0.368511, -0.015027, 0.428571, 0.401918, 0.428571
0.475000, 0.417721, 0.386428, -0.015647, 0.428571, 0.421523, 0.428571
0.480000, 0.437271, 0.404844, -0.016214, 0.428571, 0.441276, 0.428571
0.485000, 0.457120, 0.423734, -0.016693, 0.428571, 0.461076, 0.428571
0.490000, 0.477160, 0.443050, -0.017055, 0.428571, 0.480817, 0.428571
0.495000, 0.497278, 0.462716, -0.017281, 0.428571, 0.500392, 0.428571
0.500000, 0.517357, 0.482643, -0.017357, 0.571429, 0.519690, 0.571429
0.505000, 0.537284, 0.502722, -0.017281, 0.571429, 0.538604, 0.571429
0.510000, 0.556950, 0.522840, -0.017055, 0.571429, 0.557033, 0.571429
0.515000, 0.576266, 0.542880, -0.016693, 0.571429, 0.574884, 0.571429
0.520000, 0.595156, 0.562729, -0.016214, 0.714286, 0.592079, 0.571429
0.525000, 0.613572, 0.582279, -0.015647, 0.714286, 0.608558, 0.714286
0.530000, 0.631489, 0.601434, -0.015027, 0.714286, 0.624279, 0.714286
0.535000, 0.648907, 0.620110, -0.014399, 0.714286, 0.639225, 0.714286
0.540000, 0.665854, 0.638235, -0.013810, 0.714286, 0.653401, 0.714286
0.545000, 0.682376, 0.655751, -0.013313, 0.714286, 0.666837, 0.714286
0.550000, 0.698537, 0.673910, -0.012313, 0.714286, 0.679582, 0.714286
0.555000, 0.714409, 0.693160, -0.010625, 0.714286, 0.691701, 0.714286
0.560000, 0.730073, 0.711920, -0.009076, 0.714286, 0.703272, 0.714286
0.565000, 0.745604, 0.730098, -0.007753, 0.714286, 0.714381, 0.714286
0.570000, 0.761075, 0.747623, -0.006726, 0.714286, 0.725114, 0.714286
0.575000, 0.776542, 0.764454, -0.006044, 0.714286, 0.735553, 0.714286
0.580000, 0.792047, 0.780586, -0.005731, 0.857143, 0.745774, 0.714286
0.585000, 0.807607, 0.796049, -0.005779, 0.857143, 0.755840, 0.714286
0.590000, 0.823211, 0.810906, -0.006153, 0.857143, 0.765801, 0.714286
0.595000, 0.838819, 0.825246, -0.006786, 0.857143, 0.775695, 0.714286
0.600000, 0.854355, 0.839170, -0.007592, 0.857143, 0.785547, 0.714286
0.605000, 0.869710, 0.852774, -0.008468, 0.857143, 0.795370, 0.857143
0.610000, 0.884746, 0.866133, -0.009306, 0.857143, 0.805172, 0.857143
0.615000, 0.899300, 0.879285, -0.010008, 0.857143, 0.814954, 0.857143
0.620000, 0.913198, 0.892222, -0.010488, 1.000000, 0.824713, 0.857143
0.625000, 0.926266, 0.904884, -0.010691, 1.000000, 0.834446, 0.857143
0.630000, 0.938343, 0.917165, -0.010589, 1.000000, 0.844146, 0.857143
0.635000, 0.949297, 0.928924, -0.010187, 1.000000, 0.853809, 0.857143
0.640000, 0.959036, 0.940001, -0.009518, 1.000000, 0.863425, 0.857143
0.645000, 0.967513, 0.950240, -0.008637, 1.000000, 0.872982, 0.857143
0.650000, 0.974731, 0.959505, -0.007613, 1.000000, 0.882460, 0.857143
0.655000, 0.980736, 0.967698, -0.006519, 1.000000, 0.891836, 0.857143
0.660000, 0.985616, 0.974769, -0.005423, 1.000000, 0.901073, 0.857143
0.665000, 0.989487, 0.980717, -0.004385, 1.000000, 0.910130, 0.857143
0.670000, 0.992482, 0.985593, -0.003445, 1.000000, 0.918956, 0.857143
0.675000, 0.994744, 0.989483, -0.002630, 1.000000, 0.927493, 1.000000
0.680000, 0.996408, 0.992504, -0.001952, 1.000000, 0.935683, 1.000000
0.685000, 0.997601, 0.994785, -0.001408, 1.000000, 0.943463, 1.000000
0.690000, 0.998435, 0.996461, -0.000987, 1.000000, 0.950779, 1.000000
0.695000, 0.999004, 0.997658, -0.000673, 1.000000, 0.957580, 1.000000
0.700000, 0.999381, 0.998489, -0.000446, 1.000000, 0.963826, 1.000000
0.705000, 0.999624, 0.999050, -0.000287, 1.000000, 0.969491, 1.000000
0.710000, 0.999778, 0.999418, -0.000180, 1.000000, 0.974560, 1.000000
0.715000, 0.999872, 0.999653, -0.000109, 1.000000, 0.979035, 1.000000
0.720000, 0.999928, 0.999798, -0.000065, 1.000000, 0.982931, 1.000000
0.725000, 0.999960, 0.999886, -0.000037, 1.000000, 0.986274, 1.000000
0.730000, 0.999979, 0.999937, -0.000021, 1.000000, 0.989101, 1.000000
0.735000, 0.999989, 0.999966, -0.000011, 1.000000, 0.991456, 1.000000
0.740000, 0.999994, 0.999982, -0.000006, 1.000000, 0.993390, 1.000000
0.745000, 0.999997, 0.999991, -0.000003, 1.000000, 0.994953, 1.000000
0.750000, 0.999999, 0.999996, -0.000002, 1.000000, 0.996199, 1.000000
