Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000000, 0.000011, +0.000005, 0.000000, 0.001331, 0.000000
0.255000, 0.000001, 0.000022, +0.000011, 0.000000, 0.001850, 0.000000
0.260000, 0.000001, 0.000042, +0.000020, 0.000000, 0.002535, 0.000000
0.265000, 0.000003, 0.000080, +0.000038, 0.000000, 0.003425, 0.000000
0.270000, 0.000005, 0.000145, +0.000070, 0.000000, 0.004566, 0.000000
0.275000, 0.000010, 0.000258, +0.000124, 0.000000, 0.006003, 0.000000
0.280000, 0.000020, 0.000446, +0.000213, 0.000000, 0.007788, 0.000000
0.285000, 0.000036, 0.000749, +0.000357, 0.000000, 0.009968, 0.000000
0.290000, 0.000064, 0.001225, +0.000580, 0.000000, 0.012591, 0.000000
0.295000, 0.000112, 0.001949, +0.000919, 0.000000, 0.015698, 0.000000
0.300000, 0.000190, 0.003019, +0.001414, 0.000000, 0.019324, 0.000000
0.305000, 0.000317, 0.004555, +0.002119, 0.000000, 0.023490, 0.000000
0.310000, 0.000516, 0.006696, +0.003090, 0.000000, 0.028205, 0.000000
0.315000, 0.000821, 0.009597, +0.004388, 0.000000, 0.033462, 0.000000
0.320000, 0.001277, 0.013415, +0.006069, 0.000000, 0.039237, 0.000000
0.325000, 0.001942, 0.018301, +0.008179, 0.000000, 0.045489, 0.000000
0.330000, 0.002889, 0.024384, +0.010747, 0.000000, 0.052166, 0.000000
0.335000, 0.004206, 0.031754, +0.013774, 0.000000, 0.059199, 0.000000
0.340000, 0.005991, 0.040452, +0.017230, 0.000000, 0.066514, 0.000000
0.345000, 0.008356, 0.050458, +0.021051, 0.000000, 0.074035, 0.142857
0.350000, 0.011417, 0.061693, +0.025138, 0.000000, 0.081687, 0.142857
0.355000, 0.015285, 0.074018, +0.029366, 0.000000, 0.089406, 0.142857
0.360000, 0.020066, 0.087249, +0.033591, 0.000000, 0.097144, 0.142857
0.365000, 0.025845, 0.101170, +0.037663, 0.000000, 0.104873, 0.142857
0.370000, 0.032682, 0.115555, +0.041436, 0.000000, 0.112588, 0.142857
0.375000, 0.040608, 0.130179, +0.044786, 0.000000, 0.120313, 0.142857
