Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000000, 0.000466, +0.000233, 0.000000, 0.006012, 0.000000
0.255000, 0.000000, 0.000653, +0.000326, 0.000000, 0.007785, 0.000000
0.260000, 0.000001, 0.000871, +0.000435, 0.000000, 0.009963, 0.000000
0.265000, 0.000001, 0.001152, +0.000576, 0.000000, 0.012608, 0.000000
0.270000, 0.000003, 0.001511, +0.000754, 0.000000, 0.015777, 0.000000
0.275000, 0.000006, 0.001965, +0.000979, 0.000000, 0.019525, 0.000000
0.280000, 0.000011, 0.002533, +0.001261, 0.000000, 0.023903, 0.000000
0.285000, 0.000020, 0.003239, +0.001609, 0.000000, 0.028951, 0.000000
0.290000, 0.000036, 0.004108, +0.002036, 0.000000, 0.034699, 0.000000
0.295000, 0.000065, 0.005168, +0.002552, 0.000000, 0.041160, 0.000000
0.300000, 0.000112, 0.006452, +0.003170, 0.000000, 0.048332, 0.000000
0.305000, 0.000191, 0.007992, +0.003901, 0.000000, 0.056192, 0.000000
0.310000, 0.000317, 0.009825, +0.004754, 0.000000, 0.064697, 0.055556
0.315000, 0.000516, 0.011990, +0.005737, 0.000000, 0.073786, 0.055556
0.320000, 0.000822, 0.014526, +0.006852, 0.000000, 0.083375, 0.055556
0.325000, 0.001280, 0.017474, +0.008097, 0.000000, 0.093368, 0.055556
0.330000, 0.001953, 0.020876, +0.009462, 0.000000, 0.103653, 0.055556
0.335000, 0.002917, 0.024773, +0.010928, 0.000000, 0.114111, 0.055556
0.340000, 0.004269, 0.029207, +0.012469, 0.000000, 0.124620, 0.111111
0.345000, 0.006121, 0.034217, +0.014048, 0.000000, 0.135064, 0.166667
0.350000, 0.008602, 0.039841, +0.015619, 0.000000, 0.145332, 0.222222
0.355000, 0.011853, 0.046114, +0.017130, 0.000000, 0.155333, 0.222222
0.360000, 0.016019, 0.053068, +0.018525, 0.000000, 0.164992, 0.222222
0.365000, 0.021242, 0.060733, +0.019745, 0.000000, 0.174260, 0.222222
0.370000, 0.027651, 0.069133, +0.020741, 0.000000, 0.183114, 0.222222
0.375000, 0.035352, 0.078289, +0.021469, 0.000000, 0.191557, 0.222222
0.380000, 0.044413, 0.088218, +0.021903, 0.000000, 0.199618, 0.222222
0.385000, 0.054862, 0.098931, +0.022035, 0.000000, 0.207350, 0.222222
0.390000, 0.066677, 0.110434, +0.021878, 0.000000, 0.214826, 0.222222
0.395000, 0.079790, 0.122731, +0.021470, 0.000000, 0.222135, 0.222222
0.400000, 0.094085, 0.135818, +0.020867, 0.055556, 0.229374, 0.222222
0.405000, 0.109411, 0.149689, +0.020139, 0.055556, 0.236648, 0.222222
0.410000, 0.125595, 0.164333, +0.019369, 0.055556, 0.244059, 0.222222
0.415000, 0.142452, 0.179737, +0.018642, 0.166667, 0.251708, 0.222222
0.420000, 0.159810, 0.195881, +0.018035, 0.222222, 0.259685, 0.222222
0.425000, 0.177514, 0.212746, +0.017616, 0.222222, 0.268073, 0.222222
0.430000, 0.195446, 0.230307, +0.017430, 0.222222, 0.276938, 0.222222
0.435000, 0.213528, 0.248539, +0.017506, 0.222222, 0.286339, 0.222222
0.440000, 0.231723, 0.267413, +0.017845, 0.222222, 0.296318, 0.333333
0.445000, 0.250037, 0.286897, +0.018430, 0.222222, 0.306906, 0.333333
0.450000, 0.268506, 0.306955, +0.019224, 0.222222, 0.318123, 0.333333
0.455000, 0.287190, 0.327546, +0.020178, 0.222222, 0.329976, 0.333333
0.460000, 0.306161, 0.348625, +0.021232, 0.222222, 0.342464, 0.333333
0.465000, 0.325487, 0.370140, +0.022326, 0.333333, 0.355574, 0.333333
0.470000, 0.345229, 0.392031, +0.023401, 0.333333, 0.369287, 0.333333
0.475000, 0.365427, 0.414231, +0.024402, 0.333333, 0.383573, 0.333333
0.480000, 0.386100, 0.436664, +0.025282, 0.333333, 0.398394, 0.333333
0.485000, 0.407238, 0.459248, +0.026005, 0.333333, 0.413707, 0.333333
0.490000, 0.428811, 0.481891, +0.026540, 0.333333, 0.429461, 0.388889
0.495000, 0.450762, 0.504500, +0.026869, 0.388889, 0.445602, 0.444444
0.500000, 0.473020, 0.526980, +0.026980, 0.500000, 0.462073, 0.500000
0.505000, 0.495500, 0.549238, +0.026869, 0.500000, 0.478816, 0.500000
0.510000, 0.518109, 0.571189, +0.026540, 0.500000, 0.495777, 0.500000
0.515000, 0.540752, 0.592762, +0.026005, 0.555556, 0.512905, 0.500000
0.520000, 0.563336, 0.613900, +0.025282, 0.611111, 0.530152, 0.555556
0.525000, 0.585769, 0.634573, +0.024402, 0.611111, 0.547482, 0.555556
0.530000, 0.607969, 0.654771, +0.023401, 0.611111, 0.564861, 0.611111
0.535000, 0.629860, 0.674513, +0.022326, 0.611111, 0.582264, 0.611111
0.540000, 0.651375, 0.693839, +0.021232, 0.611111, 0.599673, 0.611111
0.545000, 0.672454, 0.712810, +0.020178, 0.611111, 0.617073, 0.611111
0.550000, 0.693045, 0.731494, +0.019224, 0.666667, 0.634449, 0.611111
0.555000, 0.713103, 0.749963, +0.018430, 0.777778, 0.651791, 0.611111
0.560000, 0.732587, 0.768277, +0.017845, 0.777778, 0.669083, 0.611111
0.565000, 0.751461, 0.786472, +0.017506, 0.777778, 0.686309, 0.666667
