Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000003, 0.000185, +0.000091
0.255000, 0.000006, 0.000338, +0.000166
0.260000, 0.000011, 0.000597, +0.000293
0.265000, 0.000022, 0.001020, +0.000499
0.270000, 0.000041, 0.001689, +0.000824
0.275000, 0.000075, 0.002709, +0.001317
0.280000, 0.000133, 0.004216, +0.002041
0.285000, 0.000232, 0.006365, +0.003066
0.290000, 0.000394, 0.009332, +0.004469
0.295000, 0.000652, 0.013301, +0.006324
0.300000, 0.001054, 0.018443, +0.008695
0.305000, 0.001661, 0.024909, +0.011624
0.310000, 0.002555, 0.032805, +0.015125
0.315000, 0.003837, 0.042182, +0.019172
0.320000, 0.005630, 0.053027, +0.023698
0.325000, 0.008071, 0.065262, +0.028596
0.330000, 0.011311, 0.077222, +0.032955
0.335000, 0.015504, 0.084873, +0.034684
0.340000, 0.020795, 0.092931, +0.036068
0.345000, 0.027309, 0.101384, +0.037037
0.350000, 0.035134, 0.110215, +0.037541
0.355000, 0.044310, 0.119408, +0.037549
0.360000, 0.054816, 0.128946, +0.037065
0.365000, 0.066569, 0.138811, +0.036121
0.370000, 0.079424, 0.148990, +0.034783
0.375000, 0.093176, 0.159472, +0.033148
0.380000, 0.107581, 0.170254, +0.031336
0.385000, 0.122373, 0.181336, +0.029481
0.390000, 0.137284, 0.192730, +0.027723
0.395000, 0.152066, 0.204454, +0.026194
0.400000, 0.166516, 0.216536, +0.025010
0.405000, 0.180484, 0.229012, +0.024264
0.410000, 0.193889, 0.241922, +0.024017
0.415000, 0.206714, 0.255314, +0.024300
0.420000, 0.219008, 0.269233, +0.025113
0.425000, 0.230868, 0.283724, +0.026428
0.430000, 0.242434, 0.298825, +0.028195
0.435000, 0.253863, 0.314560, +0.030348
0.440000, 0.265325, 0.330943, +0.032809
0.445000, 0.276978, 0.347967, +0.035495
0.450000, 0.288969, 0.365606, +0.038319
0.455000, 0.301420, 0.383813, +0.041197
0.460000, 0.314428, 0.402518, +0.044045
0.465000, 0.328067, 0.421635, +0.046784
0.470000, 0.342382, 0.441059, +0.049338
0.475000, 0.357401, 0.460676, +0.051638
0.480000, 0.373127, 0.480362, +0.053617
0.485000, 0.389550, 0.499992, +0.055221
0.490000, 0.406640, 0.519445, +0.056402
0.495000, 0.424354, 0.538605, +0.057126
0.500000, 0.442631, 0.557369, +0.057369
0.505000, 0.461395, 0.575646, +0.057126
0.510000, 0.480555, 0.593360, +0.056402
0.515000, 0.500008, 0.610450, +0.055221
0.520000, 0.519638, 0.626873, +0.053617
0.525000, 0.539324, 0.642599, +0.051638
0.530000, 0.558941, 0.657618, +0.049338
0.535000, 0.578365, 0.671933, +0.046784
0.540000, 0.597482, 0.685572, +0.044045
0.545000, 0.616187, 0.698580, +0.041197
0.550000, 0.634394, 0.711031, +0.038319
0.555000, 0.652033, 0.723022, +0.035495
0.560000, 0.669057, 0.734675, +0.032809
0.565000, 0.685440, 0.746137, +0.030348
0.570000, 0.701175, 0.757566, +0.028195
0.575000, 0.716276, 0.769132, +0.026428
0.580000, 0.730767, 0.780992, +0.025113
0.585000, 0.744686, 0.793286, +0.024300
0.590000, 0.758078, 0.806111, +0.024017
0.595000, 0.770988, 0.819516, +0.024264
0.600000, 0.783464, 0.833484, +0.025010
0.605000, 0.795546, 0.847934, +0.026194
0.610000, 0.807270, 0.862716, +0.027723
0.615000, 0.818664, 0.877627, +0.029481
0.620000, 0.829746, 0.892419, +0.031336
0.625000, 0.840528, 0.906824, +0.033148
0.630000, 0.851010, 0.920576, +0.034783
0.635000, 0.861189, 0.933431, +0.036121
0.640000, 0.871054, 0.945184, +0.037065
0.645000, 0.880592, 0.955690, +0.037549
0.650000, 0.889785, 0.964866, +0.037541
0.655000, 0.898616, 0.972691, +0.037037
0.660000, 0.907069, 0.979205, +0.036068
0.665000, 0.915127, 0.984496, +0.034684
0.670000, 0.922778, 0.988689, +0.032955
0.675000, 0.934738, 0.991929, +0.028596
0.680000, 0.946973, 0.994370, +0.023698
0.685000, 0.957818, 0.996163, +0.019172
0.690000, 0.967195, 0.997445, +0.015125
0.695000, 0.975091, 0.998339, +0.011624
0.700000, 0.981557, 0.998946, +0.008695
0.705000, 0.986699, 0.999348, +0.006324
0.710000, 0.990668, 0.999606, +0.004469
0.715000, 0.993635, 0.999768, +0.003066
0.720000, 0.995784, 0.999867, +0.002041
0.725000, 0.997291, 0.999925, +0.001317
0.730000, 0.998311, 0.999959, +0.000824
0.735000, 0.998980, 0.999978, +0.000499
0.740000, 0.999403, 0.999989, +0.000293
0.745000, 0.999662, 0.999994, +0.000166
0.750000, 0.999815, 0.999997, +0.000091
