Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000004, 0.000174, +0.000085
0.255000, 0.000008, 0.000314, +0.000153
0.260000, 0.000015, 0.000547, +0.000266
0.265000, 0.000029, 0.000923, +0.000447
0.270000, 0.000054, 0.001508, +0.000727
0.275000, 0.000098, 0.002388, +0.001145
0.280000, 0.000174, 0.003668, +0.001747
0.285000, 0.000300, 0.005469, +0.002585
0.290000, 0.000504, 0.007925, +0.003710
0.295000, 0.000826, 0.011173, +0.005173
0.300000, 0.001321, 0.015345, +0.007012
0.305000, 0.002059, 0.020559, +0.009250
0.310000, 0.003133, 0.026909, +0.011888
0.315000, 0.004653, 0.034459, +0.014903
0.320000, 0.006750, 0.043243, +0.018247
0.325000, 0.009568, 0.053263, +0.021847
0.330000, 0.013259, 0.064489, +0.025615
0.335000, 0.017970, 0.076865, +0.029447
0.340000, 0.023835, 0.090309, +0.033237
0.345000, 0.030957, 0.104136, +0.036589
0.350000, 0.039396, 0.112693, +0.036648
0.355000, 0.049159, 0.121659, +0.036250
0.360000, 0.060189, 0.131019, +0.035415
0.365000, 0.072367, 0.140748, +0.034191
0.370000, 0.085513, 0.150823, +0.032655
0.375000, 0.099400, 0.161214, +0.030907
0.380000, 0.113768, 0.171893, +0.029063
0.385000, 0.128350, 0.182833, +0.027242
0.390000, 0.142889, 0.194009, +0.025560
0.395000, 0.157162, 0.205401, +0.024120
0.400000, 0.171001, 0.216999, +0.022999
0.405000, 0.184303, 0.228800, +0.022249
0.410000, 0.197036, 0.240813, +0.021889
0.415000, 0.209240, 0.253060, +0.021910
0.420000, 0.221018, 0.265572, +0.022277
0.425000, 0.232524, 0.278393, +0.022935
0.430000, 0.243944, 0.291577, +0.023817
0.435000, 0.255482, 0.305184, +0.024851
0.440000, 0.267341, 0.319275, +0.025967
0.445000, 0.279705, 0.333911, +0.027103
0.450000, 0.292733, 0.349146, +0.028207
0.455000, 0.306544, 0.365023, +0.029239
0.460000, 0.321219, 0.381566, +0.030174
0.465000, 0.336793, 0.398782, +0.030995
0.470000, 0.353262, 0.416652, +0.031695
0.475000, 0.370585, 0.435134, +0.032275
0.480000, 0.388684, 0.454158, +0.032737
0.485000, 0.407455, 0.473633, +0.033089
0.490000, 0.426774, 0.493443, +0.033335
0.495000, 0.446496, 0.513457, +0.033480
0.500000, 0.466471, 0.533529, +0.033529
0.505000, 0.486543, 0.553504, +0.033480
0.510000, 0.506557, 0.573226, +0.033335
0.515000, 0.526367, 0.592545, +0.033089
0.520000, 0.545842, 0.611316, +0.032737
0.525000, 0.564866, 0.629415, +0.032275
0.530000, 0.583348, 0.646738, +0.031695
0.535000, 0.601218, 0.663207, +0.030995
0.540000, 0.618434, 0.678781, +0.030174
0.545000, 0.634977, 0.693456, +0.029239
0.550000, 0.650854, 0.707267, +0.028207
0.555000, 0.666089, 0.720295, +0.027103
0.560000, 0.680725, 0.732659, +0.025967
0.565000, 0.694816, 0.744518, +0.024851
0.570000, 0.708423, 0.756056, +0.023817
0.575000, 0.721607, 0.767476, +0.022935
0.580000, 0.734428, 0.778982, +0.022277
0.585000, 0.746940, 0.790760, +0.021910
0.590000, 0.759187, 0.802964, +0.021889
0.595000, 0.771200, 0.815697, +0.022249
0.600000, 0.783001, 0.828999, +0.022999
0.605000, 0.794599, 0.842838, +0.024120
0.610000, 0.805991, 0.857111, +0.025560
0.615000, 0.817167, 0.871650, +0.027242
0.620000, 0.828107, 0.886232, +0.029063
0.625000, 0.838786, 0.900600, +0.030907
0.630000, 0.849177, 0.914487, +0.032655
0.635000, 0.859252, 0.927633, +0.034191
0.640000, 0.868981, 0.939811, +0.035415
0.645000, 0.878341, 0.950841, +0.036250
0.650000, 0.887307, 0.960604, +0.036648
0.655000, 0.895864, 0.969043, +0.036589
0.660000, 0.909691, 0.976165, +0.033237
0.665000, 0.923135, 0.982030, +0.029447
0.670000, 0.935511, 0.986741, +0.025615
0.675000, 0.946737, 0.990432, +0.021847
0.680000, 0.956757, 0.993250, +0.018247
0.685000, 0.965541, 0.995347, +0.014903
0.690000, 0.973091, 0.996867, +0.011888
0.695000, 0.979441, 0.997941, +0.009250
0.700000, 0.984655, 0.998679, +0.007012
0.705000, 0.988827, 0.999174, +0.005173
0.710000, 0.992075, 0.999496, +0.003710
0.715000, 0.994531, 0.999700, +0.002585
0.720000, 0.996332, 0.999826, +0.001747
0.725000, 0.997612, 0.999902, +0.001145
0.730000, 0.998492, 0.999946, +0.000727
0.735000, 0.999077, 0.999971, +0.000447
0.740000, 0.999453, 0.999985, +0.000266
0.745000, 0.999686, 0.999992, +0.000153
0.750000, 0.999826, 0.999996, +0.000085
