Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.001320, 0.000025, -0.000648, 0.000000, 0.155331, 0.166667
0.255000, 0.002196, 0.000048, -0.001074, 0.000000, 0.163104, 0.222222
0.260000, 0.003527, 0.000091, -0.001718, 0.000000, 0.170486, 0.222222
0.265000, 0.005475, 0.000167, -0.002654, 0.000000, 0.177406, 0.222222
0.270000, 0.008221, 0.000296, -0.003963, 0.000000, 0.183808, 0.222222
0.275000, 0.011960, 0.000510, -0.005725, 0.000000, 0.189656, 0.222222
0.280000, 0.016876, 0.000855, -0.008010, 0.000000, 0.194927, 0.222222
0.285000, 0.023129, 0.001393, -0.010868, 0.000000, 0.199618, 0.222222
0.290000, 0.030834, 0.002205, -0.014314, 0.000000, 0.203743, 0.222222
0.295000, 0.040041, 0.003396, -0.018322, 0.000000, 0.207331, 0.222222
0.300000, 0.050724, 0.005091, -0.022817, 0.055556, 0.210421, 0.222222
0.305000, 0.062776, 0.007432, -0.027672, 0.055556, 0.213067, 0.222222
0.310000, 0.076006, 0.010574, -0.032716, 0.055556, 0.215329, 0.222222
0.315000, 0.090145, 0.014670, -0.037737, 0.055556, 0.217273, 0.222222
0.320000, 0.104866, 0.019867, -0.042499, 0.055556, 0.218969, 0.222222
0.325000, 0.119799, 0.026287, -0.046756, 0.111111, 0.220490, 0.222222
0.330000, 0.134560, 0.034017, -0.050272, 0.166667, 0.221910, 0.222222
0.335000, 0.148779, 0.043102, -0.052838, 0.166667, 0.223302, 0.222222
0.340000, 0.162130, 0.053541, -0.054294, 0.222222, 0.224738, 0.222222
0.345000, 0.174360, 0.065289, -0.054535, 0.222222, 0.226288, 0.222222
0.350000, 0.185305, 0.078261, -0.053522, 0.222222, 0.228017, 0.222222
0.355000, 0.194906, 0.092344, -0.051281, 0.222222, 0.229987, 0.222222
0.360000, 0.203203, 0.107407, -0.047898, 0.222222, 0.232251, 0.222222
0.365000, 0.210327, 0.123312, -0.043508, 0.222222, 0.234857, 0.222222
0.370000, 0.216479, 0.139920, -0.038279, 0.222222, 0.237844, 0.222222
0.375000, 0.221904, 0.157097, -0.032404, 0.222222, 0.241237, 0.222222
0.380000, 0.226866, 0.174713, -0.026076, 0.222222, 0.245053, 0.222222
0.385000, 0.231621, 0.192641, -0.019490, 0.222222, 0.249295, 0.222222
0.390000, 0.236402, 0.210759, -0.012822, 0.222222, 0.253954, 0.222222
0.395000, 0.241402, 0.228945, -0.006229, 0.222222, 0.259012, 0.222222
0.400000, 0.246768, 0.247085, +0.000159, 0.222222, 0.264438, 0.222222
0.405000, 0.252598, 0.265074, +0.006238, 0.222222, 0.270197, 0.222222
0.410000, 0.258944, 0.282821, +0.011938, 0.222222, 0.276250, 0.277778
0.415000, 0.265820, 0.300260, +0.017220, 0.222222, 0.282558, 0.277778
0.420000, 0.273204, 0.317350, +0.022073, 0.222222, 0.289088, 0.333333
0.425000, 0.281055, 0.334078, +0.026511, 0.277778, 0.295814, 0.333333
0.430000, 0.289319, 0.350462, +0.030572, 0.277778, 0.302723, 0.333333
0.435000, 0.297937, 0.366541, +0.034302, 0.333333, 0.309815, 0.333333
0.440000, 0.306860, 0.382373, +0.037756, 0.333333, 0.317107, 0.333333
0.445000, 0.316048, 0.398021, +0.040986, 0.333333, 0.324630, 0.333333
0.450000, 0.325482, 0.413551, +0.044035, 0.333333, 0.332430, 0.333333
0.455000, 0.335157, 0.429015, +0.046929, 0.333333, 0.340563, 0.333333
0.460000, 0.345090, 0.444448, +0.049679, 0.333333, 0.349092, 0.333333
0.465000, 0.355309, 0.459864, +0.052277, 0.333333, 0.358080, 0.333333
0.470000, 0.365851, 0.475247, +0.054698, 0.333333, 0.367585, 0.333333
0.475000, 0.376752, 0.490560, +0.056904, 0.333333, 0.377657, 0.333333
0.480000, 0.388044, 0.505737, +0.058847, 0.333333, 0.388329, 0.333333
0.485000, 0.399746, 0.520698, +0.060476, 0.333333, 0.399615, 0.333333
0.490000, 0.411860, 0.535346, +0.061743, 0.388889, 0.411507, 0.388889
0.495000, 0.424365, 0.549582, +0.062609, 0.388889, 0.423973, 0.388889
0.500000, 0.437219, 0.562781, +0.062781, 0.388889, 0.436958, 0.388889
0.505000, 0.450418, 0.575635, +0.062609, 0.388889, 0.450389, 0.388889
0.510000, 0.464654, 0.588140, +0.061743, 0.500000, 0.464172, 0.500000
0.515000, 0.479302, 0.600254, +0.060476, 0.500000, 0.478206, 0.500000
0.520000, 0.494263, 0.611956, +0.058847, 0.500000, 0.492381, 0.500000
0.525000, 0.509440, 0.623248, +0.056904, 0.500000, 0.506591, 0.500000
0.530000, 0.524753, 0.634149, +0.054698, 0.555556, 0.520734, 0.555556
0.535000, 0.540136, 0.644691, +0.052277, 0.611111, 0.534723, 0.611111
0.540000, 0.555552, 0.654910, +0.049679, 0.611111, 0.548485, 0.611111
0.545000, 0.570985, 0.664843, +0.046929, 0.611111, 0.561971, 0.611111
0.550000, 0.586449, 0.674518, +0.044035, 0.611111, 0.575150, 0.611111
0.555000, 0.601979, 0.683952, +0.040986, 0.611111, 0.588016, 0.611111
0.560000, 0.617627, 0.693140, +0.037756, 0.611111, 0.600582, 0.611111
0.565000, 0.633459, 0.702063, +0.034302, 0.611111, 0.612879, 0.611111
0.570000, 0.649538, 0.710681, +0.030572, 0.666667, 0.624953, 0.611111
0.575000, 0.665922, 0.718945, +0.026511, 0.666667, 0.636858, 0.611111
0.580000, 0.682650, 0.726796, +0.022073, 0.666667, 0.648655, 0.666667
0.585000, 0.699740, 0.734180, +0.017220, 0.666667, 0.660404, 0.666667
0.590000, 0.717179, 0.741056, +0.011938, 0.722222, 0.672158, 0.666667
0.595000, 0.734926, 0.747402, +0.006238, 0.722222, 0.683964, 0.666667
0.600000, 0.752915, 0.753232, +0.000159, 0.722222, 0.695855, 0.666667
0.605000, 0.771055, 0.758598, -0.006229, 0.722222, 0.707850, 0.722222
0.610000, 0.789241, 0.763598, -0.012822, 0.833333, 0.719953, 0.722222
0.615000, 0.807359, 0.768379, -0.019490, 0.833333, 0.732152, 0.722222
0.620000, 0.825287, 0.773134, -0.026076, 0.888889, 0.744418, 0.722222
0.625000, 0.842903, 0.778096, -0.032404, 0.888889, 0.756711, 0.722222
0.630000, 0.860080, 0.783521, -0.038279, 0.888889, 0.768982, 0.722222
0.635000, 0.876688, 0.789673, -0.043508, 0.888889, 0.781173, 0.777778
0.640000, 0.892593, 0.796797, -0.047898, 0.888889, 0.793227, 0.833333
0.645000, 0.907656, 0.805094, -0.051281, 0.888889, 0.805086, 0.833333
0.650000, 0.921739, 0.814695, -0.053522, 0.944444, 0.816697, 0.833333
0.655000, 0.934711, 0.825640, -0.054535, 1.000000, 0.828017, 0.888889
0.660000, 0.946459, 0.837870, -0.054294, 1.000000, 0.839013, 0.888889
0.665000, 0.956898, 0.851221, -0.052838, 1.000000, 0.849661, 0.888889
0.670000, 0.965983, 0.865440, -0.050272, 1.000000, 0.859951, 0.888889
0.675000, 0.973713, 0.880201, -0.046756, 1.000000, 0.869880, 0.888889
0.680000, 0.980133, 0.895134, -0.042499, 1.000000, 0.879456, 0.888889
0.685000, 0.985330, 0.909855, -0.037737, 1.000000, 0.888688, 0.888889
0.690000, 0.989426, 0.923994, -0.032716, 1.000000, 0.897590, 0.888889
0.695000, 0.992568, 0.937224, -0.027672, 1.000000, 0.906171, 0.888889
0.700000, 0.994909, 0.949276, -0.022817, 1.000000, 0.914440, 0.888889
0.705000, 0.996604, 0.959959, -0.018322, 1.000000, 0.922396, 0.888889
0.710000, 0.997795, 0.969166, -0.014314, 1.000000, 0.930032, 0.888889
0.715000, 0.998607, 0.976871, -0.010868, 1.000000, 0.937334, 0.944444
0.720000, 0.999145, 0.983124, -0.008010, 1.000000, 0.944282, 0.944444
0.725000, 0.999490, 0.988040, -0.005725, 1.000000, 0.950851, 1.000000
0.730000, 0.999704, 0.991779, -0.003963, 1.000000, 0.957016, 1.000000
0.735000, 0.999833, 0.994525, -0.002654, 1.000000, 0.962749, 1.000000
0.740000, 0.999909, 0.996473, -0.001718, 1.000000, 0.968029, 1.000000
0.745000, 0.999952, 0.997804, -0.001074, 1.000000, 0.972839, 1.000000
