IL-2012, 2010S, Definition
state<V>, 0.491536, Statewide fractional D vote
t-bias, -0.008239, state<V> minus average district D vote
S-fptp, 6, Seats from first past the post
S<V>est, 7.034401, Seats at state<V>
S50est, 7.411834, Seats at V=0.5
BS<V>, 8.68393, % Geometric Seat Bias at statewide<V>
BS50, 8.823146, % Simple Bias at V=0.5
BV<V>, 2.469706, % Vote Bias at statewide<V>
BV50, 2.824460, % Vote Bias at V=0.5
R<V>, 2.326404, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.543110, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 3.611174, Number of responsive districts at statewide <V>
RD50, 4.159837, Number of responsive districts at V=0.5
EG<V>fpp, 14.973867, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 9.227196, Efficiency Gap at state<V> using estimated S(V)
