IL-2012, 2010SoS, Definition
state<V>, 0.721156, Statewide fractional D vote
t-bias, -0.002021, state<V> minus average district D vote
S-fptp, 18, Seats from first past the post
S<V>est, 17.948770, Seats at state<V>
S50est, 8.079934, Seats at V=0.5
BS<V>, 0.138559, % Geometric Seat Bias at statewide<V>
BS50, 5.111477, % Simple Bias at V=0.5
BV<V>, 2.533730, % Vote Bias at statewide<V>
BV50, 1.121448, % Vote Bias at V=0.5
R<V>, 0.191675, Responsiveness as a slope in S(V) at statewide<V>
R50, 4.398485, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.196607, Number of responsive districts at statewide <V>
RD50, 7.588221, Number of responsive districts at V=0.5
EG<V>fpp, -5.768800, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -5.484190, Efficiency Gap at state<V> using estimated S(V)
