Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.002212, 0.000004, -0.001104, 0.000000, 0.142814, 0.166667
0.255000, 0.003555, 0.000008, -0.001774, 0.000000, 0.150790, 0.166667
0.260000, 0.005514, 0.000016, -0.002749, 0.000000, 0.158534, 0.166667
0.265000, 0.008262, 0.000031, -0.004115, 0.000000, 0.165962, 0.166667
0.270000, 0.011978, 0.000058, -0.005960, 0.000000, 0.172999, 0.222222
0.275000, 0.016828, 0.000106, -0.008361, 0.000000, 0.179580, 0.222222
0.280000, 0.022949, 0.000188, -0.011380, 0.000000, 0.185657, 0.222222
0.285000, 0.030432, 0.000326, -0.015053, 0.000000, 0.191196, 0.222222
0.290000, 0.039313, 0.000551, -0.019381, 0.000000, 0.196180, 0.222222
0.295000, 0.049562, 0.000908, -0.024327, 0.055556, 0.200607, 0.222222
0.300000, 0.061082, 0.001459, -0.029811, 0.055556, 0.204491, 0.222222
0.305000, 0.073711, 0.002289, -0.035711, 0.055556, 0.207858, 0.222222
0.310000, 0.087227, 0.003503, -0.041862, 0.055556, 0.210744, 0.222222
0.315000, 0.101353, 0.005236, -0.048058, 0.055556, 0.213195, 0.222222
0.320000, 0.115770, 0.007644, -0.054063, 0.055556, 0.215263, 0.222222
0.325000, 0.130133, 0.010907, -0.059613, 0.166667, 0.217004, 0.222222
0.330000, 0.144091, 0.015214, -0.064439, 0.166667, 0.218478, 0.222222
0.335000, 0.157315, 0.020760, -0.068278, 0.166667, 0.219747, 0.222222
0.340000, 0.169522, 0.027725, -0.070899, 0.222222, 0.220872, 0.222222
0.345000, 0.180498, 0.036260, -0.072119, 0.222222, 0.221915, 0.222222
0.350000, 0.190120, 0.046469, -0.071825, 0.222222, 0.222939, 0.222222
0.355000, 0.198358, 0.058395, -0.069981, 0.222222, 0.224003, 0.222222
0.360000, 0.205274, 0.072009, -0.066633, 0.222222, 0.225168, 0.222222
0.365000, 0.211011, 0.087200, -0.061905, 0.222222, 0.226494, 0.222222
0.370000, 0.215766, 0.103789, -0.055988, 0.222222, 0.228037, 0.222222
0.375000, 0.219775, 0.121530, -0.049122, 0.222222, 0.229850, 0.222222
0.380000, 0.223286, 0.140135, -0.041576, 0.222222, 0.231986, 0.222222
0.385000, 0.226543, 0.159294, -0.033625, 0.222222, 0.234489, 0.222222
0.390000, 0.229770, 0.178706, -0.025532, 0.222222, 0.237398, 0.222222
0.395000, 0.233160, 0.198103, -0.017528, 0.222222, 0.240745, 0.222222
0.400000, 0.236876, 0.217273, -0.009801, 0.222222, 0.244554, 0.222222
0.405000, 0.241042, 0.236074, -0.002484, 0.222222, 0.248837, 0.222222
0.410000, 0.245749, 0.254439, +0.004345, 0.222222, 0.253600, 0.222222
0.415000, 0.251054, 0.272378, +0.010662, 0.222222, 0.258840, 0.222222
0.420000, 0.256984, 0.289964, +0.016490, 0.222222, 0.264546, 0.222222
0.425000, 0.263540, 0.307316, +0.021888, 0.222222, 0.270705, 0.222222
0.430000, 0.270701, 0.324579, +0.026939, 0.222222, 0.277299, 0.277778
0.435000, 0.278434, 0.341899, +0.031732, 0.222222, 0.284315, 0.277778
0.440000, 0.286695, 0.359408, +0.036357, 0.277778, 0.291743, 0.333333
0.445000, 0.295436, 0.377201, +0.040882, 0.333333, 0.299581, 0.333333
0.450000, 0.304617, 0.395329, +0.045356, 0.333333, 0.307837, 0.333333
0.455000, 0.314203, 0.413795, +0.049796, 0.333333, 0.316532, 0.333333
0.460000, 0.324172, 0.432547, +0.054187, 0.333333, 0.325695, 0.333333
0.465000, 0.334518, 0.451493, +0.058487, 0.333333, 0.335367, 0.333333
0.470000, 0.345248, 0.470502, +0.062627, 0.333333, 0.345595, 0.333333
0.475000, 0.356379, 0.489420, +0.066521, 0.333333, 0.356429, 0.333333
0.480000, 0.367900, 0.508079, +0.070090, 0.333333, 0.367918, 0.333333
0.485000, 0.380237, 0.526314, +0.073038, 0.333333, 0.380101, 0.333333
0.490000, 0.393526, 0.543967, +0.075220, 0.333333, 0.393007, 0.333333
0.495000, 0.407781, 0.560904, +0.076561, 0.333333, 0.406646, 0.333333
0.500000, 0.422986, 0.577014, +0.077014, 0.333333, 0.421007, 0.333333
0.505000, 0.439096, 0.592219, +0.076561, 0.388889, 0.436052, 0.388889
0.510000, 0.456033, 0.606474, +0.075220, 0.444444, 0.451720, 0.444444
0.515000, 0.473686, 0.619763, +0.073038, 0.444444, 0.467922, 0.444444
