Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000065, 0.000264, +0.000100, 0.000000, 0.095488, 0.055556
0.255000, 0.000122, 0.000471, +0.000174, 0.000000, 0.103810, 0.055556
0.260000, 0.000223, 0.000810, +0.000294, 0.000000, 0.112321, 0.111111
0.265000, 0.000394, 0.001349, +0.000478, 0.000000, 0.120945, 0.111111
0.270000, 0.000675, 0.002172, +0.000749, 0.000000, 0.129601, 0.111111
0.275000, 0.001122, 0.003387, +0.001133, 0.000000, 0.138199, 0.166667
0.280000, 0.001811, 0.005117, +0.001653, 0.000000, 0.146648, 0.166667
0.285000, 0.002840, 0.007495, +0.002328, 0.000000, 0.154859, 0.166667
0.290000, 0.004330, 0.010656, +0.003163, 0.000000, 0.162749, 0.222222
0.295000, 0.006423, 0.014719, +0.004148, 0.000000, 0.170243, 0.222222
0.300000, 0.009276, 0.019776, +0.005250, 0.000000, 0.177280, 0.222222
0.305000, 0.013051, 0.025879, +0.006414, 0.000000, 0.183816, 0.222222
0.310000, 0.017906, 0.033032, +0.007563, 0.000000, 0.189825, 0.222222
0.315000, 0.023975, 0.041194, +0.008609, 0.000000, 0.195298, 0.222222
0.320000, 0.031359, 0.050281, +0.009461, 0.000000, 0.200248, 0.222222
0.325000, 0.040105, 0.060185, +0.010040, 0.000000, 0.204706, 0.222222
0.330000, 0.050199, 0.070793, +0.010297, 0.000000, 0.208718, 0.222222
0.335000, 0.061558, 0.082001, +0.010221, 0.055556, 0.212347, 0.222222
0.340000, 0.074031, 0.093734, +0.009852, 0.055556, 0.215667, 0.222222
0.345000, 0.087403, 0.105953, +0.009275, 0.055556, 0.218759, 0.222222
0.350000, 0.101411, 0.118651, +0.008620, 0.055556, 0.221712, 0.222222
0.355000, 0.115762, 0.131848, +0.008043, 0.111111, 0.224615, 0.222222
0.360000, 0.130152, 0.145575, +0.007711, 0.111111, 0.227555, 0.222222
0.365000, 0.144292, 0.159850, +0.007779, 0.166667, 0.230616, 0.222222
0.370000, 0.157933, 0.174671, +0.008369, 0.222222, 0.233873, 0.222222
0.375000, 0.170880, 0.189996, +0.009558, 0.222222, 0.237391, 0.222222
0.380000, 0.183007, 0.205740, +0.011366, 0.222222, 0.241223, 0.222222
0.385000, 0.194267, 0.221781, +0.013757, 0.222222, 0.245409, 0.222222
0.390000, 0.204686, 0.237965, +0.016639, 0.222222, 0.249976, 0.222222
0.395000, 0.214358, 0.254125, +0.019884, 0.222222, 0.254940, 0.222222
0.400000, 0.223428, 0.270095, +0.023334, 0.222222, 0.260302, 0.222222
0.405000, 0.232076, 0.285727, +0.026826, 0.222222, 0.266060, 0.222222
0.410000, 0.240499, 0.300905, +0.030203, 0.222222, 0.272203, 0.222222
0.415000, 0.248892, 0.314883, +0.032996, 0.222222, 0.278719, 0.277778
0.420000, 0.257433, 0.325038, +0.033803, 0.222222, 0.285601, 0.277778
0.425000, 0.266275, 0.335339, +0.034532, 0.222222, 0.292844, 0.333333
0.430000, 0.275540, 0.345840, +0.035150, 0.222222, 0.300455, 0.333333
0.435000, 0.285317, 0.356602, +0.035643, 0.277778, 0.308450, 0.333333
0.440000, 0.295664, 0.367689, +0.036012, 0.277778, 0.316857, 0.333333
0.445000, 0.306617, 0.379167, +0.036275, 0.333333, 0.325713, 0.333333
0.450000, 0.318188, 0.391097, +0.036455, 0.333333, 0.335063, 0.333333
0.455000, 0.330378, 0.403531, +0.036576, 0.333333, 0.344956, 0.333333
0.460000, 0.343175, 0.416505, +0.036665, 0.333333, 0.355436, 0.333333
0.465000, 0.356558, 0.430037, +0.036739, 0.333333, 0.366541, 0.333333
0.470000, 0.370498, 0.444122, +0.036812, 0.333333, 0.378294, 0.333333
0.475000, 0.384957, 0.458733, +0.036888, 0.333333, 0.390700, 0.333333
0.480000, 0.399885, 0.473817, +0.036966, 0.333333, 0.403737, 0.333333
0.485000, 0.415221, 0.489299, +0.037039, 0.333333, 0.417361, 0.333333
0.490000, 0.430888, 0.505089, +0.037100, 0.333333, 0.431500, 0.333333
0.495000, 0.446797, 0.521079, +0.037141, 0.333333, 0.446059, 0.333333
0.500000, 0.462845, 0.537155, +0.037155, 0.444444, 0.460924, 0.444444
0.505000, 0.478921, 0.553203, +0.037141, 0.555556, 0.475969, 0.555556
0.510000, 0.494911, 0.569112, +0.037100, 0.555556, 0.491062, 0.555556
0.515000, 0.510701, 0.584779, +0.037039, 0.555556, 0.506075, 0.555556
0.520000, 0.526183, 0.600115, +0.036966, 0.611111, 0.520892, 0.611111
0.525000, 0.541267, 0.615043, +0.036888, 0.611111, 0.535415, 0.611111
0.530000, 0.555878, 0.629502, +0.036812, 0.611111, 0.549571, 0.611111
0.535000, 0.569963, 0.643442, +0.036739, 0.611111, 0.563314, 0.611111
0.540000, 0.583495, 0.656825, +0.036665, 0.611111, 0.576628, 0.611111
0.545000, 0.596469, 0.669622, +0.036576, 0.611111, 0.589524, 0.611111
0.550000, 0.608903, 0.681812, +0.036455, 0.611111, 0.602042, 0.611111
0.555000, 0.620833, 0.693383, +0.036275, 0.611111, 0.614237, 0.611111
0.560000, 0.632311, 0.704336, +0.036012, 0.611111, 0.626181, 0.611111
0.565000, 0.643398, 0.714683, +0.035643, 0.611111, 0.637955, 0.611111
0.570000, 0.654160, 0.724460, +0.035150, 0.611111, 0.649639, 0.611111
0.575000, 0.664661, 0.733725, +0.034532, 0.611111, 0.661308, 0.611111
0.580000, 0.674962, 0.742567, +0.033803, 0.666667, 0.673024, 0.666667
0.585000, 0.685117, 0.751108, +0.032996, 0.666667, 0.684838, 0.666667
0.590000, 0.699095, 0.759501, +0.030203, 0.722222, 0.696779, 0.722222
0.595000, 0.714273, 0.767924, +0.026826, 0.722222, 0.708855, 0.722222
0.600000, 0.729905, 0.776572, +0.023334, 0.722222, 0.721057, 0.722222
0.605000, 0.745875, 0.785642, +0.019884, 0.722222, 0.733354, 0.722222
