Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000000, 0.000000, -0.000000
0.255000, 0.000000, 0.000000, -0.000000
0.260000, 0.000000, 0.000000, -0.000000
0.265000, 0.000000, 0.000000, -0.000000
0.270000, 0.000000, 0.000000, -0.000000
0.275000, 0.000001, 0.000000, -0.000000
0.280000, 0.000002, 0.000000, -0.000001
0.285000, 0.000003, 0.000001, -0.000001
0.290000, 0.000006, 0.000001, -0.000002
0.295000, 0.000010, 0.000002, -0.000004
0.300000, 0.000018, 0.000003, -0.000008
0.305000, 0.000032, 0.000006, -0.000013
0.310000, 0.000055, 0.000010, -0.000023
0.315000, 0.000092, 0.000016, -0.000038
0.320000, 0.000152, 0.000026, -0.000063
0.325000, 0.000246, 0.000043, -0.000102
0.330000, 0.000389, 0.000068, -0.000160
0.335000, 0.000603, 0.000108, -0.000248
0.340000, 0.000918, 0.000170, -0.000374
0.345000, 0.001368, 0.000262, -0.000553
0.350000, 0.002002, 0.000400, -0.000801
0.355000, 0.002873, 0.000602, -0.001135
0.360000, 0.004047, 0.000896, -0.001576
0.365000, 0.005599, 0.001317, -0.002141
0.370000, 0.007607, 0.001911, -0.002848
0.375000, 0.010157, 0.002739, -0.003709
0.380000, 0.013335, 0.003877, -0.004729
0.385000, 0.017224, 0.005421, -0.005902
0.390000, 0.021904, 0.007487, -0.007208
0.395000, 0.027445, 0.010217, -0.008614
0.400000, 0.033910, 0.013773, -0.010069
0.405000, 0.041357, 0.018346, -0.011506
0.410000, 0.049839, 0.024147, -0.012846
0.415000, 0.059409, 0.031407, -0.014001
0.420000, 0.070129, 0.040374, -0.014878
0.425000, 0.082078, 0.051299, -0.015390
0.430000, 0.095350, 0.064432, -0.015459
0.435000, 0.110068, 0.080009, -0.015030
0.440000, 0.126375, 0.098236, -0.014070
0.445000, 0.144438, 0.119279, -0.012579
0.450000, 0.164434, 0.143247, -0.010594
0.455000, 0.186541, 0.170178, -0.008181
0.460000, 0.210921, 0.200033, -0.005444
0.465000, 0.237700, 0.232684, -0.002508
0.470000, 0.266955, 0.267912, +0.000478
0.475000, 0.298692, 0.305409, +0.003358
0.480000, 0.332833, 0.344785, +0.005976
0.485000, 0.369212, 0.385582, +0.008185
0.490000, 0.407569, 0.427290, +0.009860
0.495000, 0.447554, 0.469365, +0.010906
0.500000, 0.488739, 0.511261, +0.011261
0.505000, 0.530635, 0.552446, +0.010906
0.510000, 0.572710, 0.592431, +0.009860
0.515000, 0.614418, 0.630788, +0.008185
0.520000, 0.655215, 0.667167, +0.005976
0.525000, 0.694591, 0.701308, +0.003358
0.530000, 0.732088, 0.733045, +0.000478
0.535000, 0.767316, 0.762300, -0.002508
0.540000, 0.799967, 0.789079, -0.005444
0.545000, 0.829822, 0.813459, -0.008181
0.550000, 0.856753, 0.835566, -0.010594
0.555000, 0.880721, 0.855562, -0.012579
0.560000, 0.901764, 0.873625, -0.014070
0.565000, 0.919991, 0.889932, -0.015030
0.570000, 0.935568, 0.904650, -0.015459
0.575000, 0.948701, 0.917922, -0.015390
0.580000, 0.959626, 0.929871, -0.014878
0.585000, 0.968593, 0.940591, -0.014001
0.590000, 0.975853, 0.950161, -0.012846
0.595000, 0.981654, 0.958643, -0.011506
0.600000, 0.986227, 0.966090, -0.010069
0.605000, 0.989783, 0.972555, -0.008614
0.610000, 0.992513, 0.978096, -0.007208
0.615000, 0.994579, 0.982776, -0.005902
0.620000, 0.996123, 0.986665, -0.004729
0.625000, 0.997261, 0.989843, -0.003709
0.630000, 0.998089, 0.992393, -0.002848
0.635000, 0.998683, 0.994401, -0.002141
0.640000, 0.999104, 0.995953, -0.001576
0.645000, 0.999398, 0.997127, -0.001135
0.650000, 0.999600, 0.997998, -0.000801
0.655000, 0.999738, 0.998632, -0.000553
0.660000, 0.999830, 0.999082, -0.000374
0.665000, 0.999892, 0.999397, -0.000248
0.670000, 0.999932, 0.999611, -0.000160
0.675000, 0.999957, 0.999754, -0.000102
0.680000, 0.999974, 0.999848, -0.000063
0.685000, 0.999984, 0.999908, -0.000038
0.690000, 0.999990, 0.999945, -0.000023
0.695000, 0.999994, 0.999968, -0.000013
0.700000, 0.999997, 0.999982, -0.000008
0.705000, 0.999998, 0.999990, -0.000004
0.710000, 0.999999, 0.999994, -0.000002
0.715000, 0.999999, 0.999997, -0.000001
0.720000, 1.000000, 0.999998, -0.000001
0.725000, 1.000000, 0.999999, -0.000000
0.730000, 1.000000, 1.000000, -0.000000
0.735000, 1.000000, 1.000000, -0.000000
0.740000, 1.000000, 1.000000, -0.000000
0.745000, 1.000000, 1.000000, -0.000000
0.750000, 1.000000, 1.000000, -0.000000
