Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000001, 0.000000, -0.000001
0.255000, 0.000002, 0.000000, -0.000001
0.260000, 0.000004, 0.000000, -0.000002
0.265000, 0.000009, 0.000000, -0.000004
0.270000, 0.000017, 0.000000, -0.000008
0.275000, 0.000031, 0.000001, -0.000015
0.280000, 0.000057, 0.000001, -0.000028
0.285000, 0.000100, 0.000003, -0.000049
0.290000, 0.000173, 0.000005, -0.000084
0.295000, 0.000291, 0.000010, -0.000141
0.300000, 0.000479, 0.000018, -0.000230
0.305000, 0.000767, 0.000032, -0.000367
0.310000, 0.001199, 0.000057, -0.000571
0.315000, 0.001830, 0.000098, -0.000866
0.320000, 0.002726, 0.000164, -0.001281
0.325000, 0.003965, 0.000272, -0.001847
0.330000, 0.005633, 0.000440, -0.002596
0.335000, 0.007819, 0.000701, -0.003559
0.340000, 0.010610, 0.001095, -0.004758
0.345000, 0.014080, 0.001678, -0.006201
0.350000, 0.018284, 0.002527, -0.007879
0.355000, 0.023245, 0.003735, -0.009755
0.360000, 0.028955, 0.005423, -0.011766
0.365000, 0.035366, 0.007734, -0.013816
0.370000, 0.042396, 0.010841, -0.015778
0.375000, 0.049934, 0.014934, -0.017500
0.380000, 0.057852, 0.020225, -0.018814
0.385000, 0.066023, 0.026937, -0.019543
0.390000, 0.074336, 0.034725, -0.019805
0.395000, 0.082710, 0.042719, -0.019996
0.400000, 0.091116, 0.052061, -0.019528
0.405000, 0.099578, 0.062860, -0.018359
0.410000, 0.108180, 0.075211, -0.016484
0.415000, 0.117064, 0.089191, -0.013936
0.420000, 0.126418, 0.104853, -0.010783
0.425000, 0.136467, 0.122225, -0.007121
0.430000, 0.147450, 0.141307, -0.003071
0.435000, 0.159608, 0.162074, +0.001233
0.440000, 0.173165, 0.184471, +0.005653
0.445000, 0.188311, 0.208420, +0.010055
0.450000, 0.205191, 0.233821, +0.014315
0.455000, 0.223898, 0.260555, +0.018329
0.460000, 0.244468, 0.288488, +0.022010
0.465000, 0.266879, 0.317474, +0.025298
0.470000, 0.291056, 0.347359, +0.028152
0.475000, 0.316876, 0.377978, +0.030551
0.480000, 0.344178, 0.409162, +0.032492
0.485000, 0.372770, 0.440733, +0.033981
0.490000, 0.402443, 0.472505, +0.035031
0.495000, 0.432974, 0.504282, +0.035654
0.500000, 0.464139, 0.535861, +0.035861
0.505000, 0.495718, 0.567026, +0.035654
0.510000, 0.527495, 0.597557, +0.035031
0.515000, 0.559267, 0.627230, +0.033981
0.520000, 0.590838, 0.655822, +0.032492
0.525000, 0.622022, 0.683124, +0.030551
0.530000, 0.652641, 0.708944, +0.028152
0.535000, 0.682526, 0.733121, +0.025298
0.540000, 0.711512, 0.755532, +0.022010
0.545000, 0.739445, 0.776102, +0.018329
0.550000, 0.766179, 0.794809, +0.014315
0.555000, 0.791580, 0.811689, +0.010055
0.560000, 0.815529, 0.826835, +0.005653
0.565000, 0.837926, 0.840392, +0.001233
0.570000, 0.858693, 0.852550, -0.003071
0.575000, 0.877775, 0.863533, -0.007121
0.580000, 0.895147, 0.873582, -0.010783
0.585000, 0.910809, 0.882936, -0.013936
0.590000, 0.924789, 0.891820, -0.016484
0.595000, 0.937140, 0.900422, -0.018359
0.600000, 0.947939, 0.908884, -0.019528
0.605000, 0.957281, 0.917290, -0.019996
0.610000, 0.965275, 0.925664, -0.019805
0.615000, 0.973063, 0.933977, -0.019543
0.620000, 0.979775, 0.942148, -0.018814
0.625000, 0.985066, 0.950066, -0.017500
0.630000, 0.989159, 0.957604, -0.015778
0.635000, 0.992266, 0.964634, -0.013816
0.640000, 0.994577, 0.971045, -0.011766
0.645000, 0.996265, 0.976755, -0.009755
0.650000, 0.997473, 0.981716, -0.007879
0.655000, 0.998322, 0.985920, -0.006201
0.660000, 0.998905, 0.989390, -0.004758
0.665000, 0.999299, 0.992181, -0.003559
0.670000, 0.999560, 0.994367, -0.002596
0.675000, 0.999728, 0.996035, -0.001847
0.680000, 0.999836, 0.997274, -0.001281
0.685000, 0.999902, 0.998170, -0.000866
0.690000, 0.999943, 0.998801, -0.000571
0.695000, 0.999968, 0.999233, -0.000367
0.700000, 0.999982, 0.999521, -0.000230
0.705000, 0.999990, 0.999709, -0.000141
0.710000, 0.999995, 0.999827, -0.000084
0.715000, 0.999997, 0.999900, -0.000049
0.720000, 0.999999, 0.999943, -0.000028
0.725000, 0.999999, 0.999969, -0.000015
0.730000, 1.000000, 0.999983, -0.000008
0.735000, 1.000000, 0.999991, -0.000004
0.740000, 1.000000, 0.999996, -0.000002
0.745000, 1.000000, 0.999998, -0.000001
0.750000, 1.000000, 0.999999, -0.000001
