MA-2012, 2008P, Definition
state<V>, 0.631971, Statewide fractional D vote
t-bias, -0.006300, state<V> minus average district D vote
S-fptp, 9, Seats from first past the post
S<V>est, 8.936568, Seats at state<V>
S50est, 4.006206, Seats at V=0.5
BS<V>, -1.58983, % Geometric Seat Bias at statewide<V>
BS50, 5.486598, % Simple Bias at V=0.5
BV<V>, -1.719002, % Vote Bias at statewide<V>
BV50, 0.794917, % Vote Bias at V=0.5
R<V>, 0.448417, Responsiveness as a slope in S(V) at statewide<V>
R50, 6.653448, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.249518, Number of responsive districts at statewide <V>
RD50, 5.897798, Number of responsive districts at V=0.5
EG<V>fpp, -23.605800, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -22.901000, Efficiency Gap at state<V> using estimated S(V)
