Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000001, 0.000000, -0.000001, 0.000000, 0.011199, 0.000000
0.255000, 0.000002, 0.000000, -0.000001, 0.000000, 0.013849, 0.000000
0.260000, 0.000004, 0.000000, -0.000002, 0.000000, 0.016910, 0.000000
0.265000, 0.000008, 0.000000, -0.000004, 0.000000, 0.020390, 0.000000
0.270000, 0.000016, 0.000000, -0.000008, 0.000000, 0.024284, 0.000000
0.275000, 0.000030, 0.000000, -0.000015, 0.000000, 0.028575, 0.000000
0.280000, 0.000054, 0.000001, -0.000027, 0.000000, 0.033231, 0.000000
0.285000, 0.000096, 0.000002, -0.000047, 0.000000, 0.038202, 0.000000
0.290000, 0.000167, 0.000003, -0.000082, 0.000000, 0.043431, 0.000000
0.295000, 0.000281, 0.000006, -0.000138, 0.000000, 0.048843, 0.000000
0.300000, 0.000462, 0.000011, -0.000226, 0.000000, 0.054360, 0.000000
0.305000, 0.000741, 0.000020, -0.000361, 0.000000, 0.059897, 0.111111
0.310000, 0.001160, 0.000035, -0.000563, 0.000000, 0.065369, 0.111111
0.315000, 0.001773, 0.000060, -0.000856, 0.000000, 0.070694, 0.111111
0.320000, 0.002644, 0.000103, -0.001270, 0.000000, 0.075798, 0.111111
0.325000, 0.003850, 0.000173, -0.001838, 0.000000, 0.080617, 0.111111
0.330000, 0.005477, 0.000286, -0.002596, 0.000000, 0.085102, 0.111111
0.335000, 0.007613, 0.000462, -0.003576, 0.000000, 0.089219, 0.111111
0.340000, 0.010344, 0.000733, -0.004805, 0.000000, 0.092950, 0.111111
0.345000, 0.013744, 0.001144, -0.006300, 0.000000, 0.096296, 0.111111
0.350000, 0.017867, 0.001753, -0.008057, 0.000000, 0.099273, 0.111111
0.355000, 0.022740, 0.002638, -0.010051, 0.000000, 0.101913, 0.111111
0.360000, 0.028353, 0.003900, -0.012226, 0.000000, 0.104263, 0.111111
0.365000, 0.034658, 0.005668, -0.014495, 0.000000, 0.106383, 0.111111
0.370000, 0.041570, 0.007910, -0.016830, 0.000000, 0.108345, 0.111111
0.375000, 0.048973, 0.010517, -0.019228, 0.000000, 0.110230, 0.111111
0.380000, 0.056733, 0.013830, -0.021451, 0.000000, 0.112128, 0.111111
0.385000, 0.064710, 0.017992, -0.023359, 0.111111, 0.114138, 0.111111
0.390000, 0.072776, 0.023155, -0.024811, 0.111111, 0.116363, 0.111111
0.395000, 0.080834, 0.029485, -0.025675, 0.111111, 0.118915, 0.111111
0.400000, 0.088829, 0.037152, -0.025838, 0.111111, 0.121907, 0.111111
0.405000, 0.096760, 0.046330, -0.025215, 0.111111, 0.125455, 0.111111
0.410000, 0.104687, 0.057186, -0.023750, 0.111111, 0.129679, 0.111111
0.415000, 0.112727, 0.069879, -0.021424, 0.111111, 0.134696, 0.111111
0.420000, 0.121049, 0.084547, -0.018251, 0.111111, 0.140622, 0.111111
0.425000, 0.129865, 0.101303, -0.014281, 0.111111, 0.147569, 0.111111
0.430000, 0.139413, 0.120226, -0.009594, 0.111111, 0.155641, 0.111111
0.435000, 0.149945, 0.141356, -0.004294, 0.111111, 0.164937, 0.111111
0.440000, 0.161710, 0.164690, +0.001490, 0.111111, 0.175547, 0.111111
