Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000065, 0.000000, -0.000032, 0.000000, 0.050743, 0.000000
0.255000, 0.000122, 0.000000, -0.000061, 0.000000, 0.056275, 0.111111
0.260000, 0.000223, 0.000000, -0.000111, 0.000000, 0.061795, 0.111111
0.265000, 0.000394, 0.000000, -0.000197, 0.000000, 0.067219, 0.111111
0.270000, 0.000676, 0.000000, -0.000338, 0.000000, 0.072465, 0.111111
0.275000, 0.001123, 0.000000, -0.000562, 0.000000, 0.077462, 0.111111
0.280000, 0.001810, 0.000000, -0.000905, 0.000000, 0.082146, 0.111111
0.285000, 0.002829, 0.000001, -0.001414, 0.000000, 0.086471, 0.111111
0.290000, 0.004290, 0.000001, -0.002144, 0.000000, 0.090401, 0.111111
0.295000, 0.006314, 0.000002, -0.003156, 0.000000, 0.093919, 0.111111
0.300000, 0.009024, 0.000004, -0.004510, 0.000000, 0.097018, 0.111111
0.305000, 0.012531, 0.000008, -0.006262, 0.000000, 0.099708, 0.111111
0.310000, 0.016918, 0.000014, -0.008452, 0.000000, 0.102007, 0.111111
0.315000, 0.022220, 0.000025, -0.011098, 0.000000, 0.103944, 0.111111
0.320000, 0.028415, 0.000043, -0.014186, 0.000000, 0.105554, 0.111111
0.325000, 0.035410, 0.000073, -0.017668, 0.000000, 0.106877, 0.111111
0.330000, 0.043046, 0.000123, -0.021461, 0.000000, 0.107954, 0.111111
0.335000, 0.051102, 0.000203, -0.025450, 0.000000, 0.108830, 0.111111
0.340000, 0.059322, 0.000329, -0.029496, 0.111111, 0.109547, 0.111111
0.345000, 0.067433, 0.000524, -0.033454, 0.111111, 0.110149, 0.111111
0.350000, 0.075178, 0.000821, -0.037179, 0.111111, 0.110679, 0.111111
0.355000, 0.082344, 0.001263, -0.040541, 0.111111, 0.111179, 0.111111
0.360000, 0.088778, 0.001912, -0.043433, 0.111111, 0.111692, 0.111111
0.365000, 0.094401, 0.002847, -0.045777, 0.111111, 0.112266, 0.111111
0.370000, 0.099211, 0.004168, -0.047521, 0.111111, 0.112948, 0.111111
0.375000, 0.103275, 0.006002, -0.048636, 0.111111, 0.113790, 0.111111
0.380000, 0.106720, 0.008505, -0.049107, 0.111111, 0.114852, 0.111111
0.385000, 0.109711, 0.011860, -0.048925, 0.111111, 0.116197, 0.111111
0.390000, 0.112441, 0.016278, -0.048081, 0.111111, 0.117896, 0.111111
0.395000, 0.115114, 0.021994, -0.046560, 0.111111, 0.120025, 0.111111
0.400000, 0.117938, 0.029262, -0.044338, 0.111111, 0.122667, 0.111111
0.405000, 0.121113, 0.038344, -0.041384, 0.111111, 0.125911, 0.111111
0.410000, 0.124833, 0.049502, -0.037665, 0.111111, 0.129848, 0.111111
0.415000, 0.129278, 0.062977, -0.033150, 0.111111, 0.134575, 0.111111
0.420000, 0.134619, 0.078979, -0.027820, 0.111111, 0.140188, 0.111111
0.425000, 0.141015, 0.097668, -0.021673, 0.111111, 0.146784, 0.111111
0.430000, 0.148608, 0.119137, -0.014736, 0.111111, 0.154457, 0.111111
0.435000, 0.157531, 0.143402, -0.007065, 0.111111, 0.163300, 0.111111
0.440000, 0.167895, 0.170391, +0.001248, 0.111111, 0.173402, 0.111111
0.445000, 0.179797, 0.199941, +0.010072, 0.111111, 0.184848, 0.111111
0.450000, 0.193313, 0.231797, +0.019242, 0.111111, 0.197718, 0.111111
0.455000, 0.208498, 0.265623, +0.028562, 0.111111, 0.212089, 0.111111
0.460000, 0.225386, 0.301014, +0.037814, 0.111111, 0.228031, 0.222222
0.465000, 0.243991, 0.337514, +0.046761, 0.222222, 0.245608, 0.222222
0.470000, 0.264305, 0.374638, +0.055167, 0.222222, 0.264874, 0.222222
0.475000, 0.286300, 0.411895, +0.062797, 0.222222, 0.285874, 0.222222
0.480000, 0.309930, 0.448811, +0.069440, 0.222222, 0.308635, 0.222222
0.485000, 0.335127, 0.484946, +0.074910, 0.333333, 0.333165, 0.333333
0.490000, 0.361804, 0.519191, +0.078693, 0.333333, 0.359445, 0.333333
0.495000, 0.389853, 0.550479, +0.080313, 0.333333, 0.387425, 0.333333
0.500000, 0.419143, 0.580857, +0.080857, 0.333333, 0.417014, 0.333333
0.505000, 0.449521, 0.610147, +0.080313, 0.333333, 0.448083, 0.333333
0.510000, 0.480809, 0.638196, +0.078693, 0.333333, 0.480454, 0.333333
0.515000, 0.515054, 0.664873, +0.074910, 0.333333, 0.513902, 0.333333
0.520000, 0.551189, 0.690070, +0.069440, 0.444444, 0.548158, 0.444444
0.525000, 0.588105, 0.713700, +0.062797, 0.555556, 0.582915, 0.555556
0.530000, 0.625362, 0.735695, +0.055167, 0.555556, 0.617831, 0.555556
0.535000, 0.662486, 0.756009, +0.046761, 0.777778, 0.652544, 0.666667
0.540000, 0.698986, 0.774614, +0.037814, 0.777778, 0.686684, 0.777778
0.545000, 0.734377, 0.791502, +0.028562, 0.888889, 0.719884, 0.777778
0.550000, 0.768203, 0.806687, +0.019242, 0.888889, 0.751800, 0.888889
0.555000, 0.800059, 0.820203, +0.010072, 1.000000, 0.782116, 0.888889
0.560000, 0.829609, 0.832105, +0.001248, 1.000000, 0.810564, 1.000000
0.565000, 0.856598, 0.842469, -0.007065, 1.000000, 0.836929, 1.000000
0.570000, 0.880863, 0.851392, -0.014736, 1.000000, 0.861057, 1.000000
0.575000, 0.902332, 0.858985, -0.021673, 1.000000, 0.882856, 1.000000
0.580000, 0.921021, 0.865381, -0.027820, 1.000000, 0.902295, 1.000000
0.585000, 0.937023, 0.870722, -0.033150, 1.000000, 0.919403, 1.000000
0.590000, 0.950498, 0.875167, -0.037665, 1.000000, 0.934261, 1.000000
0.595000, 0.961656, 0.878887, -0.041384, 1.000000, 0.946992, 1.000000
0.600000, 0.970738, 0.882062, -0.044338, 1.000000, 0.957755, 1.000000
0.605000, 0.978006, 0.884886, -0.046560, 1.000000, 0.966730, 1.000000
0.610000, 0.983722, 0.887559, -0.048081, 1.000000, 0.974113, 1.000000
0.615000, 0.988140, 0.890289, -0.048925, 1.000000, 0.980102, 1.000000
0.620000, 0.991495, 0.893280, -0.049107, 1.000000, 0.984894, 1.000000
0.625000, 0.993998, 0.896725, -0.048636, 1.000000, 0.988675, 1.000000
0.630000, 0.995832, 0.900789, -0.047521, 1.000000, 0.991617, 1.000000
0.635000, 0.997153, 0.905599, -0.045777, 1.000000, 0.993874, 1.000000
0.640000, 0.998088, 0.911222, -0.043433, 1.000000, 0.995580, 1.000000
0.645000, 0.998737, 0.917656, -0.040541, 1.000000, 0.996853, 1.000000
0.650000, 0.999179, 0.924822, -0.037179, 1.000000, 0.997789, 1.000000
0.655000, 0.999476, 0.932567, -0.033454, 1.000000, 0.998467, 1.000000
0.660000, 0.999671, 0.940678, -0.029496, 1.000000, 0.998951, 1.000000
0.665000, 0.999797, 0.948898, -0.025450, 1.000000, 0.999292, 1.000000
0.670000, 0.999877, 0.956954, -0.021461, 1.000000, 0.999528, 1.000000
0.675000, 0.999927, 0.964590, -0.017668, 1.000000, 0.999690, 1.000000
0.680000, 0.999957, 0.971585, -0.014186, 1.000000, 0.999799, 1.000000
0.685000, 0.999975, 0.977780, -0.011098, 1.000000, 0.999872, 1.000000
0.690000, 0.999986, 0.983082, -0.008452, 1.000000, 0.999919, 1.000000
0.695000, 0.999992, 0.987469, -0.006262, 1.000000, 0.999950, 1.000000
0.700000, 0.999996, 0.990976, -0.004510, 1.000000, 0.999969, 1.000000
0.705000, 0.999998, 0.993686, -0.003156, 1.000000, 0.999981, 1.000000
0.710000, 0.999999, 0.995710, -0.002144, 1.000000, 0.999989, 1.000000
0.715000, 0.999999, 0.997171, -0.001414, 1.000000, 0.999994, 1.000000
0.720000, 1.000000, 0.998190, -0.000905, 1.000000, 0.999996, 1.000000
0.725000, 1.000000, 0.998877, -0.000562, 1.000000, 0.999998, 1.000000
0.730000, 1.000000, 0.999324, -0.000338, 1.000000, 0.999999, 1.000000
0.735000, 1.000000, 0.999606, -0.000197, 1.000000, 0.999999, 1.000000
0.740000, 1.000000, 0.999777, -0.000111, 1.000000, 1.000000, 1.000000
0.745000, 1.000000, 0.999878, -0.000061, 1.000000, 1.000000, 1.000000
0.750000, 1.000000, 0.999935, -0.000032, 1.000000, 1.000000, 1.000000
