Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000056, 0.000000, -0.000028, 0.000000, 0.059491, 0.111111
0.255000, 0.000105, 0.000000, -0.000053, 0.000000, 0.064965, 0.111111
0.260000, 0.000193, 0.000000, -0.000097, 0.000000, 0.070295, 0.111111
0.265000, 0.000343, 0.000000, -0.000172, 0.000000, 0.075405, 0.111111
0.270000, 0.000592, 0.000000, -0.000296, 0.000000, 0.080227, 0.111111
0.275000, 0.000989, 0.000001, -0.000494, 0.000000, 0.084707, 0.111111
0.280000, 0.001603, 0.000001, -0.000801, 0.000000, 0.088805, 0.111111
0.285000, 0.002520, 0.000003, -0.001259, 0.000000, 0.092497, 0.111111
0.290000, 0.003845, 0.000005, -0.001920, 0.000000, 0.095771, 0.111111
0.295000, 0.005695, 0.000010, -0.002842, 0.000000, 0.098630, 0.111111
0.300000, 0.008191, 0.000018, -0.004087, 0.000000, 0.101089, 0.111111
0.305000, 0.011450, 0.000032, -0.005709, 0.000000, 0.103173, 0.111111
0.310000, 0.015560, 0.000055, -0.007753, 0.000000, 0.104914, 0.111111
0.315000, 0.020574, 0.000094, -0.010240, 0.000000, 0.106352, 0.111111
0.320000, 0.026486, 0.000157, -0.013165, 0.000000, 0.107526, 0.111111
0.325000, 0.033228, 0.000258, -0.016485, 0.000000, 0.108480, 0.111111
0.330000, 0.040662, 0.000416, -0.020123, 0.000000, 0.109258, 0.111111
0.335000, 0.048589, 0.000657, -0.023966, 0.000000, 0.109905, 0.111111
0.340000, 0.056767, 0.001021, -0.027873, 0.111111, 0.110463, 0.111111
0.345000, 0.064932, 0.001556, -0.031688, 0.111111, 0.110978, 0.111111
0.350000, 0.072829, 0.002329, -0.035250, 0.111111, 0.111496, 0.111111
0.355000, 0.080235, 0.003425, -0.038405, 0.111111, 0.112063, 0.111111
0.360000, 0.086988, 0.004949, -0.041019, 0.111111, 0.112732, 0.111111
0.365000, 0.092996, 0.007029, -0.042984, 0.111111, 0.113559, 0.111111
0.370000, 0.098245, 0.009814, -0.044216, 0.111111, 0.114606, 0.111111
0.375000, 0.102798, 0.013476, -0.044661, 0.111111, 0.115941, 0.111111
0.380000, 0.106779, 0.018206, -0.044287, 0.111111, 0.117639, 0.111111
0.385000, 0.110363, 0.024207, -0.043078, 0.111111, 0.119782, 0.111111
0.390000, 0.113756, 0.031690, -0.041033, 0.111111, 0.122456, 0.111111
0.395000, 0.117184, 0.040864, -0.038160, 0.111111, 0.125749, 0.111111
0.400000, 0.120875, 0.051924, -0.034476, 0.111111, 0.129753, 0.111111
0.405000, 0.125050, 0.065043, -0.030004, 0.111111, 0.134552, 0.111111
0.410000, 0.129918, 0.080357, -0.024780, 0.111111, 0.140230, 0.111111
0.415000, 0.135670, 0.097959, -0.018855, 0.111111, 0.146857, 0.111111
0.420000, 0.142472, 0.117885, -0.012293, 0.111111, 0.154494, 0.111111
0.425000, 0.150466, 0.140110, -0.005178, 0.111111, 0.163185, 0.111111
0.430000, 0.159765, 0.164542, +0.002389, 0.111111, 0.172963, 0.111111
0.435000, 0.170451, 0.191026, +0.010287, 0.111111, 0.183841, 0.111111
0.440000, 0.182578, 0.219341, +0.018382, 0.111111, 0.195822, 0.111111
0.445000, 0.196165, 0.249210, +0.026523, 0.111111, 0.208898, 0.111111
0.450000, 0.211204, 0.280309, +0.034553, 0.111111, 0.223054, 0.111111
0.455000, 0.227660, 0.312280, +0.042310, 0.111111, 0.238273, 0.222222
0.460000, 0.245480, 0.344744, +0.049632, 0.111111, 0.254539, 0.333333
0.465000, 0.264592, 0.376909, +0.056159, 0.333333, 0.271846, 0.333333
0.470000, 0.284918, 0.405324, +0.060203, 0.333333, 0.290194, 0.333333
0.475000, 0.306375, 0.433819, +0.063722, 0.333333, 0.309592, 0.333333
0.480000, 0.328883, 0.462221, +0.066669, 0.333333, 0.330059, 0.333333
0.485000, 0.352364, 0.490374, +0.069005, 0.333333, 0.351619, 0.333333
0.490000, 0.376747, 0.518140, +0.070697, 0.333333, 0.374295, 0.333333
0.495000, 0.401960, 0.545404, +0.071722, 0.333333, 0.398100, 0.333333
0.500000, 0.427935, 0.572065, +0.072065, 0.333333, 0.423035, 0.333333
0.505000, 0.454596, 0.598040, +0.071722, 0.333333, 0.449076, 0.333333
0.510000, 0.481860, 0.623253, +0.070697, 0.333333, 0.476169, 0.333333
0.515000, 0.509626, 0.647636, +0.069005, 0.444444, 0.504222, 0.444444
0.520000, 0.537779, 0.671117, +0.066669, 0.444444, 0.533108, 0.444444
0.525000, 0.566181, 0.693625, +0.063722, 0.444444, 0.562658, 0.444444
0.530000, 0.594676, 0.715082, +0.060203, 0.444444, 0.592667, 0.444444
0.535000, 0.623091, 0.735408, +0.056159, 0.666667, 0.622901, 0.666667
0.540000, 0.655256, 0.754520, +0.049632, 0.777778, 0.653101, 0.777778
