Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000031, 0.000000, -0.000015, 0.000000, 0.050589, 0.000000
0.255000, 0.000059, 0.000000, -0.000029, 0.000000, 0.056120, 0.111111
0.260000, 0.000110, 0.000000, -0.000055, 0.000000, 0.061642, 0.111111
0.265000, 0.000200, 0.000000, -0.000100, 0.000000, 0.067069, 0.111111
0.270000, 0.000351, 0.000001, -0.000175, 0.000000, 0.072322, 0.111111
0.275000, 0.000599, 0.000001, -0.000299, 0.000000, 0.077327, 0.111111
0.280000, 0.000992, 0.000002, -0.000495, 0.000000, 0.082023, 0.111111
0.285000, 0.001594, 0.000005, -0.000795, 0.000000, 0.086360, 0.111111
0.290000, 0.002488, 0.000008, -0.001240, 0.000000, 0.090305, 0.111111
0.295000, 0.003771, 0.000015, -0.001878, 0.000000, 0.093839, 0.111111
0.300000, 0.005556, 0.000028, -0.002764, 0.000000, 0.096958, 0.111111
0.305000, 0.007957, 0.000049, -0.003954, 0.000000, 0.099671, 0.111111
0.310000, 0.011085, 0.000084, -0.005501, 0.000000, 0.101999, 0.111111
0.315000, 0.015030, 0.000141, -0.007444, 0.000000, 0.103973, 0.111111
0.320000, 0.019844, 0.000233, -0.009805, 0.000000, 0.105631, 0.111111
0.325000, 0.025533, 0.000378, -0.012577, 0.000000, 0.107016, 0.111111
0.330000, 0.032041, 0.000602, -0.015720, 0.000000, 0.108178, 0.111111
0.335000, 0.039250, 0.000939, -0.019156, 0.000000, 0.109166, 0.111111
0.340000, 0.046986, 0.001438, -0.022774, 0.000000, 0.110033, 0.111111
0.345000, 0.055029, 0.002160, -0.026434, 0.000000, 0.110832, 0.111111
0.350000, 0.063137, 0.003186, -0.029976, 0.111111, 0.111618, 0.111111
0.355000, 0.071071, 0.004614, -0.033229, 0.111111, 0.112446, 0.111111
0.360000, 0.078621, 0.006564, -0.036028, 0.111111, 0.113374, 0.111111
0.365000, 0.085625, 0.009175, -0.038225, 0.111111, 0.114461, 0.111111
0.370000, 0.091990, 0.012606, -0.039692, 0.111111, 0.115770, 0.111111
0.375000, 0.097698, 0.017030, -0.040334, 0.111111, 0.117366, 0.111111
0.380000, 0.102800, 0.022630, -0.040085, 0.111111, 0.119315, 0.111111
0.385000, 0.107415, 0.029596, -0.038910, 0.111111, 0.121687, 0.111111
0.390000, 0.111711, 0.038107, -0.036802, 0.111111, 0.124553, 0.111111
0.395000, 0.115890, 0.048331, -0.033779, 0.111111, 0.127986, 0.111111
0.400000, 0.120175, 0.060412, -0.029882, 0.111111, 0.132058, 0.111111
0.405000, 0.124792, 0.074458, -0.025167, 0.111111, 0.136841, 0.111111
0.410000, 0.129961, 0.090537, -0.019712, 0.111111, 0.142405, 0.111111
0.415000, 0.135887, 0.108670, -0.013609, 0.111111, 0.148817, 0.111111
0.420000, 0.142756, 0.128825, -0.006965, 0.111111, 0.156144, 0.111111
0.425000, 0.150728, 0.150923, +0.000097, 0.111111, 0.164448, 0.111111
0.430000, 0.159942, 0.174833, +0.007445, 0.111111, 0.173786, 0.111111
0.435000, 0.170508, 0.200381, +0.014937, 0.111111, 0.184215, 0.111111
0.440000, 0.182510, 0.227358, +0.022424, 0.111111, 0.195785, 0.222222
0.445000, 0.196010, 0.255525, +0.029758, 0.111111, 0.208542, 0.222222
0.450000, 0.211041, 0.284626, +0.036793, 0.111111, 0.222527, 0.222222
0.455000, 0.227613, 0.311192, +0.041789, 0.222222, 0.237775, 0.222222
0.460000, 0.245713, 0.337600, +0.045943, 0.222222, 0.254311, 0.222222
0.465000, 0.265306, 0.364750, +0.049722, 0.222222, 0.272150, 0.222222
0.470000, 0.286335, 0.392506, +0.053085, 0.222222, 0.291297, 0.222222
0.475000, 0.308723, 0.420719, +0.055998, 0.222222, 0.311740, 0.222222
0.480000, 0.332376, 0.449230, +0.058427, 0.222222, 0.333452, 0.222222
0.485000, 0.357180, 0.477873, +0.060346, 0.222222, 0.356389, 0.333333
0.490000, 0.383007, 0.506474, +0.061734, 0.333333, 0.380488, 0.333333
0.495000, 0.409714, 0.534859, +0.062573, 0.333333, 0.405667, 0.333333
0.500000, 0.437146, 0.562854, +0.062854, 0.333333, 0.431826, 0.333333
0.505000, 0.465141, 0.590286, +0.062573, 0.555556, 0.458846, 0.555556
0.510000, 0.493526, 0.616993, +0.061734, 0.555556, 0.486592, 0.555556
0.515000, 0.522127, 0.642820, +0.060346, 0.555556, 0.514916, 0.555556
0.520000, 0.550770, 0.667624, +0.058427, 0.555556, 0.543655, 0.555556
0.525000, 0.579281, 0.691277, +0.055998, 0.555556, 0.572638, 0.555556
0.530000, 0.607494, 0.713665, +0.053085, 0.555556, 0.601685, 0.555556
0.535000, 0.635250, 0.734694, +0.049722, 0.555556, 0.630612, 0.555556
0.540000, 0.662400, 0.754287, +0.045943, 0.666667, 0.659231, 0.666667
0.545000, 0.688808, 0.772387, +0.041789, 0.666667, 0.687359, 0.666667
0.550000, 0.715374, 0.788959, +0.036793, 0.777778, 0.714813, 0.777778
0.555000, 0.744475, 0.803990, +0.029758, 0.777778, 0.741420, 0.777778
0.560000, 0.772642, 0.817490, +0.022424, 0.888889, 0.767018, 0.888889
0.565000, 0.799619, 0.829492, +0.014937, 0.888889, 0.791458, 0.888889
0.570000, 0.825167, 0.840058, +0.007445, 0.888889, 0.814612, 0.888889
0.575000, 0.849077, 0.849272, +0.000097, 0.888889, 0.836368, 0.888889
0.580000, 0.871175, 0.857244, -0.006965, 0.888889, 0.856640, 0.888889
0.585000, 0.891330, 0.864113, -0.013609, 1.000000, 0.875366, 0.888889
0.590000, 0.909463, 0.870039, -0.019712, 1.000000, 0.892511, 1.000000
0.595000, 0.925542, 0.875208, -0.025167, 1.000000, 0.908062, 1.000000
0.600000, 0.939588, 0.879825, -0.029882, 1.000000, 0.922035, 1.000000
0.605000, 0.951669, 0.884110, -0.033779, 1.000000, 0.934468, 1.000000
0.610000, 0.961893, 0.888289, -0.036802, 1.000000, 0.945420, 1.000000
0.615000, 0.970404, 0.892585, -0.038910, 1.000000, 0.954968, 1.000000
0.620000, 0.977370, 0.897200, -0.040085, 1.000000, 0.963205, 1.000000
0.625000, 0.982970, 0.902302, -0.040334, 1.000000, 0.970234, 1.000000
0.630000, 0.987394, 0.908010, -0.039692, 1.000000, 0.976167, 1.000000
0.635000, 0.990825, 0.914375, -0.038225, 1.000000, 0.981116, 1.000000
0.640000, 0.993436, 0.921379, -0.036028, 1.000000, 0.985199, 1.000000
0.645000, 0.995386, 0.928929, -0.033229, 1.000000, 0.988526, 1.000000
0.650000, 0.996814, 0.936863, -0.029976, 1.000000, 0.991206, 1.000000
0.655000, 0.997840, 0.944971, -0.026434, 1.000000, 0.993337, 1.000000
0.660000, 0.998562, 0.953014, -0.022774, 1.000000, 0.995011, 1.000000
0.665000, 0.999061, 0.960750, -0.019156, 1.000000, 0.996309, 1.000000
0.670000, 0.999398, 0.967959, -0.015720, 1.000000, 0.997302, 1.000000
0.675000, 0.999622, 0.974467, -0.012577, 1.000000, 0.998053, 1.000000
0.680000, 0.999767, 0.980156, -0.009805, 1.000000, 0.998612, 1.000000
0.685000, 0.999859, 0.984970, -0.007444, 1.000000, 0.999023, 1.000000
0.690000, 0.999916, 0.988915, -0.005501, 1.000000, 0.999322, 1.000000
0.695000, 0.999951, 0.992043, -0.003954, 1.000000, 0.999535, 1.000000
0.700000, 0.999972, 0.994444, -0.002764, 1.000000, 0.999686, 1.000000
0.705000, 0.999985, 0.996229, -0.001878, 1.000000, 0.999790, 1.000000
0.710000, 0.999992, 0.997512, -0.001240, 1.000000, 0.999862, 1.000000
0.715000, 0.999995, 0.998406, -0.000795, 1.000000, 0.999910, 1.000000
0.720000, 0.999998, 0.999008, -0.000495, 1.000000, 0.999943, 1.000000
0.725000, 0.999999, 0.999401, -0.000299, 1.000000, 0.999964, 1.000000
0.730000, 0.999999, 0.999649, -0.000175, 1.000000, 0.999977, 1.000000
0.735000, 1.000000, 0.999800, -0.000100, 1.000000, 0.999986, 1.000000
0.740000, 1.000000, 0.999890, -0.000055, 1.000000, 0.999992, 1.000000
0.745000, 1.000000, 0.999941, -0.000029, 1.000000, 0.999995, 1.000000
0.750000, 1.000000, 0.999969, -0.000015, 1.000000, 0.999997, 1.000000
