Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000043, 0.000000, -0.000022
0.255000, 0.000082, 0.000000, -0.000041
0.260000, 0.000152, 0.000000, -0.000076
0.265000, 0.000273, 0.000000, -0.000137
0.270000, 0.000475, 0.000000, -0.000237
0.275000, 0.000801, 0.000000, -0.000400
0.280000, 0.001310, 0.000001, -0.000654
0.285000, 0.002078, 0.000002, -0.001038
0.290000, 0.003202, 0.000004, -0.001599
0.295000, 0.004790, 0.000007, -0.002392
0.300000, 0.006962, 0.000012, -0.003475
0.305000, 0.009834, 0.000022, -0.004906
0.310000, 0.013508, 0.000039, -0.006734
0.315000, 0.018054, 0.000068, -0.008993
0.320000, 0.023495, 0.000115, -0.011690
0.325000, 0.029796, 0.000191, -0.014802
0.330000, 0.036854, 0.000313, -0.018270
0.335000, 0.044505, 0.000503, -0.022001
0.340000, 0.052531, 0.000794, -0.025869
0.345000, 0.060684, 0.001231, -0.029726
0.350000, 0.068707, 0.001875, -0.033416
0.355000, 0.076364, 0.002806, -0.036779
0.360000, 0.083466, 0.004127, -0.039670
0.365000, 0.089884, 0.005966, -0.041959
0.370000, 0.095568, 0.008479, -0.043544
0.375000, 0.100540, 0.011853, -0.044344
0.380000, 0.104892, 0.016297, -0.044297
0.385000, 0.108770, 0.022048, -0.043361
0.390000, 0.112364, 0.029358, -0.041503
0.395000, 0.115883, 0.038484, -0.038700
0.400000, 0.119548, 0.049679, -0.034934
0.405000, 0.123576, 0.063175, -0.030200
0.410000, 0.128173, 0.079166, -0.024503
0.415000, 0.133524, 0.097791, -0.017867
0.420000, 0.139795, 0.119121, -0.010337
0.425000, 0.147122, 0.143142, -0.001990
0.430000, 0.155615, 0.169750, +0.007068
0.435000, 0.165354, 0.198747, +0.016697
0.440000, 0.176391, 0.229842, +0.026725
0.445000, 0.188750, 0.262662, +0.036956
0.450000, 0.202430, 0.296768, +0.047169
0.455000, 0.217410, 0.331676, +0.057133
0.460000, 0.233652, 0.366880, +0.066614
0.465000, 0.251110, 0.399118, +0.074004
0.470000, 0.269735, 0.428947, +0.079606
0.475000, 0.289480, 0.458475, +0.084497
0.480000, 0.310305, 0.487512, +0.088604
0.485000, 0.332177, 0.515904, +0.091863
0.490000, 0.355073, 0.543528, +0.094227
0.495000, 0.378974, 0.570294, +0.095660
0.500000, 0.403860, 0.596140, +0.096140
0.505000, 0.429706, 0.621026, +0.095660
0.510000, 0.456472, 0.644927, +0.094227
0.515000, 0.484096, 0.667823, +0.091863
0.520000, 0.512488, 0.689695, +0.088604
0.525000, 0.541525, 0.710520, +0.084497
0.530000, 0.571053, 0.730265, +0.079606
0.535000, 0.600882, 0.748890, +0.074004
0.540000, 0.633120, 0.766348, +0.066614
0.545000, 0.668324, 0.782590, +0.057133
0.550000, 0.703232, 0.797570, +0.047169
0.555000, 0.737338, 0.811250, +0.036956
0.560000, 0.770158, 0.823609, +0.026725
0.565000, 0.801253, 0.834646, +0.016697
0.570000, 0.830250, 0.844385, +0.007068
0.575000, 0.856858, 0.852878, -0.001990
0.580000, 0.880879, 0.860205, -0.010337
0.585000, 0.902209, 0.866476, -0.017867
0.590000, 0.920834, 0.871827, -0.024503
0.595000, 0.936825, 0.876424, -0.030200
0.600000, 0.950321, 0.880452, -0.034934
0.605000, 0.961516, 0.884117, -0.038700
0.610000, 0.970642, 0.887636, -0.041503
0.615000, 0.977952, 0.891230, -0.043361
0.620000, 0.983703, 0.895108, -0.044297
0.625000, 0.988147, 0.899460, -0.044344
0.630000, 0.991521, 0.904432, -0.043544
0.635000, 0.994034, 0.910116, -0.041959
0.640000, 0.995873, 0.916534, -0.039670
0.645000, 0.997194, 0.923636, -0.036779
0.650000, 0.998125, 0.931293, -0.033416
0.655000, 0.998769, 0.939316, -0.029726
0.660000, 0.999206, 0.947469, -0.025869
0.665000, 0.999497, 0.955495, -0.022001
0.670000, 0.999687, 0.963146, -0.018270
0.675000, 0.999809, 0.970204, -0.014802
0.680000, 0.999885, 0.976505, -0.011690
0.685000, 0.999932, 0.981946, -0.008993
0.690000, 0.999961, 0.986492, -0.006734
0.695000, 0.999978, 0.990166, -0.004906
0.700000, 0.999988, 0.993038, -0.003475
0.705000, 0.999993, 0.995210, -0.002392
0.710000, 0.999996, 0.996798, -0.001599
0.715000, 0.999998, 0.997922, -0.001038
0.720000, 0.999999, 0.998690, -0.000654
0.725000, 1.000000, 0.999199, -0.000400
0.730000, 1.000000, 0.999525, -0.000237
0.735000, 1.000000, 0.999727, -0.000137
0.740000, 1.000000, 0.999848, -0.000076
0.745000, 1.000000, 0.999918, -0.000041
0.750000, 1.000000, 0.999957, -0.000022
