Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000000, 0.000062, +0.000031, 0.000000, 0.000124, 0.000000
0.255000, 0.000000, 0.000117, +0.000058, 0.000000, 0.000191, 0.000000
0.260000, 0.000000, 0.000215, +0.000107, 0.000000, 0.000289, 0.000000
0.265000, 0.000001, 0.000382, +0.000191, 0.000000, 0.000432, 0.000000
0.270000, 0.000001, 0.000659, +0.000329, 0.000000, 0.000637, 0.000000
0.275000, 0.000003, 0.001102, +0.000550, 0.000000, 0.000925, 0.000000
0.280000, 0.000005, 0.001786, +0.000891, 0.000000, 0.001326, 0.000000
0.285000, 0.000009, 0.002810, +0.001400, 0.000000, 0.001874, 0.000000
0.290000, 0.000017, 0.004288, +0.002136, 0.000000, 0.002612, 0.000000
0.295000, 0.000032, 0.006355, +0.003162, 0.000000, 0.003592, 0.000000
0.300000, 0.000056, 0.009146, +0.004545, 0.000000, 0.004873, 0.000000
0.305000, 0.000097, 0.012791, +0.006347, 0.000000, 0.006522, 0.000000
0.310000, 0.000165, 0.017393, +0.008614, 0.000000, 0.008616, 0.000000
0.315000, 0.000275, 0.023012, +0.011368, 0.000000, 0.011232, 0.000000
0.320000, 0.000449, 0.029645, +0.014598, 0.000000, 0.014453, 0.000000
0.325000, 0.000718, 0.037218, +0.018250, 0.000000, 0.018362, 0.000000
0.330000, 0.001124, 0.045579, +0.022228, 0.000000, 0.023034, 0.000000
0.335000, 0.001724, 0.054510, +0.026393, 0.000000, 0.028536, 0.000000
0.340000, 0.002592, 0.063744, +0.030576, 0.000000, 0.034924, 0.000000
0.345000, 0.003822, 0.072990, +0.034584, 0.000000, 0.042233, 0.000000
0.350000, 0.005524, 0.081966, +0.038221, 0.000000, 0.050476, 0.000000
0.355000, 0.007832, 0.090428, +0.041298, 0.000000, 0.059644, 0.000000
0.360000, 0.010895, 0.098198, +0.043652, 0.000000, 0.069703, 0.000000
0.365000, 0.014872, 0.105180, +0.045154, 0.000000, 0.080592, 0.000000
0.370000, 0.019933, 0.111362, +0.045715, 0.000000, 0.092232, 0.000000
0.375000, 0.026238, 0.116817, +0.045290, 0.000000, 0.104526, 0.000000
0.380000, 0.033938, 0.121684, +0.043873, 0.000000, 0.117369, 0.125000
0.385000, 0.043157, 0.126151, +0.041497, 0.000000, 0.130654, 0.125000
0.390000, 0.053984, 0.130435, +0.038226, 0.000000, 0.144280, 0.125000
0.395000, 0.066468, 0.134764, +0.034148, 0.000000, 0.158165, 0.250000
0.400000, 0.080609, 0.139356, +0.029373, 0.000000, 0.172252, 0.250000
0.405000, 0.096364, 0.144412, +0.024024, 0.000000, 0.186512, 0.250000
0.410000, 0.113647, 0.149916, +0.018135, 0.000000, 0.200954, 0.250000
0.415000, 0.132341, 0.155289, +0.011474, 0.125000, 0.215624, 0.250000
0.420000, 0.152311, 0.161451, +0.004570, 0.125000, 0.230599, 0.250000
0.425000, 0.173416, 0.168492, -0.002462, 0.250000, 0.245988, 0.250000
0.430000, 0.195523, 0.176505, -0.009509, 0.250000, 0.261919, 0.250000
0.435000, 0.218518, 0.185586, -0.016466, 0.250000, 0.278532, 0.250000
0.440000, 0.242312, 0.195835, -0.023238, 0.250000, 0.295964, 0.250000
0.445000, 0.266840, 0.207348, -0.029746, 0.250000, 0.314337, 0.250000
0.450000, 0.292064, 0.220217, -0.035923, 0.250000, 0.333746, 0.250000
0.455000, 0.317954, 0.234529, -0.041712, 0.250000, 0.354249, 0.250000
0.460000, 0.344484, 0.250355, -0.047064, 0.250000, 0.375858, 0.250000
0.465000, 0.371617, 0.267746, -0.051935, 0.250000, 0.398535, 0.250000
0.470000, 0.399293, 0.286729, -0.056282, 0.250000, 0.422191, 0.250000
0.475000, 0.427419, 0.307295, -0.060062, 0.250000, 0.446687, 0.375000
0.480000, 0.455865, 0.329402, -0.063231, 0.375000, 0.471843, 0.375000
0.485000, 0.484462, 0.352964, -0.065749, 0.375000, 0.497444, 0.625000
0.490000, 0.513013, 0.377857, -0.067578, 0.625000, 0.523252, 0.625000
0.495000, 0.541291, 0.403915, -0.068688, 0.625000, 0.549021, 0.625000
0.500000, 0.569060, 0.430940, -0.069060, 0.625000, 0.574503, 0.625000
0.505000, 0.596085, 0.458709, -0.068688, 0.625000, 0.599464, 0.625000
0.510000, 0.622143, 0.486987, -0.067578, 0.750000, 0.623691, 0.750000
0.515000, 0.647036, 0.515538, -0.065749, 0.750000, 0.647001, 0.750000
0.520000, 0.670598, 0.544135, -0.063231, 0.750000, 0.669242, 0.750000
0.525000, 0.692705, 0.572581, -0.060062, 0.750000, 0.690298, 0.750000
0.530000, 0.713271, 0.600707, -0.056282, 0.750000, 0.710086, 0.750000
0.535000, 0.732254, 0.628383, -0.051935, 0.750000, 0.728556, 0.750000
0.540000, 0.749645, 0.655516, -0.047064, 0.750000, 0.745685, 0.750000
0.545000, 0.765471, 0.682046, -0.041712, 0.750000, 0.761473, 0.750000
0.550000, 0.779783, 0.707936, -0.035923, 0.875000, 0.775938, 0.750000
0.555000, 0.792652, 0.733160, -0.029746, 0.875000, 0.789116, 0.875000
0.560000, 0.804165, 0.757688, -0.023238, 0.875000, 0.801050, 0.875000
0.565000, 0.814414, 0.781482, -0.016466, 0.875000, 0.811795, 0.875000
0.570000, 0.823495, 0.804477, -0.009509, 0.875000, 0.821412, 0.875000
0.575000, 0.831508, 0.826584, -0.002462, 0.875000, 0.829966, 0.875000
0.580000, 0.838549, 0.847689, +0.004570, 0.875000, 0.837530, 0.875000
0.585000, 0.844711, 0.867659, +0.011474, 0.875000, 0.844182, 0.875000
0.590000, 0.850084, 0.886353, +0.018135, 0.875000, 0.850007, 0.875000
0.595000, 0.855588, 0.903636, +0.024024, 0.875000, 0.855093, 0.875000
0.600000, 0.860644, 0.919391, +0.029373, 0.875000, 0.859535, 0.875000
0.605000, 0.865236, 0.933532, +0.034148, 0.875000, 0.863435, 0.875000
0.610000, 0.869565, 0.946016, +0.038226, 0.875000, 0.866897, 0.875000
0.615000, 0.873849, 0.956843, +0.041497, 0.875000, 0.870027, 0.875000
0.620000, 0.878316, 0.966062, +0.043873, 0.875000, 0.872936, 0.875000
0.625000, 0.883183, 0.973762, +0.045290, 0.875000, 0.875729, 0.875000
0.630000, 0.888638, 0.980067, +0.045715, 0.875000, 0.878512, 0.875000
0.635000, 0.894820, 0.985128, +0.045154, 0.875000, 0.881382, 0.875000
0.640000, 0.901802, 0.989105, +0.043652, 0.875000, 0.884427, 0.875000
0.645000, 0.909572, 0.992168, +0.041298, 0.875000, 0.887726, 0.875000
0.650000, 0.918034, 0.994476, +0.038221, 0.875000, 0.891341, 0.875000
0.655000, 0.927010, 0.996178, +0.034584, 0.875000, 0.895319, 0.875000
0.660000, 0.936256, 0.997408, +0.030576, 0.875000, 0.899687, 0.875000
0.665000, 0.945490, 0.998276, +0.026393, 1.000000, 0.904453, 0.875000
0.670000, 0.954421, 0.998876, +0.022228, 1.000000, 0.909604, 0.875000
0.675000, 0.962782, 0.999282, +0.018250, 1.000000, 0.915106, 0.875000
0.680000, 0.970355, 0.999551, +0.014598, 1.000000, 0.920907, 0.875000
0.685000, 0.976988, 0.999725, +0.011368, 1.000000, 0.926940, 0.875000
0.690000, 0.982607, 0.999835, +0.008614, 1.000000, 0.933122, 0.875000
0.695000, 0.987209, 0.999903, +0.006347, 1.000000, 0.939363, 1.000000
0.700000, 0.990854, 0.999944, +0.004545, 1.000000, 0.945571, 1.000000
0.705000, 0.993645, 0.999968, +0.003162, 1.000000, 0.951650, 1.000000
0.710000, 0.995712, 0.999983, +0.002136, 1.000000, 0.957512, 1.000000
0.715000, 0.997190, 0.999991, +0.001400, 1.000000, 0.963079, 1.000000
0.720000, 0.998214, 0.999995, +0.000891, 1.000000, 0.968284, 1.000000
0.725000, 0.998898, 0.999997, +0.000550, 1.000000, 0.973075, 1.000000
0.730000, 0.999341, 0.999999, +0.000329, 1.000000, 0.977417, 1.000000
0.735000, 0.999618, 0.999999, +0.000191, 1.000000, 0.981291, 1.000000
0.740000, 0.999785, 1.000000, +0.000107, 1.000000, 0.984694, 1.000000
0.745000, 0.999883, 1.000000, +0.000058, 1.000000, 0.987638, 1.000000
0.750000, 0.999938, 1.000000, +0.000031, 1.000000, 0.990144, 1.000000
