Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000000, 0.000097, +0.000048
0.255000, 0.000000, 0.000181, +0.000090
0.260000, 0.000000, 0.000328, +0.000164
0.265000, 0.000001, 0.000574, +0.000287
0.270000, 0.000002, 0.000975, +0.000487
0.275000, 0.000004, 0.001604, +0.000800
0.280000, 0.000007, 0.002556, +0.001275
0.285000, 0.000013, 0.003951, +0.001969
0.290000, 0.000025, 0.005922, +0.002949
0.295000, 0.000044, 0.008616, +0.004286
0.300000, 0.000077, 0.012170, +0.006046
0.305000, 0.000133, 0.016701, +0.008284
0.310000, 0.000225, 0.022284, +0.011030
0.315000, 0.000371, 0.028932, +0.014281
0.320000, 0.000598, 0.036586, +0.017994
0.325000, 0.000946, 0.045109, +0.022082
0.330000, 0.001465, 0.054297, +0.026416
0.335000, 0.002223, 0.063894, +0.030835
0.340000, 0.003305, 0.073623, +0.035159
0.345000, 0.004816, 0.083219, +0.039201
0.350000, 0.006879, 0.092457, +0.042789
0.355000, 0.009636, 0.101186, +0.045775
0.360000, 0.013241, 0.109333, +0.048046
0.365000, 0.017855, 0.116916, +0.049530
0.370000, 0.023637, 0.124024, +0.050193
0.375000, 0.030733, 0.130806, +0.050036
0.380000, 0.039267, 0.137438, +0.049086
0.385000, 0.049327, 0.144105, +0.047389
0.390000, 0.060962, 0.150375, +0.044707
0.395000, 0.074172, 0.155434, +0.040631
0.400000, 0.088911, 0.160889, +0.035989
0.405000, 0.105089, 0.166773, +0.030842
0.410000, 0.122583, 0.173123, +0.025270
0.415000, 0.141247, 0.179980, +0.019367
0.420000, 0.160928, 0.187396, +0.013234
0.425000, 0.181484, 0.195433, +0.006974
0.430000, 0.202790, 0.204163, +0.000686
0.435000, 0.224754, 0.213672, -0.005541
0.440000, 0.247313, 0.224059, -0.011627
0.445000, 0.270441, 0.235429, -0.017506
0.450000, 0.294130, 0.247892, -0.023119
0.455000, 0.318389, 0.261558, -0.028415
0.460000, 0.343222, 0.276526, -0.033348
0.465000, 0.368619, 0.292880, -0.037870
0.470000, 0.394542, 0.310674, -0.041934
0.475000, 0.420912, 0.329931, -0.045491
0.480000, 0.447613, 0.350633, -0.048490
0.485000, 0.474484, 0.372716, -0.050884
0.490000, 0.501329, 0.396072, -0.052629
0.495000, 0.527928, 0.420548, -0.053690
0.500000, 0.554047, 0.445953, -0.054047
0.505000, 0.579452, 0.472072, -0.053690
0.510000, 0.603928, 0.498671, -0.052629
0.515000, 0.627284, 0.525516, -0.050884
0.520000, 0.649367, 0.552387, -0.048490
0.525000, 0.670069, 0.579088, -0.045491
0.530000, 0.689326, 0.605458, -0.041934
0.535000, 0.707120, 0.631381, -0.037870
0.540000, 0.723474, 0.656778, -0.033348
0.545000, 0.738442, 0.681611, -0.028415
0.550000, 0.752108, 0.705870, -0.023119
0.555000, 0.764571, 0.729559, -0.017506
0.560000, 0.775941, 0.752687, -0.011627
0.565000, 0.786328, 0.775246, -0.005541
0.570000, 0.795837, 0.797210, +0.000686
0.575000, 0.804567, 0.818516, +0.006974
0.580000, 0.812604, 0.839072, +0.013234
0.585000, 0.820020, 0.858753, +0.019367
0.590000, 0.826877, 0.877417, +0.025270
0.595000, 0.833227, 0.894911, +0.030842
0.600000, 0.839111, 0.911089, +0.035989
0.605000, 0.844566, 0.925828, +0.040631
0.610000, 0.849625, 0.939038, +0.044707
0.615000, 0.855895, 0.950673, +0.047389
0.620000, 0.862562, 0.960733, +0.049086
0.625000, 0.869194, 0.969267, +0.050036
0.630000, 0.875976, 0.976363, +0.050193
0.635000, 0.883084, 0.982145, +0.049530
0.640000, 0.890667, 0.986759, +0.048046
0.645000, 0.898814, 0.990364, +0.045775
0.650000, 0.907543, 0.993121, +0.042789
0.655000, 0.916781, 0.995184, +0.039201
0.660000, 0.926377, 0.996695, +0.035159
0.665000, 0.936106, 0.997777, +0.030835
0.670000, 0.945703, 0.998535, +0.026416
0.675000, 0.954891, 0.999054, +0.022082
0.680000, 0.963414, 0.999402, +0.017994
0.685000, 0.971068, 0.999629, +0.014281
0.690000, 0.977716, 0.999775, +0.011030
0.695000, 0.983299, 0.999867, +0.008284
0.700000, 0.987830, 0.999923, +0.006046
0.705000, 0.991384, 0.999956, +0.004286
0.710000, 0.994078, 0.999975, +0.002949
0.715000, 0.996049, 0.999987, +0.001969
0.720000, 0.997444, 0.999993, +0.001275
0.725000, 0.998396, 0.999996, +0.000800
0.730000, 0.999025, 0.999998, +0.000487
0.735000, 0.999426, 0.999999, +0.000287
0.740000, 0.999672, 1.000000, +0.000164
0.745000, 0.999819, 1.000000, +0.000090
0.750000, 0.999903, 1.000000, +0.000048
