Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000000, 0.000313, +0.000156, 0.000000, 0.000946, 0.000000
0.255000, 0.000001, 0.000562, +0.000280, 0.000000, 0.001340, 0.000000
0.260000, 0.000001, 0.000973, +0.000486, 0.000000, 0.001872, 0.000000
0.265000, 0.000003, 0.001631, +0.000814, 0.000000, 0.002580, 0.000000
0.270000, 0.000006, 0.002641, +0.001318, 0.000000, 0.003511, 0.000000
0.275000, 0.000011, 0.004137, +0.002063, 0.000000, 0.004715, 0.000000
0.280000, 0.000020, 0.006271, +0.003126, 0.000000, 0.006251, 0.000000
0.285000, 0.000037, 0.009203, +0.004583, 0.000000, 0.008183, 0.000000
0.290000, 0.000066, 0.013082, +0.006508, 0.000000, 0.010578, 0.000000
0.295000, 0.000116, 0.018027, +0.008956, 0.000000, 0.013508, 0.000000
0.300000, 0.000199, 0.024099, +0.011950, 0.000000, 0.017041, 0.000000
0.305000, 0.000334, 0.031280, +0.015473, 0.000000, 0.021246, 0.000000
0.310000, 0.000548, 0.039461, +0.019457, 0.000000, 0.026182, 0.000000
0.315000, 0.000880, 0.048441, +0.023780, 0.000000, 0.031900, 0.000000
0.320000, 0.001382, 0.057935, +0.028277, 0.000000, 0.038440, 0.000000
0.325000, 0.002123, 0.067609, +0.032743, 0.000000, 0.045825, 0.000000
0.330000, 0.003193, 0.077107, +0.036957, 0.000000, 0.054060, 0.000000
0.335000, 0.004701, 0.086100, +0.040699, 0.000000, 0.063132, 0.000000
0.340000, 0.006778, 0.094316, +0.043769, 0.000000, 0.073011, 0.000000
0.345000, 0.009574, 0.101570, +0.045998, 0.000000, 0.083646, 0.000000
0.350000, 0.013253, 0.107776, +0.047261, 0.000000, 0.094972, 0.125000
0.355000, 0.017987, 0.112949, +0.047481, 0.000000, 0.106911, 0.125000
0.360000, 0.023945, 0.117187, +0.046621, 0.000000, 0.119375, 0.125000
0.365000, 0.031280, 0.120657, +0.044689, 0.000000, 0.132272, 0.125000
0.370000, 0.040123, 0.123568, +0.041723, 0.000000, 0.145509, 0.125000
0.375000, 0.050561, 0.126149, +0.037794, 0.000000, 0.158998, 0.125000
0.380000, 0.062639, 0.128639, +0.033000, 0.000000, 0.172659, 0.125000
