Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000000, 0.006749, +0.003375
0.255000, 0.000000, 0.010294, +0.005147
0.260000, 0.000000, 0.015086, +0.007543
0.265000, 0.000001, 0.021265, +0.010632
0.270000, 0.000001, 0.028867, +0.014433
0.275000, 0.000003, 0.037786, +0.018892
0.280000, 0.000005, 0.047769, +0.023882
0.285000, 0.000010, 0.058431, +0.029210
0.290000, 0.000018, 0.069295, +0.034638
0.295000, 0.000033, 0.079862, +0.039915
0.300000, 0.000059, 0.089681, +0.044811
0.305000, 0.000102, 0.098406, +0.049152
0.310000, 0.000173, 0.105840, +0.052833
0.315000, 0.000289, 0.111944, +0.055828
0.320000, 0.000471, 0.116761, +0.058145
0.325000, 0.000753, 0.118501, +0.058874
0.330000, 0.001180, 0.120191, +0.059506
0.335000, 0.001811, 0.121865, +0.060027
0.340000, 0.002723, 0.123562, +0.060419
0.345000, 0.004015, 0.125321, +0.060653
0.350000, 0.005803, 0.127187, +0.060692
0.355000, 0.008226, 0.129204, +0.060489
0.360000, 0.011439, 0.131417, +0.059989
0.365000, 0.015607, 0.133874, +0.059133
0.370000, 0.020903, 0.136619, +0.057858
0.375000, 0.027491, 0.139699, +0.056104
0.380000, 0.035521, 0.143156, +0.053818
0.385000, 0.045110, 0.147034, +0.050962
0.390000, 0.056341, 0.151373, +0.047516
0.395000, 0.069244, 0.156213, +0.043484
0.400000, 0.083802, 0.161594, +0.038896
0.405000, 0.099944, 0.167554, +0.033805
0.410000, 0.117555, 0.174137, +0.028291
0.415000, 0.136484, 0.181385, +0.022451
0.420000, 0.156560, 0.189348, +0.016394
0.425000, 0.177608, 0.198078, +0.010235
0.430000, 0.199460, 0.207633, +0.004087
0.435000, 0.221972, 0.218076, -0.001948
0.440000, 0.245028, 0.229473, -0.007778
0.445000, 0.268547, 0.241890, -0.013328
0.450000, 0.292476, 0.255394, -0.018541
0.455000, 0.316786, 0.270044, -0.023371
0.460000, 0.341457, 0.285890, -0.027783
0.465000, 0.366470, 0.302965, -0.031752
0.470000, 0.391794, 0.321285, -0.035254
0.475000, 0.417375, 0.340838, -0.038268
0.480000, 0.443131, 0.361584, -0.040774
0.485000, 0.468952, 0.383454, -0.042749
0.490000, 0.494700, 0.406347, -0.044176
0.495000, 0.520216, 0.430137, -0.045039
0.500000, 0.545328, 0.454672, -0.045328
0.505000, 0.569863, 0.479784, -0.045039
0.510000, 0.593653, 0.505300, -0.044176
0.515000, 0.616546, 0.531048, -0.042749
0.520000, 0.638416, 0.556869, -0.040774
0.525000, 0.659162, 0.582625, -0.038268
0.530000, 0.678715, 0.608206, -0.035254
0.535000, 0.697035, 0.633530, -0.031752
0.540000, 0.714110, 0.658543, -0.027783
0.545000, 0.729956, 0.683214, -0.023371
0.550000, 0.744606, 0.707524, -0.018541
0.555000, 0.758110, 0.731453, -0.013328
0.560000, 0.770527, 0.754972, -0.007778
0.565000, 0.781924, 0.778028, -0.001948
0.570000, 0.792367, 0.800540, +0.004087
0.575000, 0.801922, 0.822392, +0.010235
0.580000, 0.810652, 0.843440, +0.016394
0.585000, 0.818615, 0.863516, +0.022451
0.590000, 0.825863, 0.882445, +0.028291
0.595000, 0.832446, 0.900056, +0.033805
0.600000, 0.838406, 0.916198, +0.038896
0.605000, 0.843787, 0.930756, +0.043484
0.610000, 0.848627, 0.943659, +0.047516
0.615000, 0.852966, 0.954890, +0.050962
0.620000, 0.856844, 0.964479, +0.053818
0.625000, 0.860301, 0.972509, +0.056104
0.630000, 0.863381, 0.979097, +0.057858
0.635000, 0.866126, 0.984393, +0.059133
0.640000, 0.868583, 0.988561, +0.059989
0.645000, 0.870796, 0.991774, +0.060489
0.650000, 0.872813, 0.994197, +0.060692
0.655000, 0.874679, 0.995985, +0.060653
0.660000, 0.876438, 0.997277, +0.060419
0.665000, 0.878135, 0.998189, +0.060027
0.670000, 0.879809, 0.998820, +0.059506
0.675000, 0.881499, 0.999247, +0.058874
0.680000, 0.883239, 0.999529, +0.058145
0.685000, 0.888056, 0.999711, +0.055828
0.690000, 0.894160, 0.999827, +0.052833
0.695000, 0.901594, 0.999898, +0.049152
0.700000, 0.910319, 0.999941, +0.044811
0.705000, 0.920138, 0.999967, +0.039915
0.710000, 0.930705, 0.999982, +0.034638
0.715000, 0.941569, 0.999990, +0.029210
0.720000, 0.952231, 0.999995, +0.023882
0.725000, 0.962214, 0.999997, +0.018892
0.730000, 0.971133, 0.999999, +0.014433
0.735000, 0.978735, 0.999999, +0.010632
0.740000, 0.984914, 1.000000, +0.007543
0.745000, 0.989706, 1.000000, +0.005147
0.750000, 0.993251, 1.000000, +0.003375
