2012S,2010D,V,2004P,2006AG,2006C,2006G,2006S,2008P,2010C,2010G,2010S,2012P,Mean,Standard Deviation,Mean,sem,ave,R mean,R,B_GS,
not,used,,,,,,,,,,,,,,,,,,,,
3rd,ballot,sw-avg,0.565656,0.610605,0.590902,0.533041,0.550864,0.629301,0.611385,0.573751,0.63497,0.633217,"Statistics On Rows of [Second Alec results MD 4/23]Sheet1!Col(""2004P""):Col(""2012P"")","Statistics On Rows of [Second Alec results MD 4/23]Sheet1!Col(""2004P""):Col(""2012P"")",,,for ,,SEM,,SEM
0,1E-6,0.25,1E-6,0,0,0,0,0,0,0,0,0,1E-7,3.16227766016838E-7,1E-7,1E-7,,5.1980000000007E-4,2.80275055377149E-4,0.49974015,1.40187527688574E-4
0,2E-6,0.255,1E-6,0,0,0,0,0,0,1E-6,0,0,2E-7,4.21637021355784E-7,2E-7,1.33333333333333E-7,,8.70900000000119E-4,4.54312678669646E-4,0.49956465,2.2722300600149E-4
0,5E-6,0.26,3E-6,0,0,1E-6,0,1E-6,0,1E-6,0,1E-6,7E-7,9.48683298050514E-7,7E-7,3E-7,,0.00140950000000006,7.08436388581683E-4,0.4992956,3.54368194290841E-4
1E-6,1E-5,0.265,6E-6,0,1E-6,2E-6,1E-6,2E-6,1E-6,3E-6,0,2E-6,1.8E-6,1.75119007154183E-6,1.8E-6,5.53774924194538E-7,,0.00220649999999989,0.00106290537103629,0.49889765,5.3172957298024E-4
1E-6,1.9E-5,0.27,1.2E-5,1E-6,1E-6,4E-6,2E-6,4E-6,2E-6,6E-6,1E-6,4E-6,3.7E-6,3.36815148775177E-6,3.7E-6,1.06510302057803E-6,,0.00334429999999986,0.00153556422529311,0.4983297,7.68314664156845E-4
3E-6,3.6E-5,0.275,2.2E-5,2E-6,3E-6,8E-6,4E-6,7E-6,4E-6,1.1E-5,2E-6,8E-6,7.1E-6,6.02679203409428E-6,7.1E-6,1.90583898118971E-6,,0.00491390000000014,0.00213720352303866,0.4975466,0.00106955468100993
5E-6,6.6E-5,0.28,4.1E-5,4E-6,5E-6,1.5E-5,7E-6,1.4E-5,7E-6,2E-5,4E-6,1.5E-5,1.32E-5,1.12526540079317E-5,1.32E-5,3.55840163868867E-6,,0.00700830000000008,0.00286770544764354,0.49650245,0.00143563192464111
1E-5,1.19E-4,0.285,7.5E-5,7E-6,9E-6,2.8E-5,1.3E-5,2.6E-5,1.3E-5,3.7E-5,7E-6,2.8E-5,2.43E-5,2.06830580158953E-5,2.43E-5,6.54055723076321E-6,,0.00971579999999994,0.00371202300579557,0.49515425,0.00185928178151317
1.8E-5,2.09E-4,0.29,1.34E-4,1.3E-5,1.7E-5,5E-5,2.4E-5,4.8E-5,2.5E-5,6.6E-5,1.4E-5,5.1E-5,4.42E-5,3.65689607302271E-5,4.42E-5,1.15641207572772E-5,,0.0131112999999999,0.00463934234814952,0.49346645,0.0023254532344534
3.3E-5,3.57E-4,0.295,2.32E-4,2.3E-5,3.2E-5,8.9E-5,4.3E-5,8.5E-5,4.4E-5,1.16E-4,2.5E-5,9.1E-5,7.8E-5,6.30960467153934E-5,7.8E-5,1.99527218973029E-5,,0.0172492,0.00560319127482028,0.4914144,0.00281157199835879
5.9E-5,5.97E-4,0.3,3.93E-4,4.1E-5,5.6E-5,1.55E-4,7.6E-5,1.48E-4,7.7E-5,1.99E-4,4.4E-5,1.57E-4,1.346E-4,1.06413449442362E-4,1.346E-4,3.3650887391304E-5,,0.0221534,0.00654616323794158,0.4889906,0.00328990706266644
1.02E-4,9.73E-4,0.305,6.5E-4,7.2E-5,9.7E-5,2.62E-4,1.31E-4,2.52E-4,1.33E-4,3.34E-4,7.7E-5,2.66E-4,2.274E-4,1.74872779153558E-4,2.274E-4,5.52996282888853E-5,,0.0278155000000001,0.00740587180440853,0.48620595,0.00373058571634871
1.73E-4,0.00155,0.31,0.00105,1.23E-4,1.65E-4,4.34E-4,2.22E-4,4.18E-4,2.25E-4,5.48E-4,1.32E-4,4.41E-4,3.758E-4,2.80435296557968E-4,3.758E-4,8.86814273427957E-5,,0.0341891000000001,0.00812291634335298,0.48309335,0.00410579888534789
