NC-2012, 2004P, Definition
state<V>, 0.423513, Statewide fractional D vote
t-bias, -0.008501, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 3.004044, Seats at state<V>
S50est, 4.117214, Seats at V=0.5
BS<V>, -3.81698, % Geometric Seat Bias at statewide<V>
BS50, 18.329121, % Simple Bias at V=0.5
BV<V>, -0.580135, % Vote Bias at statewide<V>
BV50, 3.109908, % Vote Bias at V=0.5
R<V>, 0.050720, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.590620, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.030580, Number of responsive districts at statewide <V>
RD50, 3.897079, Number of responsive districts at V=0.5
EG<V>fpp, 11.625677, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 11.594568, Efficiency Gap at state<V> using estimated S(V)
