Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000049, 0.000006, -0.000021, 0.000000, 0.055321, 0.000000
0.255000, 0.000094, 0.000012, -0.000041, 0.000000, 0.063469, 0.000000
0.260000, 0.000175, 0.000024, -0.000075, 0.000000, 0.072096, 0.000000
0.265000, 0.000316, 0.000045, -0.000136, 0.000000, 0.081117, 0.076923
0.270000, 0.000556, 0.000082, -0.000237, 0.000000, 0.090438, 0.153846
0.275000, 0.000949, 0.000145, -0.000402, 0.000000, 0.099957, 0.153846
0.280000, 0.001571, 0.000250, -0.000661, 0.000000, 0.109570, 0.153846
0.285000, 0.002528, 0.000419, -0.001054, 0.000000, 0.119174, 0.153846
0.290000, 0.003950, 0.000683, -0.001633, 0.000000, 0.128670, 0.153846
0.295000, 0.005999, 0.001084, -0.002458, 0.000000, 0.137965, 0.153846
0.300000, 0.008859, 0.001673, -0.003593, 0.000000, 0.146977, 0.153846
0.305000, 0.012726, 0.002514, -0.005106, 0.000000, 0.155632, 0.153846
0.310000, 0.017797, 0.003681, -0.007058, 0.000000, 0.163869, 0.153846
0.315000, 0.024240, 0.005255, -0.009493, 0.000000, 0.171638, 0.153846
0.320000, 0.032179, 0.007316, -0.012432, 0.000000, 0.178902, 0.230769
0.325000, 0.041670, 0.009943, -0.015864, 0.000000, 0.185633, 0.230769
0.330000, 0.052679, 0.013200, -0.019739, 0.000000, 0.191816, 0.230769
0.335000, 0.065076, 0.017138, -0.023969, 0.000000, 0.197445, 0.230769
0.340000, 0.078637, 0.021783, -0.028427, 0.000000, 0.202524, 0.230769
0.345000, 0.093054, 0.027143, -0.032956, 0.076923, 0.207069, 0.230769
0.350000, 0.107960, 0.033207, -0.037377, 0.153846, 0.211099, 0.230769
0.355000, 0.122961, 0.039957, -0.041502, 0.153846, 0.214647, 0.230769
0.360000, 0.137665, 0.047379, -0.045143, 0.153846, 0.217750, 0.230769
0.365000, 0.151722, 0.055477, -0.048122, 0.153846, 0.220451, 0.230769
0.370000, 0.164839, 0.064288, -0.050276, 0.153846, 0.222803, 0.230769
0.375000, 0.176808, 0.073890, -0.051459, 0.230769, 0.224859, 0.230769
0.380000, 0.187504, 0.084409, -0.051547, 0.230769, 0.226679, 0.230769
0.385000, 0.196888, 0.096014, -0.050437, 0.230769, 0.228326, 0.230769
0.390000, 0.204998, 0.108909, -0.048045, 0.230769, 0.229864, 0.230769
0.395000, 0.211935, 0.123315, -0.044310, 0.230769, 0.231359, 0.230769
0.400000, 0.217847, 0.139447, -0.039200, 0.230769, 0.232877, 0.230769
0.405000, 0.222912, 0.157493, -0.032710, 0.230769, 0.234483, 0.230769
0.410000, 0.227329, 0.177584, -0.024872, 0.230769, 0.236242, 0.230769
0.415000, 0.231298, 0.199781, -0.015758, 0.230769, 0.238215, 0.230769
0.420000, 0.235016, 0.224053, -0.005482, 0.230769, 0.240462, 0.230769
0.425000, 0.238669, 0.250275, +0.005803, 0.230769, 0.243040, 0.230769
0.430000, 0.242427, 0.278229, +0.017901, 0.230769, 0.246001, 0.230769
0.435000, 0.246439, 0.307607, +0.030584, 0.230769, 0.249396, 0.230769
0.440000, 0.250836, 0.338034, +0.043599, 0.230769, 0.253275, 0.230769
0.445000, 0.255730, 0.369081, +0.056675, 0.230769, 0.257683, 0.230769
0.450000, 0.261212, 0.400295, +0.069541, 0.230769, 0.262669, 0.230769
0.455000, 0.267361, 0.431222, +0.081930, 0.230769, 0.268282, 0.230769
0.460000, 0.274242, 0.461431, +0.093594, 0.230769, 0.274576, 0.230769
0.465000, 0.281908, 0.490531, +0.104312, 0.230769, 0.281610, 0.230769
0.470000, 0.290407, 0.518197, +0.113895, 0.307692, 0.289453, 0.307692
0.475000, 0.299784, 0.544170, +0.122193, 0.307692, 0.298178, 0.307692
0.480000, 0.310080, 0.568273, +0.129096, 0.307692, 0.307868, 0.307692
0.485000, 0.321335, 0.589133, +0.133899, 0.307692, 0.318615, 0.307692
0.490000, 0.333586, 0.606787, +0.136600, 0.307692, 0.330512, 0.307692
0.495000, 0.346871, 0.623335, +0.138232, 0.307692, 0.343655, 0.307692
0.500000, 0.361223, 0.638777, +0.138777, 0.307692, 0.358132, 0.307692
0.505000, 0.376665, 0.653129, +0.138232, 0.307692, 0.374022, 0.307692
0.510000, 0.393213, 0.666414, +0.136600, 0.307692, 0.391384, 0.307692
0.515000, 0.410867, 0.678665, +0.133899, 0.307692, 0.410252, 0.307692
0.520000, 0.431727, 0.689920, +0.129096, 0.384615, 0.430626, 0.384615
0.525000, 0.455830, 0.700216, +0.122193, 0.384615, 0.452468, 0.384615
0.530000, 0.481803, 0.709593, +0.113895, 0.384615, 0.475695, 0.384615
0.535000, 0.509469, 0.718092, +0.104312, 0.384615, 0.500178, 0.384615
0.540000, 0.538569, 0.725758, +0.093594, 0.461538, 0.525745, 0.384615
0.545000, 0.568778, 0.732639, +0.081930, 0.461538, 0.552179, 0.461538
0.550000, 0.599705, 0.738788, +0.069541, 0.615385, 0.579226, 0.461538
0.555000, 0.630919, 0.744270, +0.056675, 0.615385, 0.606605, 0.615385
0.560000, 0.661966, 0.749164, +0.043599, 0.769231, 0.634014, 0.615385
0.565000, 0.692393, 0.753561, +0.030584, 0.769231, 0.661145, 0.769231
0.570000, 0.721771, 0.757573, +0.017901, 0.846154, 0.687695, 0.769231
0.575000, 0.749725, 0.761331, +0.005803, 0.846154, 0.713378, 0.769231
0.580000, 0.775947, 0.764984, -0.005482, 0.923077, 0.737933, 0.846154
0.585000, 0.800219, 0.768702, -0.015758, 0.923077, 0.761141, 0.846154
0.590000, 0.822416, 0.772671, -0.024872, 0.923077, 0.782824, 0.846154
0.595000, 0.842507, 0.777088, -0.032710, 0.923077, 0.802857, 0.923077
0.600000, 0.860553, 0.782153, -0.039200, 0.923077, 0.821163, 0.923077
0.605000, 0.876685, 0.788065, -0.044310, 0.923077, 0.837719, 0.923077
0.610000, 0.891091, 0.795002, -0.048045, 0.923077, 0.852552, 0.923077
0.615000, 0.903986, 0.803112, -0.050437, 0.923077, 0.865729, 0.923077
0.620000, 0.915591, 0.812496, -0.051547, 0.923077, 0.877358, 0.923077
0.625000, 0.926110, 0.823192, -0.051459, 0.923077, 0.887574, 0.923077
0.630000, 0.935712, 0.835161, -0.050276, 0.923077, 0.896532, 0.923077
0.635000, 0.944523, 0.848278, -0.048122, 0.923077, 0.904403, 0.923077
0.640000, 0.952621, 0.862335, -0.045143, 0.923077, 0.911359, 0.923077
0.645000, 0.960043, 0.877039, -0.041502, 1.000000, 0.917569, 0.923077
0.650000, 0.966793, 0.892040, -0.037377, 1.000000, 0.923191, 0.923077
0.655000, 0.972857, 0.906946, -0.032956, 1.000000, 0.928368, 0.923077
0.660000, 0.978217, 0.921363, -0.028427, 1.000000, 0.933223, 0.923077
0.665000, 0.982862, 0.934924, -0.023969, 1.000000, 0.937854, 0.923077
0.670000, 0.986800, 0.947321, -0.019739, 1.000000, 0.942338, 0.923077
0.675000, 0.990057, 0.958330, -0.015864, 1.000000, 0.946725, 0.923077
0.680000, 0.992684, 0.967821, -0.012432, 1.000000, 0.951045, 0.923077
0.685000, 0.994745, 0.975760, -0.009493, 1.000000, 0.955305, 0.923077
0.690000, 0.996319, 0.982203, -0.007058, 1.000000, 0.959496, 0.923077
0.695000, 0.997486, 0.987274, -0.005106, 1.000000, 0.963597, 1.000000
0.700000, 0.998327, 0.991141, -0.003593, 1.000000, 0.967578, 1.000000
0.705000, 0.998916, 0.994001, -0.002458, 1.000000, 0.971401, 1.000000
