Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000294, 0.000000, -0.000147, 0.000000, 0.094289, 0.076923
0.255000, 0.000527, 0.000000, -0.000263, 0.000000, 0.102504, 0.076923
0.260000, 0.000912, 0.000000, -0.000456, 0.000000, 0.110919, 0.076923
0.265000, 0.001528, 0.000000, -0.000764, 0.000000, 0.119480, 0.076923
0.270000, 0.002478, 0.000001, -0.001239, 0.000000, 0.128124, 0.076923
0.275000, 0.003894, 0.000002, -0.001946, 0.000000, 0.136779, 0.153846
0.280000, 0.005931, 0.000003, -0.002964, 0.000000, 0.145367, 0.153846
0.285000, 0.008766, 0.000006, -0.004380, 0.000000, 0.153805, 0.153846
0.290000, 0.012581, 0.000012, -0.006285, 0.000000, 0.162009, 0.153846
0.295000, 0.017553, 0.000022, -0.008765, 0.000000, 0.169898, 0.230769
0.300000, 0.023829, 0.000040, -0.011895, 0.000000, 0.177395, 0.230769
0.305000, 0.031516, 0.000072, -0.015722, 0.000000, 0.184434, 0.230769
0.310000, 0.040654, 0.000125, -0.020264, 0.000000, 0.190959, 0.230769
0.315000, 0.051213, 0.000214, -0.025499, 0.000000, 0.196930, 0.230769
0.320000, 0.063082, 0.000359, -0.031362, 0.076923, 0.202322, 0.230769
0.325000, 0.076075, 0.000590, -0.037743, 0.076923, 0.207125, 0.230769
0.330000, 0.089939, 0.000951, -0.044494, 0.076923, 0.211344, 0.230769
0.335000, 0.104369, 0.001505, -0.051432, 0.076923, 0.214999, 0.230769
0.340000, 0.119028, 0.002337, -0.058346, 0.076923, 0.218121, 0.230769
0.345000, 0.133566, 0.003560, -0.065003, 0.153846, 0.220750, 0.230769
0.350000, 0.147646, 0.005322, -0.071162, 0.153846, 0.222931, 0.230769
0.355000, 0.160958, 0.007810, -0.076574, 0.230769, 0.224715, 0.230769
0.360000, 0.173244, 0.011252, -0.080996, 0.230769, 0.226153, 0.230769
0.365000, 0.184307, 0.015918, -0.084195, 0.230769, 0.227296, 0.230769
0.370000, 0.194022, 0.022118, -0.085952, 0.230769, 0.228190, 0.230769
0.375000, 0.202335, 0.030192, -0.086071, 0.230769, 0.228880, 0.230769
0.380000, 0.209264, 0.040497, -0.084384, 0.230769, 0.229405, 0.230769
0.385000, 0.214887, 0.053390, -0.080749, 0.230769, 0.229799, 0.230769
0.390000, 0.219329, 0.069203, -0.075063, 0.230769, 0.230092, 0.230769
0.395000, 0.222745, 0.088218, -0.067263, 0.230769, 0.230307, 0.230769
0.400000, 0.225304, 0.110638, -0.057333, 0.230769, 0.230467, 0.230769
0.405000, 0.227176, 0.136559, -0.045308, 0.230769, 0.230589, 0.230769
0.410000, 0.228521, 0.165951, -0.031285, 0.230769, 0.230686, 0.230769
0.415000, 0.229482, 0.198638, -0.015422, 0.230769, 0.230775, 0.230769
0.420000, 0.230179, 0.234296, +0.002058, 0.230769, 0.230868, 0.230769
0.425000, 0.230716, 0.272458, +0.020871, 0.230769, 0.230979, 0.230769
0.430000, 0.231176, 0.312531, +0.040677, 0.230769, 0.231127, 0.230769
0.435000, 0.231630, 0.353824, +0.061097, 0.230769, 0.231334, 0.230769
