Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000013, 0.000000, -0.000006, 0.000000, 0.042014, 0.000000
0.255000, 0.000025, 0.000000, -0.000013, 0.000000, 0.049233, 0.000000
0.260000, 0.000049, 0.000001, -0.000024, 0.000000, 0.057102, 0.000000
0.265000, 0.000092, 0.000001, -0.000045, 0.000000, 0.065571, 0.000000
0.270000, 0.000167, 0.000002, -0.000083, 0.000000, 0.074571, 0.076923
0.275000, 0.000297, 0.000004, -0.000146, 0.000000, 0.084017, 0.076923
0.280000, 0.000514, 0.000009, -0.000253, 0.000000, 0.093810, 0.076923
0.285000, 0.000863, 0.000016, -0.000424, 0.000000, 0.103841, 0.076923
0.290000, 0.001412, 0.000030, -0.000691, 0.000000, 0.113991, 0.153846
0.295000, 0.002247, 0.000053, -0.001097, 0.000000, 0.124139, 0.153846
0.300000, 0.003483, 0.000094, -0.001695, 0.000000, 0.134168, 0.153846
0.305000, 0.005258, 0.000162, -0.002548, 0.000000, 0.143960, 0.153846
0.310000, 0.007736, 0.000273, -0.003732, 0.000000, 0.153412, 0.153846
0.315000, 0.011094, 0.000452, -0.005321, 0.000000, 0.162428, 0.153846
0.320000, 0.015518, 0.000732, -0.007393, 0.000000, 0.170929, 0.230769
0.325000, 0.021179, 0.001163, -0.010008, 0.000000, 0.178851, 0.230769
0.330000, 0.028221, 0.001810, -0.013206, 0.000000, 0.186146, 0.230769
0.335000, 0.036737, 0.002762, -0.016988, 0.000000, 0.192786, 0.230769
0.340000, 0.046750, 0.004133, -0.021308, 0.000000, 0.198758, 0.230769
0.345000, 0.058200, 0.006067, -0.026067, 0.000000, 0.204064, 0.230769
0.350000, 0.070937, 0.008738, -0.031100, 0.000000, 0.208722, 0.230769
0.355000, 0.084724, 0.012352, -0.036186, 0.000000, 0.212762, 0.230769
0.360000, 0.099250, 0.017144, -0.041053, 0.076923, 0.216222, 0.230769
0.365000, 0.114149, 0.023374, -0.045388, 0.153846, 0.219149, 0.230769
0.370000, 0.129034, 0.031313, -0.048860, 0.153846, 0.221594, 0.230769
0.375000, 0.143521, 0.041239, -0.051141, 0.153846, 0.223610, 0.230769
0.380000, 0.157263, 0.053416, -0.051924, 0.230769, 0.225254, 0.230769
0.385000, 0.169974, 0.068079, -0.050947, 0.230769, 0.226578, 0.230769
0.390000, 0.181445, 0.085421, -0.048012, 0.230769, 0.227634, 0.230769
0.395000, 0.191551, 0.105568, -0.042991, 0.230769, 0.228472, 0.230769
0.400000, 0.200255, 0.128575, -0.035840, 0.230769, 0.229136, 0.230769
0.405000, 0.207595, 0.154407, -0.026594, 0.230769, 0.229669, 0.230769
0.410000, 0.213673, 0.182938, -0.015367, 0.230769, 0.230113, 0.230769
0.415000, 0.218641, 0.213949, -0.002346, 0.230769, 0.230507, 0.230769
