Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.001784, 0.000000, -0.000892, 0.000000, 0.128117, 0.076923
0.255000, 0.002972, 0.000000, -0.001486, 0.000000, 0.137601, 0.153846
0.260000, 0.004779, 0.000000, -0.002390, 0.000000, 0.146919, 0.153846
0.265000, 0.007422, 0.000000, -0.003711, 0.000000, 0.155972, 0.230769
0.270000, 0.011142, 0.000000, -0.005571, 0.000000, 0.164665, 0.230769
0.275000, 0.016186, 0.000001, -0.008093, 0.000000, 0.172911, 0.230769
0.280000, 0.022778, 0.000001, -0.011389, 0.000000, 0.180637, 0.230769
0.285000, 0.031089, 0.000003, -0.015543, 0.000000, 0.187784, 0.230769
0.290000, 0.041203, 0.000005, -0.020599, 0.000000, 0.194308, 0.230769
0.295000, 0.053098, 0.000010, -0.026544, 0.000000, 0.200186, 0.230769
0.300000, 0.066624, 0.000018, -0.033303, 0.000000, 0.205408, 0.230769
0.305000, 0.081510, 0.000033, -0.040738, 0.076923, 0.209985, 0.230769
0.310000, 0.097373, 0.000059, -0.048657, 0.076923, 0.213939, 0.230769
0.315000, 0.113754, 0.000102, -0.056826, 0.076923, 0.217308, 0.230769
0.320000, 0.130150, 0.000174, -0.064988, 0.076923, 0.220136, 0.230769
0.325000, 0.146061, 0.000290, -0.072886, 0.153846, 0.222476, 0.230769
0.330000, 0.161034, 0.000477, -0.080278, 0.230769, 0.224384, 0.230769
0.335000, 0.174693, 0.000768, -0.086963, 0.230769, 0.225917, 0.230769
0.340000, 0.186774, 0.001216, -0.092779, 0.230769, 0.227131, 0.230769
0.345000, 0.197127, 0.001889, -0.097619, 0.230769, 0.228077, 0.230769
0.350000, 0.205722, 0.002883, -0.101419, 0.230769, 0.228805, 0.230769
0.355000, 0.212630, 0.004321, -0.104154, 0.230769, 0.229355, 0.230769
0.360000, 0.218002, 0.006362, -0.105820, 0.230769, 0.229765, 0.230769
0.365000, 0.222044, 0.009203, -0.106421, 0.230769, 0.230066, 0.230769
0.370000, 0.224984, 0.013080, -0.105952, 0.230769, 0.230284, 0.230769
0.375000, 0.227051, 0.018272, -0.104390, 0.230769, 0.230440, 0.230769
0.380000, 0.228456, 0.025089, -0.101684, 0.230769, 0.230550, 0.230769
0.385000, 0.229380, 0.033871, -0.097754, 0.230769, 0.230627, 0.230769
0.390000, 0.229968, 0.044967, -0.092500, 0.230769, 0.230682, 0.230769
0.395000, 0.230333, 0.058722, -0.085805, 0.230769, 0.230722, 0.230769
0.400000, 0.230556, 0.075449, -0.077554, 0.230769, 0.230754, 0.230769
0.405000, 0.230697, 0.095405, -0.067646, 0.230769, 0.230785, 0.230769
0.410000, 0.230795, 0.118766, -0.056014, 0.230769, 0.230820, 0.230769
0.415000, 0.230877, 0.145598, -0.042640, 0.230769, 0.230866, 0.230769
0.420000, 0.230963, 0.175837, -0.027563, 0.230769, 0.230931, 0.230769
0.425000, 0.231071, 0.209281, -0.010895, 0.230769, 0.231028, 0.230769
0.430000, 0.231216, 0.245579, +0.007181, 0.230769, 0.231172, 0.230769
0.435000, 0.231416, 0.284241, +0.026413, 0.230769, 0.231384, 0.230769
0.440000, 0.231694, 0.324659, +0.046483, 0.230769, 0.231693, 0.230769
