Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000061, 0.000000, -0.000031, 0.000000, 0.080559, 0.076923
0.255000, 0.000117, 0.000000, -0.000058, 0.000000, 0.090488, 0.076923
0.260000, 0.000217, 0.000001, -0.000108, 0.000000, 0.100745, 0.076923
0.265000, 0.000391, 0.000002, -0.000195, 0.000000, 0.111208, 0.076923
0.270000, 0.000682, 0.000003, -0.000340, 0.000000, 0.121743, 0.076923
0.275000, 0.001156, 0.000006, -0.000575, 0.000000, 0.132214, 0.153846
0.280000, 0.001901, 0.000012, -0.000944, 0.000000, 0.142488, 0.153846
0.285000, 0.003036, 0.000022, -0.001507, 0.000000, 0.152436, 0.230769
0.290000, 0.004713, 0.000041, -0.002336, 0.000000, 0.161942, 0.230769
0.295000, 0.007110, 0.000074, -0.003518, 0.000000, 0.170904, 0.230769
0.300000, 0.010431, 0.000130, -0.005151, 0.000000, 0.179241, 0.230769
0.305000, 0.014891, 0.000224, -0.007334, 0.000000, 0.186892, 0.230769
0.310000, 0.020695, 0.000377, -0.010159, 0.000000, 0.193818, 0.230769
0.315000, 0.028018, 0.000622, -0.013698, 0.000000, 0.200001, 0.230769
0.320000, 0.036977, 0.001006, -0.017985, 0.000000, 0.205444, 0.230769
0.325000, 0.047605, 0.001594, -0.023005, 0.000000, 0.210170, 0.230769
0.330000, 0.059835, 0.002474, -0.028680, 0.000000, 0.214215, 0.230769
0.335000, 0.073488, 0.003764, -0.034862, 0.000000, 0.217629, 0.230769
0.340000, 0.088279, 0.005613, -0.041333, 0.076923, 0.220471, 0.230769
0.345000, 0.103828, 0.008208, -0.047810, 0.076923, 0.222803, 0.230769
0.350000, 0.119697, 0.011774, -0.053962, 0.076923, 0.224690, 0.230769
0.355000, 0.135420, 0.016570, -0.059425, 0.153846, 0.226199, 0.230769
0.360000, 0.150548, 0.022889, -0.063829, 0.230769, 0.227392, 0.230769
0.365000, 0.164684, 0.031041, -0.066821, 0.230769, 0.228327, 0.230769
0.370000, 0.177517, 0.041345, -0.068086, 0.230769, 0.229057, 0.230769
0.375000, 0.188841, 0.054107, -0.067367, 0.230769, 0.229633, 0.230769
0.380000, 0.198558, 0.069597, -0.064480, 0.230769, 0.230096, 0.230769
0.385000, 0.206673, 0.088028, -0.059322, 0.230769, 0.230488, 0.230769
0.390000, 0.213283, 0.109533, -0.051875, 0.230769, 0.230844, 0.230769
0.395000, 0.218549, 0.134141, -0.042204, 0.230769, 0.231198, 0.230769
0.400000, 0.222676, 0.161764, -0.030456, 0.230769, 0.231582, 0.230769
0.405000, 0.225888, 0.192193, -0.016848, 0.230769, 0.232028, 0.230769
0.410000, 0.228412, 0.225092, -0.001660, 0.230769, 0.232566, 0.230769
0.415000, 0.230459, 0.260015, +0.014778, 0.230769, 0.233231, 0.230769
0.420000, 0.232224, 0.296423, +0.032100, 0.230769, 0.234056, 0.230769
0.425000, 0.233872, 0.333711, +0.049919, 0.230769, 0.235077, 0.230769
0.430000, 0.235548, 0.371239, +0.067846, 0.230769, 0.236329, 0.230769
0.435000, 0.237370, 0.408372, +0.085501, 0.230769, 0.237850, 0.230769
0.440000, 0.239441, 0.444506, +0.102532, 0.230769, 0.239679, 0.230769
0.445000, 0.241846, 0.479104, +0.118629, 0.230769, 0.241852, 0.230769
0.450000, 0.244658, 0.511718, +0.133530, 0.230769, 0.244410, 0.230769
0.455000, 0.247943, 0.542006, +0.147032, 0.230769, 0.247390, 0.230769
0.460000, 0.251757, 0.569740, +0.158991, 0.230769, 0.250833, 0.230769
0.465000, 0.256155, 0.592501, +0.168173, 0.230769, 0.254782, 0.230769
0.470000, 0.261184, 0.610492, +0.174654, 0.230769, 0.259283, 0.230769
0.475000, 0.266894, 0.627194, +0.180150, 0.230769, 0.264390, 0.230769
0.480000, 0.273332, 0.642631, +0.184649, 0.230769, 0.270163, 0.230769
0.485000, 0.280546, 0.656840, +0.188147, 0.230769, 0.276676, 0.230769
0.490000, 0.288586, 0.669871, +0.190643, 0.307692, 0.284012, 0.307692
0.495000, 0.297506, 0.681783, +0.192139, 0.307692, 0.292272, 0.307692
0.500000, 0.307363, 0.692637, +0.192637, 0.307692, 0.301567, 0.307692
0.505000, 0.318217, 0.702494, +0.192139, 0.307692, 0.312024, 0.307692
0.510000, 0.330129, 0.711414, +0.190643, 0.307692, 0.323775, 0.307692
0.515000, 0.343160, 0.719454, +0.188147, 0.307692, 0.336957, 0.307692
0.520000, 0.357369, 0.726668, +0.184649, 0.307692, 0.351704, 0.307692
0.525000, 0.372806, 0.733106, +0.180150, 0.307692, 0.368137, 0.307692
0.530000, 0.389508, 0.738816, +0.174654, 0.307692, 0.386356, 0.307692
0.535000, 0.407499, 0.743845, +0.168173, 0.307692, 0.406428, 0.307692
0.540000, 0.430260, 0.748243, +0.158991, 0.307692, 0.428381, 0.307692
0.545000, 0.457994, 0.752057, +0.147032, 0.307692, 0.452192, 0.307692
0.550000, 0.488282, 0.755342, +0.133530, 0.384615, 0.477785, 0.307692
0.555000, 0.520896, 0.758154, +0.118629, 0.384615, 0.505024, 0.384615
0.560000, 0.555494, 0.760559, +0.102532, 0.461538, 0.533715, 0.384615
