NC-2012, 2012D, Definition
state<V>, 0.505617, Statewide fractional D vote
t-bias, -0.000719, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 3.650871, Seats at state<V>
S50est, 3.517665, Seats at V=0.5
BS<V>, 22.8463, % Geometric Seat Bias at statewide<V>
BS50, 22.941039, % Simple Bias at V=0.5
BV<V>, 4.066305, % Vote Bias at statewide<V>
BV50, 4.849743, % Vote Bias at V=0.5
R<V>, 2.674367, Responsiveness as a slope in S(V) at statewide<V>
R50, 1.534532, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.334333, Number of responsive districts at statewide <V>
RD50, 1.895044, Number of responsive districts at V=0.5
EG<V>fpp, 28.046477, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 23.039779, Efficiency Gap at state<V> using estimated S(V)
