NC-2012, 2012G, Definition
state<V>, 0.441778, Statewide fractional D vote
t-bias, -0.001759, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 3.011917, Seats at state<V>
S50est, 3.633659, Seats at V=0.5
BS<V>, 8.028, % Geometric Seat Bias at statewide<V>
BS50, 22.048779, % Simple Bias at V=0.5
BV<V>, 1.053611, % Vote Bias at statewide<V>
BV50, 4.422419, % Vote Bias at V=0.5
R<V>, 0.079195, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.239730, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.047581, Number of responsive districts at statewide <V>
RD50, 2.293285, Number of responsive districts at V=0.5
EG<V>fpp, 15.278677, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 15.187007, Efficiency Gap at state<V> using estimated S(V)
