Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000067, 0.000000, -0.000033, 0.000000, 0.076050, 0.076923
0.255000, 0.000126, 0.000000, -0.000063, 0.000000, 0.084830, 0.076923
0.260000, 0.000232, 0.000001, -0.000116, 0.000000, 0.093948, 0.076923
0.265000, 0.000414, 0.000001, -0.000206, 0.000000, 0.103327, 0.076923
0.270000, 0.000715, 0.000002, -0.000357, 0.000000, 0.112878, 0.076923
0.275000, 0.001200, 0.000004, -0.000598, 0.000000, 0.122505, 0.076923
0.280000, 0.001953, 0.000008, -0.000973, 0.000000, 0.132110, 0.153846
0.285000, 0.003090, 0.000015, -0.001537, 0.000000, 0.141589, 0.153846
0.290000, 0.004749, 0.000029, -0.002360, 0.000000, 0.150842, 0.153846
0.295000, 0.007096, 0.000051, -0.003522, 0.000000, 0.159770, 0.230769
0.300000, 0.010317, 0.000091, -0.005113, 0.000000, 0.168286, 0.230769
0.305000, 0.014603, 0.000158, -0.007223, 0.000000, 0.176311, 0.230769
0.310000, 0.020135, 0.000267, -0.009934, 0.000000, 0.183780, 0.230769
0.315000, 0.027067, 0.000444, -0.013311, 0.000000, 0.190644, 0.230769
0.320000, 0.035499, 0.000722, -0.017388, 0.000000, 0.196871, 0.230769
0.325000, 0.045463, 0.001152, -0.022155, 0.000000, 0.202447, 0.230769
0.330000, 0.056907, 0.001802, -0.027552, 0.000000, 0.207372, 0.230769
0.335000, 0.069684, 0.002764, -0.033460, 0.000000, 0.211665, 0.230769
0.340000, 0.083561, 0.004159, -0.039701, 0.076923, 0.215354, 0.230769
0.345000, 0.098223, 0.006138, -0.046043, 0.076923, 0.218480, 0.230769
0.350000, 0.113304, 0.008890, -0.052207, 0.076923, 0.221093, 0.230769
0.355000, 0.128404, 0.012640, -0.057882, 0.153846, 0.223246, 0.230769
0.360000, 0.143129, 0.017649, -0.062740, 0.153846, 0.224994, 0.230769
0.365000, 0.157114, 0.024205, -0.066455, 0.230769, 0.226393, 0.230769
0.370000, 0.170054, 0.032618, -0.068718, 0.230769, 0.227498, 0.230769
0.375000, 0.181718, 0.043206, -0.069256, 0.230769, 0.228357, 0.230769
0.380000, 0.191962, 0.056277, -0.067842, 0.230769, 0.229018, 0.230769
0.385000, 0.200727, 0.072105, -0.064311, 0.230769, 0.229519, 0.230769
0.390000, 0.208038, 0.090913, -0.058563, 0.230769, 0.229897, 0.230769
0.395000, 0.213984, 0.112847, -0.050568, 0.230769, 0.230183, 0.230769
0.400000, 0.218703, 0.137960, -0.040372, 0.230769, 0.230401, 0.230769
0.405000, 0.222369, 0.166189, -0.028090, 0.230769, 0.230577, 0.230769
