Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000072, 0.000000, -0.000036, 0.000000, 0.045249, 0.062500
0.255000, 0.000134, 0.000000, -0.000067, 0.000000, 0.048703, 0.062500
0.260000, 0.000239, 0.000000, -0.000119, 0.000000, 0.052142, 0.062500
0.265000, 0.000414, 0.000001, -0.000207, 0.000000, 0.055571, 0.062500
0.270000, 0.000696, 0.000001, -0.000347, 0.000000, 0.059001, 0.062500
0.275000, 0.001131, 0.000002, -0.000564, 0.000000, 0.062453, 0.062500
0.280000, 0.001783, 0.000004, -0.000889, 0.000000, 0.065950, 0.062500
0.285000, 0.002725, 0.000008, -0.001359, 0.000000, 0.069517, 0.062500
0.290000, 0.004043, 0.000015, -0.002014, 0.000000, 0.073183, 0.062500
0.295000, 0.005825, 0.000027, -0.002899, 0.000000, 0.076971, 0.062500
0.300000, 0.008157, 0.000048, -0.004054, 0.000000, 0.080905, 0.062500
0.305000, 0.011112, 0.000085, -0.005514, 0.000000, 0.085000, 0.062500
0.310000, 0.014743, 0.000146, -0.007299, 0.000000, 0.089267, 0.062500
0.315000, 0.019074, 0.000245, -0.009414, 0.000000, 0.093712, 0.062500
0.320000, 0.024095, 0.000405, -0.011845, 0.000000, 0.098334, 0.062500
0.325000, 0.029767, 0.000654, -0.014556, 0.000000, 0.103125, 0.125000
0.330000, 0.036021, 0.001038, -0.017492, 0.000000, 0.108075, 0.125000
0.335000, 0.042775, 0.001613, -0.020581, 0.062500, 0.113170, 0.125000
0.340000, 0.049939, 0.002461, -0.023739, 0.062500, 0.118394, 0.125000
0.345000, 0.057432, 0.003681, -0.026876, 0.062500, 0.123730, 0.125000
0.350000, 0.065186, 0.005403, -0.029892, 0.062500, 0.129163, 0.125000
0.355000, 0.073154, 0.007784, -0.032685, 0.062500, 0.134678, 0.125000
0.360000, 0.081305, 0.011008, -0.035148, 0.062500, 0.140264, 0.125000
0.365000, 0.089627, 0.015288, -0.037169, 0.062500, 0.145914, 0.125000
0.370000, 0.098114, 0.020854, -0.038630, 0.062500, 0.151623, 0.125000
0.375000, 0.106765, 0.027952, -0.039407, 0.125000, 0.157392, 0.187500
0.380000, 0.115575, 0.036827, -0.039374, 0.125000, 0.163227, 0.187500
0.385000, 0.124534, 0.047711, -0.038411, 0.125000, 0.169136, 0.187500
0.390000, 0.133627, 0.060806, -0.036410, 0.125000, 0.175135, 0.187500
0.395000, 0.142835, 0.076268, -0.033283, 0.125000, 0.181239, 0.187500
0.400000, 0.152142, 0.094192, -0.028975, 0.125000, 0.187470, 0.187500
0.405000, 0.161534, 0.114597, -0.023469, 0.187500, 0.193850, 0.187500
0.410000, 0.171007, 0.137420, -0.016793, 0.187500, 0.200402, 0.187500
0.415000, 0.180564, 0.162512, -0.009026, 0.187500, 0.207152, 0.187500
0.420000, 0.190220, 0.189642, -0.000289, 0.187500, 0.214124, 0.187500
