OH-2012, 2006S, Definition
state<V>, 0.561762, Statewide fractional D vote
t-bias, -0.001132, state<V> minus average district D vote
S-fptp, 12, Seats from first past the post
S<V>est, 10.595527, Seats at state<V>
S50est, 6.061252, Seats at V=0.5
BS<V>, 5.32905, % Geometric Seat Bias at statewide<V>
BS50, 12.117174, % Simple Bias at V=0.5
BV<V>, 2.449514, % Vote Bias at statewide<V>
BV50, 2.887881, % Vote Bias at V=0.5
R<V>, 5.761117, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.441740, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 8.335344, Number of responsive districts at statewide <V>
RD50, 5.424393, Number of responsive districts at V=0.5
EG<V>fpp, -12.647600, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -3.869644, Efficiency Gap at state<V> using estimated S(V)
