Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000016, 0.000002, -0.000007
0.255000, 0.000032, 0.000004, -0.000014
0.260000, 0.000059, 0.000008, -0.000026
0.265000, 0.000108, 0.000015, -0.000047
0.270000, 0.000191, 0.000028, -0.000082
0.275000, 0.000328, 0.000051, -0.000138
0.280000, 0.000546, 0.000091, -0.000228
0.285000, 0.000884, 0.000157, -0.000363
0.290000, 0.001391, 0.000266, -0.000562
0.295000, 0.002129, 0.000439, -0.000845
0.300000, 0.003171, 0.000706, -0.001232
0.305000, 0.004599, 0.001109, -0.001745
0.310000, 0.006500, 0.001701, -0.002399
0.315000, 0.008958, 0.002548, -0.003205
0.320000, 0.012052, 0.003732, -0.004160
0.325000, 0.015846, 0.005348, -0.005249
0.330000, 0.020385, 0.007502, -0.006441
0.335000, 0.025692, 0.010312, -0.007690
0.340000, 0.031772, 0.013903, -0.008934
0.345000, 0.038607, 0.018402, -0.010102
0.350000, 0.046171, 0.023940, -0.011116
0.355000, 0.054430, 0.030641, -0.011894
0.360000, 0.063345, 0.038627, -0.012359
0.365000, 0.072882, 0.048012, -0.012435
0.370000, 0.083002, 0.058904, -0.012049
0.375000, 0.093662, 0.071399, -0.011132
0.380000, 0.104808, 0.085580, -0.009614
0.385000, 0.116367, 0.101512, -0.007428
0.390000, 0.128244, 0.119239, -0.004503
0.395000, 0.140319, 0.138772, -0.000773
0.400000, 0.152451, 0.160089, +0.003819
0.405000, 0.164488, 0.181394, +0.008453
0.410000, 0.176276, 0.199710, +0.011717
0.415000, 0.187675, 0.219255, +0.015790
0.420000, 0.198574, 0.239993, +0.020710
0.425000, 0.208900, 0.261869, +0.026485
0.430000, 0.218633, 0.284804, +0.033086
0.435000, 0.227807, 0.308695, +0.040444
0.440000, 0.236511, 0.333414, +0.048451
0.445000, 0.244886, 0.358809, +0.056961
0.450000, 0.253116, 0.384705, +0.065795
0.455000, 0.261415, 0.410910, +0.074748
0.460000, 0.270018, 0.437213, +0.083597
0.465000, 0.279168, 0.463391, +0.092112
0.470000, 0.289098, 0.489217, +0.100060
0.475000, 0.300027, 0.514465, +0.107219
0.480000, 0.312144, 0.538914, +0.113385
0.485000, 0.325603, 0.562364, +0.118381
0.490000, 0.340517, 0.584633, +0.122058
0.495000, 0.356954, 0.605571, +0.124309
0.500000, 0.374933, 0.625067, +0.125067
0.505000, 0.394429, 0.643046, +0.124309
0.510000, 0.415367, 0.659483, +0.122058
0.515000, 0.437636, 0.674397, +0.118381
0.520000, 0.461086, 0.687856, +0.113385
0.525000, 0.485535, 0.699973, +0.107219
0.530000, 0.510783, 0.710902, +0.100060
0.535000, 0.536609, 0.720832, +0.092112
0.540000, 0.562787, 0.729982, +0.083597
0.545000, 0.589090, 0.738585, +0.074748
0.550000, 0.615295, 0.746884, +0.065795
0.555000, 0.641191, 0.755114, +0.056961
0.560000, 0.666586, 0.763489, +0.048451
0.565000, 0.691305, 0.772193, +0.040444
0.570000, 0.715196, 0.781367, +0.033086
0.575000, 0.738131, 0.791100, +0.026485
0.580000, 0.760007, 0.801426, +0.020710
0.585000, 0.780745, 0.812325, +0.015790
0.590000, 0.800290, 0.823724, +0.011717
0.595000, 0.818606, 0.835512, +0.008453
0.600000, 0.839911, 0.847549, +0.003819
0.605000, 0.861228, 0.859681, -0.000773
0.610000, 0.880761, 0.871756, -0.004503
0.615000, 0.898488, 0.883633, -0.007428
0.620000, 0.914420, 0.895192, -0.009614
0.625000, 0.928601, 0.906338, -0.011132
0.630000, 0.941096, 0.916998, -0.012049
0.635000, 0.951988, 0.927118, -0.012435
0.640000, 0.961373, 0.936655, -0.012359
0.645000, 0.969359, 0.945570, -0.011894
0.650000, 0.976060, 0.953829, -0.011116
0.655000, 0.981598, 0.961393, -0.010102
0.660000, 0.986097, 0.968228, -0.008934
0.665000, 0.989688, 0.974308, -0.007690
0.670000, 0.992498, 0.979615, -0.006441
0.675000, 0.994652, 0.984154, -0.005249
0.680000, 0.996268, 0.987948, -0.004160
0.685000, 0.997452, 0.991042, -0.003205
0.690000, 0.998299, 0.993500, -0.002399
0.695000, 0.998891, 0.995401, -0.001745
0.700000, 0.999294, 0.996829, -0.001232
0.705000, 0.999561, 0.997871, -0.000845
0.710000, 0.999734, 0.998609, -0.000562
0.715000, 0.999843, 0.999116, -0.000363
0.720000, 0.999909, 0.999454, -0.000228
0.725000, 0.999949, 0.999672, -0.000138
0.730000, 0.999972, 0.999809, -0.000082
0.735000, 0.999985, 0.999892, -0.000047
0.740000, 0.999992, 0.999941, -0.000026
0.745000, 0.999996, 0.999968, -0.000014
0.750000, 0.999998, 0.999984, -0.000007
