Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.001647, 0.000000, -0.000824
0.255000, 0.002637, 0.000000, -0.001319
0.260000, 0.004062, 0.000000, -0.002031
0.265000, 0.006024, 0.000001, -0.003011
0.270000, 0.008609, 0.000001, -0.004304
0.275000, 0.011872, 0.000003, -0.005935
0.280000, 0.015814, 0.000005, -0.007905
0.285000, 0.020380, 0.000010, -0.010185
0.290000, 0.025454, 0.000018, -0.012718
0.295000, 0.030875, 0.000032, -0.015421
0.300000, 0.036460, 0.000057, -0.018201
0.305000, 0.042036, 0.000099, -0.020968
0.310000, 0.047474, 0.000168, -0.023653
0.315000, 0.052711, 0.000280, -0.026216
0.320000, 0.057769, 0.000455, -0.028657
0.325000, 0.062752, 0.000726, -0.031013
0.330000, 0.067836, 0.001135, -0.033351
0.335000, 0.073238, 0.001740, -0.035749
0.340000, 0.079191, 0.002616, -0.038287
0.345000, 0.085907, 0.003861, -0.041023
0.350000, 0.093552, 0.005591, -0.043980
0.355000, 0.102221, 0.007951, -0.047135
0.360000, 0.111923, 0.011105, -0.050409
0.365000, 0.122578, 0.015240, -0.053669
0.370000, 0.134021, 0.020561, -0.056730
0.375000, 0.146016, 0.027281, -0.059367
0.380000, 0.158275, 0.035617, -0.061329
0.385000, 0.170486, 0.045775, -0.062355
0.390000, 0.182340, 0.057945, -0.062198
0.395000, 0.193561, 0.072284, -0.060639
0.400000, 0.203921, 0.088907, -0.057507
0.405000, 0.213264, 0.107882, -0.052691
0.410000, 0.221510, 0.129217, -0.046147
0.415000, 0.228657, 0.152858, -0.037900
0.420000, 0.234772, 0.178688, -0.028042
0.425000, 0.239981, 0.206530, -0.016726
0.430000, 0.244456, 0.236147, -0.004155
0.435000, 0.248398, 0.267251, +0.009427
0.440000, 0.252022, 0.299513, +0.023746
0.445000, 0.255551, 0.332571, +0.038510
0.450000, 0.259203, 0.366039, +0.053418
0.455000, 0.263186, 0.399525, +0.068169
0.460000, 0.267696, 0.432636, +0.082470
0.465000, 0.272914, 0.464996, +0.096041
0.470000, 0.279006, 0.496253, +0.108623
0.475000, 0.286658, 0.526089, +0.119716
0.480000, 0.296219, 0.554234, +0.129008
0.485000, 0.307553, 0.580465, +0.136456
0.490000, 0.320823, 0.604620, +0.141899
0.495000, 0.336163, 0.626590, +0.145213
0.500000, 0.353673, 0.646327, +0.146327
0.505000, 0.373410, 0.663837, +0.145213
0.510000, 0.395380, 0.679177, +0.141899
0.515000, 0.419535, 0.692447, +0.136456
0.520000, 0.445766, 0.703781, +0.129008
0.525000, 0.473911, 0.713342, +0.119716
0.530000, 0.503747, 0.720994, +0.108623
0.535000, 0.535004, 0.727086, +0.096041
0.540000, 0.567364, 0.732304, +0.082470
0.545000, 0.600475, 0.736814, +0.068169
0.550000, 0.633961, 0.740797, +0.053418
0.555000, 0.667429, 0.744449, +0.038510
0.560000, 0.700487, 0.747978, +0.023746
0.565000, 0.732749, 0.751602, +0.009427
0.570000, 0.763853, 0.755544, -0.004155
0.575000, 0.793470, 0.760019, -0.016726
0.580000, 0.821312, 0.765228, -0.028042
0.585000, 0.847142, 0.771343, -0.037900
0.590000, 0.870783, 0.778490, -0.046147
0.595000, 0.892118, 0.786736, -0.052691
0.600000, 0.911093, 0.796079, -0.057507
0.605000, 0.927716, 0.806439, -0.060639
0.610000, 0.942055, 0.817660, -0.062198
0.615000, 0.954225, 0.829514, -0.062355
0.620000, 0.964383, 0.841725, -0.061329
0.625000, 0.972719, 0.853984, -0.059367
0.630000, 0.979439, 0.865979, -0.056730
0.635000, 0.984760, 0.877422, -0.053669
0.640000, 0.988895, 0.888077, -0.050409
0.645000, 0.992049, 0.897779, -0.047135
0.650000, 0.994409, 0.906448, -0.043980
0.655000, 0.996139, 0.914093, -0.041023
0.660000, 0.997384, 0.920809, -0.038287
0.665000, 0.998260, 0.926762, -0.035749
0.670000, 0.998865, 0.932164, -0.033351
0.675000, 0.999274, 0.937248, -0.031013
0.680000, 0.999545, 0.942231, -0.028657
0.685000, 0.999720, 0.947289, -0.026216
0.690000, 0.999832, 0.952526, -0.023653
0.695000, 0.999901, 0.957964, -0.020968
0.700000, 0.999943, 0.963540, -0.018201
0.705000, 0.999968, 0.969125, -0.015421
0.710000, 0.999982, 0.974546, -0.012718
0.715000, 0.999990, 0.979620, -0.010185
0.720000, 0.999995, 0.984186, -0.007905
0.725000, 0.999997, 0.988128, -0.005935
0.730000, 0.999999, 0.991391, -0.004304
0.735000, 0.999999, 0.993976, -0.003011
0.740000, 1.000000, 0.995938, -0.002031
0.745000, 1.000000, 0.997363, -0.001319
0.750000, 1.000000, 0.998353, -0.000824
