Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000403, 0.000000, -0.000202, 0.000000, 0.055154, 0.062500
0.255000, 0.000696, 0.000000, -0.000348, 0.000000, 0.057085, 0.062500
0.260000, 0.001158, 0.000000, -0.000579, 0.000000, 0.058929, 0.062500
0.265000, 0.001860, 0.000001, -0.000929, 0.000000, 0.060740, 0.062500
0.270000, 0.002884, 0.000001, -0.001441, 0.000000, 0.062580, 0.062500
0.275000, 0.004322, 0.000003, -0.002160, 0.000000, 0.064523, 0.062500
0.280000, 0.006264, 0.000005, -0.003130, 0.000000, 0.066647, 0.062500
0.285000, 0.008786, 0.000009, -0.004388, 0.000000, 0.069036, 0.062500
0.290000, 0.011940, 0.000017, -0.005961, 0.000000, 0.071775, 0.062500
0.295000, 0.015740, 0.000030, -0.007855, 0.000000, 0.074947, 0.062500
0.300000, 0.020159, 0.000054, -0.010053, 0.000000, 0.078629, 0.062500
0.305000, 0.025126, 0.000093, -0.012517, 0.000000, 0.082888, 0.062500
0.310000, 0.030540, 0.000157, -0.015191, 0.000000, 0.087779, 0.062500
0.315000, 0.036285, 0.000260, -0.018013, 0.062500, 0.093337, 0.062500
0.320000, 0.042255, 0.000422, -0.020916, 0.062500, 0.099576, 0.062500
0.325000, 0.048377, 0.000673, -0.023852, 0.062500, 0.106486, 0.062500
0.330000, 0.054625, 0.001051, -0.026787, 0.062500, 0.114031, 0.062500
0.335000, 0.061038, 0.001610, -0.029714, 0.062500, 0.122150, 0.062500
0.340000, 0.067708, 0.002420, -0.032644, 0.062500, 0.130756, 0.062500
0.345000, 0.074771, 0.003571, -0.035600, 0.062500, 0.139741, 0.062500
0.350000, 0.082383, 0.005176, -0.038604, 0.062500, 0.148982, 0.062500
0.355000, 0.090691, 0.007369, -0.041661, 0.062500, 0.158343, 0.187500
0.360000, 0.099804, 0.010310, -0.044747, 0.062500, 0.167682, 0.250000
0.365000, 0.109768, 0.014183, -0.047793, 0.062500, 0.176862, 0.250000
0.370000, 0.120558, 0.019192, -0.050683, 0.062500, 0.185754, 0.250000
0.375000, 0.132064, 0.025556, -0.053254, 0.062500, 0.194245, 0.250000
0.380000, 0.144107, 0.033503, -0.055302, 0.062500, 0.202244, 0.250000
0.385000, 0.156449, 0.043261, -0.056594, 0.187500, 0.209683, 0.250000
0.390000, 0.168819, 0.055045, -0.056887, 0.250000, 0.216524, 0.250000
0.395000, 0.180944, 0.069046, -0.055949, 0.250000, 0.222756, 0.250000
0.400000, 0.192569, 0.085420, -0.053574, 0.250000, 0.228394, 0.250000
0.405000, 0.203485, 0.104270, -0.049607, 0.250000, 0.233481, 0.250000
0.410000, 0.213547, 0.125639, -0.043954, 0.250000, 0.238080, 0.250000
0.415000, 0.222682, 0.149497, -0.036593, 0.250000, 0.242274, 0.250000
0.420000, 0.230891, 0.175737, -0.027577, 0.250000, 0.246157, 0.250000
0.425000, 0.238242, 0.204171, -0.017035, 0.250000, 0.249838, 0.250000
0.430000, 0.244861, 0.234530, -0.005165, 0.250000, 0.253428, 0.250000
0.435000, 0.250913, 0.266474, +0.007780, 0.250000, 0.257044, 0.250000
0.440000, 0.256591, 0.299599, +0.021504, 0.250000, 0.260804, 0.250000
0.445000, 0.262097, 0.333458, +0.035680, 0.250000, 0.264825, 0.250000
0.450000, 0.267633, 0.367576, +0.049972, 0.250000, 0.269223, 0.250000
0.455000, 0.273387, 0.401474, +0.064044, 0.250000, 0.274115, 0.250000
0.460000, 0.279533, 0.434688, +0.077577, 0.250000, 0.279615, 0.250000
0.465000, 0.286225, 0.466790, +0.090283, 0.250000, 0.285840, 0.250000
0.470000, 0.293595, 0.497407, +0.101906, 0.250000, 0.292907, 0.250000
0.475000, 0.301759, 0.526234, +0.112237, 0.250000, 0.300937, 0.250000
0.480000, 0.310818, 0.553039, +0.121111, 0.312500, 0.310049, 0.312500
0.485000, 0.320855, 0.577672, +0.128409, 0.312500, 0.320365, 0.312500
0.490000, 0.332058, 0.600060, +0.134001, 0.312500, 0.332003, 0.312500
0.495000, 0.345984, 0.620200, +0.137108, 0.312500, 0.345075, 0.312500
0.500000, 0.361851, 0.638149, +0.138149, 0.312500, 0.359685, 0.312500
0.505000, 0.379800, 0.654016, +0.137108, 0.312500, 0.375915, 0.312500
0.510000, 0.399940, 0.667942, +0.134001, 0.312500, 0.393828, 0.312500
0.515000, 0.422328, 0.679145, +0.128409, 0.312500, 0.413455, 0.312500
0.520000, 0.446961, 0.689182, +0.121111, 0.375000, 0.434789, 0.375000
