Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.009326, 0.000000, -0.004663
0.255000, 0.013061, 0.000000, -0.006530
0.260000, 0.017565, 0.000000, -0.008783
0.265000, 0.022729, 0.000000, -0.011364
0.270000, 0.028360, 0.000001, -0.014179
0.275000, 0.034212, 0.000002, -0.017105
0.280000, 0.040027, 0.000003, -0.020012
0.285000, 0.045583, 0.000006, -0.022788
0.290000, 0.050736, 0.000012, -0.025362
0.295000, 0.055451, 0.000021, -0.027715
0.300000, 0.059810, 0.000037, -0.029886
0.305000, 0.063994, 0.000065, -0.031964
0.310000, 0.068260, 0.000111, -0.034074
0.315000, 0.072901, 0.000186, -0.036358
0.320000, 0.078209, 0.000304, -0.038953
0.325000, 0.084440, 0.000489, -0.041975
0.330000, 0.091781, 0.000771, -0.045505
0.335000, 0.100336, 0.001192, -0.049572
0.340000, 0.110107, 0.001809, -0.054149
0.345000, 0.120996, 0.002695, -0.059150
0.350000, 0.132805, 0.003945, -0.064430
0.355000, 0.145255, 0.005674, -0.069790
0.360000, 0.158009, 0.008020, -0.074994
0.365000, 0.170705, 0.011149, -0.079778
0.370000, 0.182984, 0.015245, -0.083869
0.375000, 0.194524, 0.020516, -0.087004
0.380000, 0.205067, 0.027183, -0.088942
0.385000, 0.214434, 0.035475, -0.089479
0.390000, 0.222534, 0.045620, -0.088457
0.395000, 0.229360, 0.057833, -0.085763
0.400000, 0.234981, 0.072306, -0.081338
0.405000, 0.239521, 0.089190, -0.075166
0.410000, 0.242982, 0.108589, -0.067197
0.415000, 0.244859, 0.130542, -0.057158
0.420000, 0.246684, 0.155018, -0.045833
0.425000, 0.248530, 0.181906, -0.033312
0.430000, 0.250477, 0.211014, -0.019731
0.435000, 0.252619, 0.242073, -0.005273
0.440000, 0.255062, 0.274740, +0.009839
0.445000, 0.257922, 0.308610, +0.025344
0.450000, 0.261332, 0.343235, +0.040951
0.455000, 0.265438, 0.378139, +0.056350
0.460000, 0.270400, 0.412839, +0.071220
0.465000, 0.276388, 0.446867, +0.085239
0.470000, 0.283587, 0.479790, +0.098101
0.475000, 0.292187, 0.511222, +0.109518
0.480000, 0.302380, 0.540843, +0.119232
0.485000, 0.314355, 0.568404, +0.127024
0.490000, 0.328291, 0.593731, +0.132720
0.495000, 0.344346, 0.616724, +0.136189
0.500000, 0.362646, 0.637354, +0.137354
0.505000, 0.383276, 0.655654, +0.136189
0.510000, 0.406269, 0.671709, +0.132720
0.515000, 0.431596, 0.685645, +0.127024
0.520000, 0.459157, 0.697620, +0.119232
0.525000, 0.488778, 0.707813, +0.109518
0.530000, 0.520210, 0.716413, +0.098101
0.535000, 0.553133, 0.723612, +0.085239
0.540000, 0.587161, 0.729600, +0.071220
0.545000, 0.621861, 0.734562, +0.056350
0.550000, 0.656765, 0.738668, +0.040951
0.555000, 0.691390, 0.742078, +0.025344
0.560000, 0.725260, 0.744938, +0.009839
0.565000, 0.757927, 0.747381, -0.005273
0.570000, 0.788986, 0.749523, -0.019731
0.575000, 0.818094, 0.751470, -0.033312
0.580000, 0.844982, 0.753316, -0.045833
0.585000, 0.869458, 0.755141, -0.057158
0.590000, 0.891411, 0.757018, -0.067197
0.595000, 0.910810, 0.760479, -0.075166
0.600000, 0.927694, 0.765019, -0.081338
0.605000, 0.942167, 0.770640, -0.085763
0.610000, 0.954380, 0.777466, -0.088457
0.615000, 0.964525, 0.785566, -0.089479
0.620000, 0.972817, 0.794933, -0.088942
0.625000, 0.979484, 0.805476, -0.087004
0.630000, 0.984755, 0.817016, -0.083869
0.635000, 0.988851, 0.829295, -0.079778
0.640000, 0.991980, 0.841991, -0.074994
0.645000, 0.994326, 0.854745, -0.069790
0.650000, 0.996055, 0.867195, -0.064430
0.655000, 0.997305, 0.879004, -0.059150
0.660000, 0.998191, 0.889893, -0.054149
0.665000, 0.998808, 0.899664, -0.049572
0.670000, 0.999229, 0.908219, -0.045505
0.675000, 0.999511, 0.915560, -0.041975
0.680000, 0.999696, 0.921791, -0.038953
0.685000, 0.999814, 0.927099, -0.036358
0.690000, 0.999889, 0.931740, -0.034074
0.695000, 0.999935, 0.936006, -0.031964
0.700000, 0.999963, 0.940190, -0.029886
0.705000, 0.999979, 0.944549, -0.027715
0.710000, 0.999988, 0.949264, -0.025362
0.715000, 0.999994, 0.954417, -0.022788
0.720000, 0.999997, 0.959973, -0.020012
0.725000, 0.999998, 0.965788, -0.017105
0.730000, 0.999999, 0.971640, -0.014179
0.735000, 1.000000, 0.977271, -0.011364
0.740000, 1.000000, 0.982435, -0.008783
0.745000, 1.000000, 0.986939, -0.006530
0.750000, 1.000000, 0.990674, -0.004663
