Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.001997, 0.000001, -0.000998, 0.000000, 0.085100, 0.111111
0.255000, 0.003150, 0.000001, -0.001574, 0.000000, 0.088235, 0.111111
0.260000, 0.004782, 0.000003, -0.002389, 0.000000, 0.091401, 0.111111
0.265000, 0.006994, 0.000006, -0.003494, 0.000000, 0.094581, 0.111111
0.270000, 0.009869, 0.000011, -0.004929, 0.000000, 0.097767, 0.111111
0.275000, 0.013454, 0.000021, -0.006716, 0.000000, 0.100954, 0.111111
0.280000, 0.017749, 0.000038, -0.008855, 0.000000, 0.104145, 0.111111
0.285000, 0.022705, 0.000069, -0.011318, 0.000000, 0.107350, 0.111111
0.290000, 0.028226, 0.000122, -0.014052, 0.000000, 0.110584, 0.111111
0.295000, 0.034185, 0.000210, -0.016987, 0.055556, 0.113866, 0.111111
0.300000, 0.040446, 0.000355, -0.020046, 0.055556, 0.117218, 0.111111
0.305000, 0.046883, 0.000584, -0.023149, 0.055556, 0.120662, 0.111111
0.310000, 0.053396, 0.000939, -0.026229, 0.055556, 0.124220, 0.111111
0.315000, 0.059928, 0.001478, -0.029225, 0.055556, 0.127910, 0.111111
0.320000, 0.066454, 0.002276, -0.032089, 0.055556, 0.131745, 0.111111
0.325000, 0.072980, 0.003429, -0.034775, 0.055556, 0.135730, 0.111111
0.330000, 0.079529, 0.005059, -0.037235, 0.055556, 0.139867, 0.111111
0.335000, 0.086125, 0.007309, -0.039408, 0.055556, 0.144149, 0.111111
0.340000, 0.092790, 0.010348, -0.041221, 0.111111, 0.148563, 0.166667
0.345000, 0.099536, 0.014364, -0.042586, 0.111111, 0.153087, 0.166667
0.350000, 0.106366, 0.019558, -0.043404, 0.111111, 0.157697, 0.166667
0.355000, 0.113277, 0.026138, -0.043570, 0.111111, 0.162364, 0.166667
0.360000, 0.120263, 0.034305, -0.042979, 0.111111, 0.167055, 0.166667
0.365000, 0.127319, 0.044249, -0.041535, 0.111111, 0.171735, 0.166667
0.370000, 0.134433, 0.056127, -0.039153, 0.111111, 0.176372, 0.166667
0.375000, 0.141593, 0.070061, -0.035766, 0.111111, 0.180932, 0.166667
0.380000, 0.148777, 0.086127, -0.031325, 0.166667, 0.185387, 0.166667
0.385000, 0.155953, 0.104345, -0.025804, 0.166667, 0.189712, 0.222222
0.390000, 0.163083, 0.124684, -0.019199, 0.166667, 0.193890, 0.222222
0.395000, 0.170120, 0.147056, -0.011532, 0.166667, 0.197912, 0.222222
0.400000, 0.177015, 0.171319, -0.002848, 0.166667, 0.201775, 0.222222
0.405000, 0.183724, 0.197291, +0.006784, 0.166667, 0.205490, 0.222222
0.410000, 0.190211, 0.224747, +0.017268, 0.222222, 0.209076, 0.222222
0.415000, 0.196456, 0.253434, +0.028489, 0.222222, 0.212565, 0.222222
0.420000, 0.202459, 0.283078, +0.040309, 0.222222, 0.215997, 0.222222
0.425000, 0.208242, 0.313388, +0.052573, 0.222222, 0.219424, 0.222222
0.430000, 0.213847, 0.344069, +0.065111, 0.222222, 0.222906, 0.222222
0.435000, 0.219339, 0.374825, +0.077743, 0.222222, 0.226513, 0.222222
0.440000, 0.224800, 0.405365, +0.090282, 0.222222, 0.230318, 0.222222
0.445000, 0.230326, 0.435412, +0.102543, 0.222222, 0.234402, 0.222222
0.450000, 0.236020, 0.464704, +0.114342, 0.222222, 0.238847, 0.222222
0.455000, 0.241993, 0.493004, +0.125506, 0.222222, 0.243738, 0.222222
0.460000, 0.248351, 0.520103, +0.135876, 0.222222, 0.249160, 0.222222
0.465000, 0.255201, 0.545823, +0.145311, 0.222222, 0.255200, 0.222222
0.470000, 0.262637, 0.570023, +0.153693, 0.222222, 0.261942, 0.222222
0.475000, 0.270746, 0.592604, +0.160929, 0.222222, 0.269470, 0.222222
0.480000, 0.279602, 0.613502, +0.166950, 0.222222, 0.277864, 0.277778
0.485000, 0.289266, 0.632694, +0.171714, 0.277778, 0.287204, 0.277778
0.490000, 0.299786, 0.649044, +0.174629, 0.277778, 0.297561, 0.277778
0.495000, 0.311199, 0.663221, +0.176011, 0.277778, 0.309005, 0.277778
0.500000, 0.323526, 0.676474, +0.176474, 0.277778, 0.321594, 0.277778
0.505000, 0.336779, 0.688801, +0.176011, 0.277778, 0.335378, 0.277778
0.510000, 0.350956, 0.700214, +0.174629, 0.333333, 0.350392, 0.333333
0.515000, 0.367306, 0.710734, +0.171714, 0.333333, 0.366655, 0.333333
0.520000, 0.386498, 0.720398, +0.166950, 0.333333, 0.384166, 0.333333
0.525000, 0.407396, 0.729254, +0.160929, 0.333333, 0.402902, 0.333333
0.530000, 0.429977, 0.737363, +0.153693, 0.333333, 0.422820, 0.333333
0.535000, 0.454177, 0.744799, +0.145311, 0.388889, 0.443847, 0.388889
0.540000, 0.479897, 0.751649, +0.135876, 0.388889, 0.465891, 0.388889
0.545000, 0.506996, 0.758007, +0.125506, 0.444444, 0.488835, 0.388889
0.550000, 0.535296, 0.763980, +0.114342, 0.500000, 0.512546, 0.444444
0.555000, 0.564588, 0.769674, +0.102543, 0.666667, 0.536871, 0.500000
0.560000, 0.594635, 0.775200, +0.090282, 0.666667, 0.561649, 0.611111
0.565000, 0.625175, 0.780661, +0.077743, 0.666667, 0.586713, 0.666667
0.570000, 0.655931, 0.786153, +0.065111, 0.666667, 0.611891, 0.666667
0.575000, 0.686612, 0.791758, +0.052573, 0.666667, 0.637018, 0.666667
0.580000, 0.716922, 0.797541, +0.040309, 0.777778, 0.661931, 0.666667
0.585000, 0.746566, 0.803544, +0.028489, 0.777778, 0.686480, 0.666667
0.590000, 0.775253, 0.809789, +0.017268, 0.777778, 0.710525, 0.722222
0.595000, 0.802709, 0.816276, +0.006784, 0.888889, 0.733939, 0.777778
0.600000, 0.828681, 0.822985, -0.002848, 0.888889, 0.756609, 0.777778
0.605000, 0.852944, 0.829880, -0.011532, 0.888889, 0.778436, 0.777778
0.610000, 0.875316, 0.836917, -0.019199, 0.944444, 0.799333, 0.888889
0.615000, 0.895655, 0.844047, -0.025804, 0.944444, 0.819227, 0.888889
0.620000, 0.913873, 0.851223, -0.031325, 1.000000, 0.838057, 0.888889
0.625000, 0.929939, 0.858407, -0.035766, 1.000000, 0.855774, 0.888889
0.630000, 0.943873, 0.865567, -0.039153, 1.000000, 0.872342, 0.888889
0.635000, 0.955751, 0.872681, -0.041535, 1.000000, 0.887734, 0.944444
0.640000, 0.965695, 0.879737, -0.042979, 1.000000, 0.901939, 0.944444
0.645000, 0.973862, 0.886723, -0.043570, 1.000000, 0.914953, 0.944444
0.650000, 0.980442, 0.893634, -0.043404, 1.000000, 0.926787, 0.944444
0.655000, 0.985636, 0.900464, -0.042586, 1.000000, 0.937464, 1.000000
0.660000, 0.989652, 0.907210, -0.041221, 1.000000, 0.947016, 1.000000
0.665000, 0.992691, 0.913875, -0.039408, 1.000000, 0.955488, 1.000000
0.670000, 0.994941, 0.920471, -0.037235, 1.000000, 0.962934, 1.000000
0.675000, 0.996571, 0.927020, -0.034775, 1.000000, 0.969415, 1.000000
0.680000, 0.997724, 0.933546, -0.032089, 1.000000, 0.975001, 1.000000
0.685000, 0.998522, 0.940072, -0.029225, 1.000000, 0.979766, 1.000000
0.690000, 0.999061, 0.946604, -0.026229, 1.000000, 0.983788, 1.000000
0.695000, 0.999416, 0.953117, -0.023149, 1.000000, 0.987145, 1.000000
0.700000, 0.999645, 0.959554, -0.020046, 1.000000, 0.989915, 1.000000
0.705000, 0.999790, 0.965815, -0.016987, 1.000000, 0.992175, 1.000000
0.710000, 0.999878, 0.971774, -0.014052, 1.000000, 0.993997, 1.000000
0.715000, 0.999931, 0.977295, -0.011318, 1.000000, 0.995447, 1.000000
0.720000, 0.999962, 0.982251, -0.008855, 1.000000, 0.996587, 1.000000
0.725000, 0.999979, 0.986546, -0.006716, 1.000000, 0.997472, 1.000000
0.730000, 0.999989, 0.990131, -0.004929, 1.000000, 0.998151, 1.000000
0.735000, 0.999994, 0.993006, -0.003494, 1.000000, 0.998664, 1.000000
0.740000, 0.999997, 0.995218, -0.002389, 1.000000, 0.999047, 1.000000
0.745000, 0.999999, 0.996850, -0.001574, 1.000000, 0.999328, 1.000000
0.750000, 0.999999, 0.998003, -0.000998, 1.000000, 0.999533, 1.000000
