Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000090, 0.000001, -0.000044, 0.000000, 0.062188, 0.055556
0.255000, 0.000164, 0.000002, -0.000081, 0.000000, 0.065125, 0.055556
0.260000, 0.000291, 0.000003, -0.000144, 0.000000, 0.068172, 0.055556
0.265000, 0.000498, 0.000007, -0.000245, 0.000000, 0.071351, 0.055556
0.270000, 0.000825, 0.000013, -0.000406, 0.000000, 0.074673, 0.055556
0.275000, 0.001325, 0.000025, -0.000650, 0.000000, 0.078149, 0.055556
0.280000, 0.002062, 0.000045, -0.001008, 0.000000, 0.081781, 0.055556
0.285000, 0.003113, 0.000081, -0.001516, 0.000000, 0.085565, 0.055556
0.290000, 0.004559, 0.000142, -0.002208, 0.000000, 0.089495, 0.111111
0.295000, 0.006484, 0.000242, -0.003121, 0.000000, 0.093560, 0.111111
0.300000, 0.008965, 0.000403, -0.004281, 0.000000, 0.097748, 0.111111
0.305000, 0.012062, 0.000655, -0.005703, 0.000000, 0.102043, 0.111111
0.310000, 0.015812, 0.001042, -0.007385, 0.000000, 0.106431, 0.111111
0.315000, 0.020223, 0.001620, -0.009301, 0.000000, 0.110899, 0.111111
0.320000, 0.025272, 0.002464, -0.011404, 0.000000, 0.115432, 0.111111
0.325000, 0.030910, 0.003668, -0.013621, 0.000000, 0.120019, 0.111111
0.330000, 0.037067, 0.005344, -0.015861, 0.055556, 0.124650, 0.111111
0.335000, 0.043665, 0.007629, -0.018018, 0.055556, 0.129314, 0.111111
0.340000, 0.050624, 0.010675, -0.019975, 0.055556, 0.134006, 0.111111
0.345000, 0.057875, 0.014649, -0.021613, 0.055556, 0.138719, 0.111111
0.350000, 0.065364, 0.019729, -0.022817, 0.055556, 0.143448, 0.166667
0.355000, 0.073051, 0.026097, -0.023477, 0.055556, 0.148189, 0.166667
0.360000, 0.080910, 0.033930, -0.023490, 0.055556, 0.152941, 0.166667
0.365000, 0.088924, 0.043390, -0.022767, 0.055556, 0.157703, 0.166667
0.370000, 0.097079, 0.054623, -0.021228, 0.111111, 0.162473, 0.166667
0.375000, 0.105359, 0.067748, -0.018805, 0.111111, 0.167252, 0.166667
0.380000, 0.113742, 0.082852, -0.015445, 0.111111, 0.172042, 0.166667
0.385000, 0.122202, 0.099987, -0.011108, 0.111111, 0.176845, 0.166667
0.390000, 0.130710, 0.119166, -0.005772, 0.111111, 0.181663, 0.166667
0.395000, 0.139235, 0.140363, +0.000564, 0.111111, 0.186500, 0.166667
