Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.020639, 0.000000, -0.010319, 0.000000, 0.109429, 0.111111
0.255000, 0.026693, 0.000001, -0.013346, 0.000000, 0.110535, 0.111111
0.260000, 0.033344, 0.000001, -0.016671, 0.055556, 0.111649, 0.111111
0.265000, 0.040377, 0.000003, -0.020187, 0.055556, 0.112820, 0.111111
0.270000, 0.047578, 0.000005, -0.023786, 0.055556, 0.114100, 0.111111
0.275000, 0.054769, 0.000010, -0.027379, 0.055556, 0.115542, 0.111111
0.280000, 0.061819, 0.000019, -0.030900, 0.055556, 0.117199, 0.111111
0.285000, 0.068643, 0.000036, -0.034303, 0.055556, 0.119120, 0.111111
0.290000, 0.075189, 0.000065, -0.037562, 0.055556, 0.121349, 0.111111
0.295000, 0.081424, 0.000114, -0.040655, 0.055556, 0.123925, 0.111111
0.300000, 0.087316, 0.000197, -0.043560, 0.111111, 0.126875, 0.111111
0.305000, 0.092846, 0.000331, -0.046257, 0.111111, 0.130218, 0.111111
0.310000, 0.098007, 0.000547, -0.048730, 0.111111, 0.133958, 0.111111
0.315000, 0.102826, 0.000882, -0.050972, 0.111111, 0.138087, 0.111111
0.320000, 0.107370, 0.001392, -0.052989, 0.111111, 0.142579, 0.111111
0.325000, 0.111752, 0.002153, -0.054799, 0.111111, 0.147397, 0.111111
0.330000, 0.116116, 0.003260, -0.056428, 0.111111, 0.152488, 0.111111
0.335000, 0.120624, 0.004836, -0.057894, 0.111111, 0.157787, 0.111111
0.340000, 0.125434, 0.007031, -0.059201, 0.111111, 0.163222, 0.166667
0.345000, 0.130672, 0.010022, -0.060325, 0.111111, 0.168713, 0.166667
0.350000, 0.136422, 0.014010, -0.061206, 0.111111, 0.174180, 0.222222
0.355000, 0.142704, 0.019219, -0.061743, 0.111111, 0.179543, 0.222222
0.360000, 0.149481, 0.025881, -0.061800, 0.111111, 0.184730, 0.222222
0.365000, 0.156653, 0.034233, -0.061210, 0.111111, 0.189678, 0.222222
0.370000, 0.164080, 0.044499, -0.059791, 0.166667, 0.194335, 0.222222
0.375000, 0.171587, 0.056875, -0.057356, 0.166667, 0.198667, 0.222222
0.380000, 0.178994, 0.071519, -0.053737, 0.222222, 0.202654, 0.222222
0.385000, 0.186126, 0.088536, -0.048795, 0.222222, 0.206292, 0.222222
0.390000, 0.192838, 0.107963, -0.042438, 0.222222, 0.209598, 0.222222
0.395000, 0.199026, 0.129770, -0.034628, 0.222222, 0.212599, 0.222222
0.400000, 0.204630, 0.153848, -0.025391, 0.222222, 0.215338, 0.222222
0.405000, 0.209645, 0.180019, -0.014813, 0.222222, 0.217871, 0.222222
0.410000, 0.214110, 0.208035, -0.003038, 0.222222, 0.220262, 0.222222
0.415000, 0.218105, 0.237592, +0.009743, 0.222222, 0.222582, 0.222222
0.420000, 0.221740, 0.268342, +0.023301, 0.222222, 0.224907, 0.222222
0.425000, 0.225142, 0.299907, +0.037383, 0.222222, 0.227316, 0.222222
0.430000, 0.228447, 0.331898, +0.051725, 0.222222, 0.229887, 0.222222
0.435000, 0.231790, 0.363927, +0.066068, 0.222222, 0.232700, 0.222222
0.440000, 0.235296, 0.395626, +0.080165, 0.222222, 0.235830, 0.222222
0.445000, 0.239079, 0.426656, +0.093789, 0.222222, 0.239351, 0.222222
0.450000, 0.243234, 0.456722, +0.106744, 0.222222, 0.243333, 0.222222
0.455000, 0.247839, 0.485575, +0.118868, 0.222222, 0.247841, 0.222222
0.460000, 0.252917, 0.513019, +0.130051, 0.222222, 0.252935, 0.222222
0.465000, 0.258712, 0.538912, +0.140100, 0.222222, 0.258673, 0.222222
0.470000, 0.265303, 0.563160, +0.148928, 0.222222, 0.265106, 0.222222
0.475000, 0.272770, 0.585716, +0.156473, 0.277778, 0.272281, 0.277778
0.480000, 0.281194, 0.606573, +0.162690, 0.277778, 0.280240, 0.277778
0.485000, 0.290659, 0.625754, +0.167547, 0.277778, 0.289023, 0.277778
0.490000, 0.301253, 0.643309, +0.171028, 0.277778, 0.298662, 0.277778
0.495000, 0.313065, 0.659303, +0.173119, 0.277778, 0.309189, 0.277778
0.500000, 0.326183, 0.673817, +0.173817, 0.277778, 0.320630, 0.277778
0.505000, 0.340697, 0.686935, +0.173119, 0.277778, 0.333007, 0.277778
0.510000, 0.356691, 0.698747, +0.171028, 0.277778, 0.346340, 0.277778
0.515000, 0.374246, 0.709341, +0.167547, 0.333333, 0.360644, 0.333333
0.520000, 0.393427, 0.718806, +0.162690, 0.388889, 0.375930, 0.333333
0.525000, 0.414284, 0.727230, +0.156473, 0.388889, 0.392204, 0.388889
0.530000, 0.436840, 0.734697, +0.148928, 0.444444, 0.409467, 0.388889
0.535000, 0.461088, 0.741288, +0.140100, 0.444444, 0.427712, 0.444444
0.540000, 0.486981, 0.747083, +0.130051, 0.444444, 0.446922, 0.444444
0.545000, 0.514425, 0.752161, +0.118868, 0.444444, 0.467069, 0.444444
0.550000, 0.543278, 0.756766, +0.106744, 0.500000, 0.488110, 0.444444
0.555000, 0.573344, 0.760921, +0.093789, 0.500000, 0.509989, 0.444444
0.560000, 0.604374, 0.764704, +0.080165, 0.500000, 0.532629, 0.500000
0.565000, 0.636073, 0.768210, +0.066068, 0.611111, 0.555936, 0.500000
0.570000, 0.668102, 0.771553, +0.051725, 0.666667, 0.579796, 0.500000
0.575000, 0.700093, 0.774858, +0.037383, 0.777778, 0.604080, 0.500000
0.580000, 0.731658, 0.778260, +0.023301, 0.833333, 0.628639, 0.611111
0.585000, 0.762408, 0.781895, +0.009743, 0.833333, 0.653316, 0.666667
0.590000, 0.791965, 0.785890, -0.003038, 0.833333, 0.677941, 0.666667
0.595000, 0.819981, 0.790355, -0.014813, 0.888889, 0.702343, 0.777778
0.600000, 0.846152, 0.795370, -0.025391, 0.888889, 0.726352, 0.833333
0.605000, 0.870230, 0.800974, -0.034628, 0.944444, 0.749801, 0.833333
0.610000, 0.892037, 0.807162, -0.042438, 1.000000, 0.772536, 0.833333
0.615000, 0.911464, 0.813874, -0.048795, 1.000000, 0.794417, 0.833333
0.620000, 0.928481, 0.821006, -0.053737, 1.000000, 0.815318, 0.833333
0.625000, 0.943125, 0.828413, -0.057356, 1.000000, 0.835136, 0.833333
0.630000, 0.955501, 0.835920, -0.059791, 1.000000, 0.853786, 0.888889
0.635000, 0.965767, 0.843347, -0.061210, 1.000000, 0.871203, 0.888889
0.640000, 0.974119, 0.850519, -0.061800, 1.000000, 0.887344, 0.944444
0.645000, 0.980781, 0.857296, -0.061743, 1.000000, 0.902184, 0.944444
0.650000, 0.985990, 0.863578, -0.061206, 1.000000, 0.915718, 1.000000
0.655000, 0.989978, 0.869328, -0.060325, 1.000000, 0.927959, 1.000000
0.660000, 0.992969, 0.874566, -0.059201, 1.000000, 0.938934, 1.000000
0.665000, 0.995164, 0.879376, -0.057894, 1.000000, 0.948686, 1.000000
0.670000, 0.996740, 0.883884, -0.056428, 1.000000, 0.957269, 1.000000
0.675000, 0.997847, 0.888248, -0.054799, 1.000000, 0.964751, 1.000000
0.680000, 0.998608, 0.892630, -0.052989, 1.000000, 0.971206, 1.000000
0.685000, 0.999118, 0.897174, -0.050972, 1.000000, 0.976717, 1.000000
0.690000, 0.999453, 0.901993, -0.048730, 1.000000, 0.981369, 1.000000
0.695000, 0.999669, 0.907154, -0.046257, 1.000000, 0.985252, 1.000000
0.700000, 0.999803, 0.912684, -0.043560, 1.000000, 0.988456, 1.000000
0.705000, 0.999886, 0.918576, -0.040655, 1.000000, 0.991066, 1.000000
0.710000, 0.999935, 0.924811, -0.037562, 1.000000, 0.993167, 1.000000
0.715000, 0.999964, 0.931357, -0.034303, 1.000000, 0.994836, 1.000000
0.720000, 0.999981, 0.938181, -0.030900, 1.000000, 0.996145, 1.000000
0.725000, 0.999990, 0.945231, -0.027379, 1.000000, 0.997158, 1.000000
0.730000, 0.999995, 0.952422, -0.023786, 1.000000, 0.997931, 1.000000
0.735000, 0.999997, 0.959623, -0.020187, 1.000000, 0.998513, 1.000000
0.740000, 0.999999, 0.966656, -0.016671, 1.000000, 0.998945, 1.000000
0.745000, 0.999999, 0.973307, -0.013346, 1.000000, 0.999262, 1.000000
0.750000, 1.000000, 0.979361, -0.010319, 1.000000, 0.999490, 1.000000
