,04P,06G,06S,08AG,08P,10-12D,10G,10S,12AG,12P,12S,Mean,sem
0.0277777777777778,0.362505,0.470098,0.453835,0.333135,0.42844,0.367172,0.307593,0.339407,0.4576,0.390105,0.406684,0.392415818181818,0.0166824473595988
0.0833333333333333,0.379812,0.454043,0.477554,0.329593,0.455811,0.386978,0.315729,0.351119,0.466241,0.421056,0.438356,0.406935636363636,0.0172807401852587
0.138888888888889,0.403442,0.480292,0.516232,0.349352,0.414232,0.385221,0.329289,0.373002,0.474749,0.363472,0.39764,0.407902090909091,0.0178182900115454
0.194444444444444,0.420464,0.497995,0.524191,0.373974,0.47783,0.417826,0.371214,0.410569,0.497649,0.420657,0.426158,0.439866090909091,0.0155511144812282
0.25,0.456953,0.482373,0.545747,0.363659,0.441993,0.430199,0.36471,0.418436,0.506162,0.414316,0.456247,0.443708636363636,0.0166451256208006
0.305555555555556,0.405168,0.505293,0.487271,0.379627,0.505998,0.417698,0.357315,0.387813,0.500705,0.469052,0.474148,0.444553454545454,0.0168513355949576
0.361111111111111,0.42259,0.510419,0.512404,0.361203,0.476602,0.431743,0.362564,0.405916,0.511059,0.452431,0.475428,0.447487181818182,0.0168203354494807
0.416666666666667,0.45249,0.484657,0.53192,0.384102,0.469764,0.428595,0.377217,0.417639,0.495594,0.436371,0.448524,0.447897545454545,0.0140363966078864
0.472222222222222,0.454916,0.505598,0.561825,0.373713,0.45252,0.440089,0.376402,0.426534,0.517048,0.414601,0.461896,0.453194727272727,0.0173963183017614
0.527777777777778,0.461431,0.562526,0.534003,0.505413,0.527769,0.457943,0.39998,0.427549,0.528133,0.485282,0.509299,0.490848,0.0149389168087309
0.583333333333333,0.465444,0.616799,0.541576,0.42694,0.535758,0.460934,0.420711,0.449205,0.513639,0.487565,0.505913,0.493134909090909,0.0174333291789839
0.638888888888889,0.477592,0.644703,0.532582,0.418678,0.517343,0.470574,0.432746,0.463096,0.514782,0.490721,0.511908,0.497702272727273,0.0182298303762571
0.694444444444444,0.505212,0.691244,0.575618,0.458283,0.537987,0.477374,0.441152,0.463126,0.522117,0.499642,0.516225,0.517089090909091,0.0209713403323569
0.75,0.533498,0.664842,0.626361,0.515432,0.575946,0.544679,0.481095,0.518132,0.628318,0.561444,0.583013,0.566614545454545,0.0168603850977069
0.805555555555556,0.628649,0.771417,0.683145,0.596085,0.659771,0.650539,0.617827,0.638672,0.683987,0.667871,0.689149,0.662464727272727,0.0140649884917969
0.861111111111111,0.677486,0.698325,0.741515,0.581658,0.677192,0.668689,0.606072,0.651791,0.724411,0.689368,0.716215,0.675702,0.0145735477012291
0.916666666666667,0.764274,0.867833,0.80002,0.745883,0.792869,0.798454,0.770348,0.787274,0.822849,0.829687,0.840275,0.801796909090909,0.0108253487035623
0.972222222222222,0.876777,0.930593,0.896494,0.869048,0.912419,0.895779,0.881,0.889342,0.90989,0.909896,0.913304,0.898594727272727,0.00559481554670508
1.02777777777778,,,,,,,,,,,,,
1.08333333333333,,,,,,,,,,,,,
1.13888888888889,,,,,,,,,,,,,
1.19444444444444,,,,,,,,,,,,,
1.25,,,,,,,,,,,,,
1.30555555555556,,,,,,,,,,,,,
1.36111111111111,,,,,,,,,,,,,
1.41666666666667,,,,,,,,,,,,,
1.47222222222222,,,,,,,,,,,,,
1.52777777777778,,,,,,,,,,,,,
1.58333333333333,,,,,,,,,,,,,
1.63888888888889,,,,,,,,,,,,,
1.69444444444444,,,,,,,,,,,,,
1.75,,,,,,,,,,,,,
