,04P,06G,06S,08AG,08P,10-12D,10G,10S,12AG,12P,12S,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,mean,sem,,
0.25,0.001997,1.28E-4,9E-5,0.011447,8.35E-4,0.003895,0.020639,0.007289,2.67E-4,0.00261,0.001226,0.00458390909090909,0.00638172712444751,0.00458390909090909,0.00192416312602055,1.09090909083953E-6,4.35984683938358E-7,0.502291409090909,0.00192459911070449
0.255,0.00315,2.33E-4,1.64E-4,0.015667,0.001385,0.0059,0.026693,0.010496,4.69E-4,0.00409,0.002014,0.00638736363636364,0.00828909382589831,0.00638736363636364,0.00249925582477784,2.45454545455548E-6,8.87935668872871E-7,0.503192454545455,0.00250014376044671
0.26,0.004782,4.11E-4,2.91E-4,0.020638,0.002213,0.008601,0.033344,0.014546,7.96E-4,0.006173,0.003188,0.00863481818181818,0.0103926567615618,0.00863481818181818,0.00313350391391369,4.54545454553479E-6,1.7496162507332E-6,0.504315136363636,0.00313525353016442
0.265,0.006994,7E-4,4.98E-4,0.026235,0.003409,0.012086,0.040377,0.01944,0.001307,0.008983,0.004871,0.0113545454545455,0.0126165927362631,0.0113545454545455,0.00380404583990074,9.18181818188035E-6,3.36511024219734E-6,0.505672681818182,0.00380741095014294
0.27,0.009869,0.001154,8.25E-4,0.032281,0.005067,0.016396,0.047578,0.025114,0.002073,0.012621,0.007185,0.0145602727272727,0.0148780008138924,0.0145602727272727,0.00448588603002575,1.74545454545427E-5,6.30924809863129E-6,0.507271409090909,0.00449219527812438
0.275,0.013454,0.001843,0.001325,0.03858,0.007277,0.021517,0.054769,0.03144,0.003181,0.017143,0.010247,0.0182523636363636,0.0170967757970486,0.0182523636363636,0.00515487185851268,3.26363636364846E-5,1.14830093674175E-5,0.509109863636364,0.0051663548678801
0.28,0.017749,0.002854,0.002062,0.044951,0.010106,0.027373,0.061819,0.038252,0.004728,0.022553,0.014146,0.0224175454545455,0.0192024074395042,0.0224175454545455,0.00578974368621497,5.94545454545292E-5,2.0320327322154E-5,0.511179045454546,0.00581006401353712
0.285,0.022705,0.004285,0.003113,0.051255,0.01359,0.033838,0.068643,0.045364,0.00681,0.028787,0.018928,0.0270289090909091,0.021135874225849,0.0270289090909091,0.00637270585666224,1.05909090909018E-4,3.51768143023675E-5,0.5134615,0.00640788267096461
0.29,0.028226,0.006245,0.004559,0.05741,0.017724,0.040751,0.075189,0.052598,0.009514,0.035722,0.024587,0.0320477272727273,0.0228486152232073,0.0320477272727273,0.0068891166976892,1.83636363636275E-4,5.93009692895233E-5,0.515932045454546,0.00694841766697873
