Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000071, 0.000000, -0.000035, 0.000000, 0.033431, 0.000000
0.255000, 0.000134, 0.000000, -0.000067, 0.000000, 0.039147, 0.000000
0.260000, 0.000245, 0.000000, -0.000123, 0.000000, 0.045308, 0.000000
0.265000, 0.000437, 0.000000, -0.000218, 0.000000, 0.051845, 0.000000
0.270000, 0.000753, 0.000000, -0.000376, 0.000000, 0.058675, 0.000000
0.275000, 0.001259, 0.000000, -0.000629, 0.000000, 0.065701, 0.000000
0.280000, 0.002041, 0.000001, -0.001020, 0.000000, 0.072815, 0.142857
0.285000, 0.003210, 0.000002, -0.001604, 0.000000, 0.079907, 0.142857
0.290000, 0.004900, 0.000003, -0.002448, 0.000000, 0.086869, 0.142857
0.295000, 0.007260, 0.000006, -0.003627, 0.000000, 0.093596, 0.142857
0.300000, 0.010448, 0.000011, -0.005219, 0.000000, 0.099996, 0.142857
0.305000, 0.014611, 0.000019, -0.007296, 0.000000, 0.105991, 0.142857
0.310000, 0.019865, 0.000034, -0.009916, 0.000000, 0.111519, 0.142857
0.315000, 0.026278, 0.000059, -0.013109, 0.000000, 0.116538, 0.142857
0.320000, 0.033843, 0.000100, -0.016871, 0.000000, 0.121023, 0.142857
0.325000, 0.042471, 0.000167, -0.021152, 0.000000, 0.124971, 0.142857
0.330000, 0.051986, 0.000273, -0.025856, 0.000000, 0.128392, 0.142857
0.335000, 0.062130, 0.000440, -0.030845, 0.000000, 0.131310, 0.142857
0.340000, 0.072584, 0.000695, -0.035945, 0.142857, 0.133762, 0.142857
0.345000, 0.083002, 0.001078, -0.040962, 0.142857, 0.135791, 0.142857
0.350000, 0.093041, 0.001644, -0.045698, 0.142857, 0.137446, 0.142857
0.355000, 0.102394, 0.002462, -0.049966, 0.142857, 0.138779, 0.142857
0.360000, 0.110823, 0.003625, -0.053599, 0.142857, 0.139840, 0.142857
0.365000, 0.118173, 0.005248, -0.056463, 0.142857, 0.140680, 0.142857
0.370000, 0.124382, 0.007469, -0.058456, 0.142857, 0.141345, 0.142857
0.375000, 0.129468, 0.010457, -0.059505, 0.142857, 0.141883, 0.142857
0.380000, 0.133523, 0.014405, -0.059559, 0.142857, 0.142335, 0.142857
0.385000, 0.136689, 0.019528, -0.058580, 0.142857, 0.142746, 0.142857
0.390000, 0.139139, 0.026064, -0.056537, 0.142857, 0.143158, 0.142857
0.395000, 0.141058, 0.034259, -0.053400, 0.142857, 0.143618, 0.142857
0.400000, 0.142633, 0.044364, -0.049134, 0.142857, 0.144177, 0.142857
0.405000, 0.144041, 0.056621, -0.043710, 0.142857, 0.144893, 0.142857
0.410000, 0.145448, 0.071246, -0.037101, 0.142857, 0.145834, 0.142857
0.415000, 0.147009, 0.088424, -0.029293, 0.142857, 0.147080, 0.142857
0.420000, 0.148875, 0.108288, -0.020293, 0.142857, 0.148725, 0.142857
0.425000, 0.151190, 0.130909, -0.010140, 0.142857, 0.150877, 0.142857
0.430000, 0.154103, 0.156290, +0.001094, 0.142857, 0.153663, 0.142857
0.435000, 0.157766, 0.184355, +0.013295, 0.142857, 0.157223, 0.142857
0.440000, 0.162335, 0.214948, +0.026306, 0.142857, 0.161714, 0.142857
0.445000, 0.167972, 0.247834, +0.039931, 0.142857, 0.167304, 0.142857
0.450000, 0.174839, 0.282706, +0.053933, 0.142857, 0.174169, 0.142857
0.455000, 0.183097, 0.319194, +0.068048, 0.142857, 0.182491, 0.142857
0.460000, 0.192897, 0.356875, +0.081989, 0.142857, 0.192446, 0.142857
0.465000, 0.204376, 0.395291, +0.095458, 0.142857, 0.204204, 0.142857
0.470000, 0.218150, 0.433966, +0.107908, 0.142857, 0.217915, 0.142857
0.475000, 0.234515, 0.472419, +0.118952, 0.142857, 0.233704, 0.142857
0.480000, 0.253286, 0.510187, +0.128450, 0.142857, 0.251664, 0.142857
