SC-2012, 2006G, Definition
state<V>, 0.448305, Statewide fractional D vote
t-bias, -0.001689, state<V> minus average district D vote
S-fptp, 1, Seats from first past the post
S<V>est, 1.343017, Seats at state<V>
S50est, 2.809861, Seats at V=0.5
BS<V>, 4.59091, % Geometric Seat Bias at statewide<V>
BS50, 9.859131, % Simple Bias at V=0.5
BV<V>, 0.837957, % Vote Bias at statewide<V>
BV50, 1.639700, % Vote Bias at V=0.5
R<V>, 2.067667, Responsiveness as a slope in S(V) at statewide<V>
R50, 5.635239, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.214976, Number of responsive districts at statewide <V>
RD50, 3.816129, Number of responsive districts at V=0.5
EG<V>fpp, 25.375286, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 20.475040, Efficiency Gap at state<V> using estimated S(V)
