Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000129, 0.000000, -0.000065
0.255000, 0.000240, 0.000000, -0.000120
0.260000, 0.000432, 0.000000, -0.000216
0.265000, 0.000753, 0.000000, -0.000376
0.270000, 0.001271, 0.000001, -0.000635
0.275000, 0.002078, 0.000001, -0.001038
0.280000, 0.003292, 0.000002, -0.001645
0.285000, 0.005054, 0.000004, -0.002525
0.290000, 0.007525, 0.000008, -0.003758
0.295000, 0.010871, 0.000015, -0.005428
0.300000, 0.015244, 0.000028, -0.007608
0.305000, 0.020763, 0.000049, -0.010357
0.310000, 0.027488, 0.000086, -0.013701
0.315000, 0.035400, 0.000145, -0.017627
0.320000, 0.044388, 0.000242, -0.022073
0.325000, 0.054247, 0.000395, -0.026926
0.330000, 0.064688, 0.000632, -0.032028
0.335000, 0.075365, 0.000993, -0.037186
0.340000, 0.085908, 0.001529, -0.042190
0.345000, 0.095963, 0.002309, -0.046827
0.350000, 0.105224, 0.003423, -0.050901
0.355000, 0.113467, 0.004979, -0.054244
0.360000, 0.120561, 0.007111, -0.056725
0.365000, 0.126472, 0.009971, -0.058251
0.370000, 0.131253, 0.013732, -0.058760
0.375000, 0.135026, 0.018581, -0.058223
0.380000, 0.137961, 0.024711, -0.056625
0.385000, 0.140252, 0.032312, -0.053970
0.390000, 0.142105, 0.041562, -0.050271
0.395000, 0.143717, 0.052611, -0.045553
0.400000, 0.145279, 0.065576, -0.039851
0.405000, 0.146969, 0.080526, -0.033222
0.410000, 0.148959, 0.097483, -0.025738
0.415000, 0.151413, 0.116416, -0.017499
0.420000, 0.154497, 0.137244, -0.008626
0.425000, 0.158375, 0.159845, +0.000735
0.430000, 0.163219, 0.184064, +0.010423
0.435000, 0.169196, 0.209728, +0.020266
0.440000, 0.176475, 0.236653, +0.030089
0.445000, 0.185213, 0.264657, +0.039722
0.450000, 0.195551, 0.293568, +0.049008
0.455000, 0.207643, 0.323225, +0.057791
0.460000, 0.221615, 0.353480, +0.065932
0.465000, 0.237548, 0.384191, +0.073321
0.470000, 0.255481, 0.415218, +0.079868
0.475000, 0.275405, 0.446412, +0.085503
0.480000, 0.297267, 0.477613, +0.090173
0.485000, 0.320963, 0.508640, +0.093838
0.490000, 0.346347, 0.539294, +0.096474
0.495000, 0.373232, 0.569355, +0.098061
0.500000, 0.401409, 0.598591, +0.098591
0.505000, 0.430645, 0.626768, +0.098061
0.510000, 0.460706, 0.653653, +0.096474
0.515000, 0.491360, 0.679037, +0.093838
0.520000, 0.522387, 0.702733, +0.090173
0.525000, 0.553588, 0.724595, +0.085503
0.530000, 0.584782, 0.744519, +0.079868
0.535000, 0.615809, 0.762452, +0.073321
0.540000, 0.646520, 0.778385, +0.065932
0.545000, 0.676775, 0.792357, +0.057791
0.550000, 0.706432, 0.804449, +0.049008
0.555000, 0.735343, 0.814787, +0.039722
0.560000, 0.763347, 0.823525, +0.030089
0.565000, 0.790272, 0.830804, +0.020266
0.570000, 0.815936, 0.836781, +0.010423
0.575000, 0.840155, 0.841625, +0.000735
0.580000, 0.862756, 0.845503, -0.008626
0.585000, 0.883584, 0.848587, -0.017499
0.590000, 0.902517, 0.851041, -0.025738
0.595000, 0.919474, 0.853031, -0.033222
0.600000, 0.934424, 0.854721, -0.039851
0.605000, 0.947389, 0.856283, -0.045553
0.610000, 0.958438, 0.857895, -0.050271
0.615000, 0.967688, 0.859748, -0.053970
0.620000, 0.975289, 0.862039, -0.056625
0.625000, 0.981419, 0.864974, -0.058223
0.630000, 0.986268, 0.868747, -0.058760
0.635000, 0.990029, 0.873528, -0.058251
0.640000, 0.992889, 0.879439, -0.056725
0.645000, 0.995021, 0.886533, -0.054244
0.650000, 0.996577, 0.894776, -0.050901
0.655000, 0.997691, 0.904037, -0.046827
0.660000, 0.998471, 0.914092, -0.042190
0.665000, 0.999007, 0.924635, -0.037186
0.670000, 0.999368, 0.935312, -0.032028
0.675000, 0.999605, 0.945753, -0.026926
0.680000, 0.999758, 0.955612, -0.022073
0.685000, 0.999855, 0.964600, -0.017627
0.690000, 0.999914, 0.972512, -0.013701
0.695000, 0.999951, 0.979237, -0.010357
0.700000, 0.999972, 0.984756, -0.007608
0.705000, 0.999985, 0.989129, -0.005428
0.710000, 0.999992, 0.992475, -0.003758
0.715000, 0.999996, 0.994946, -0.002525
0.720000, 0.999998, 0.996708, -0.001645
0.725000, 0.999999, 0.997922, -0.001038
0.730000, 0.999999, 0.998729, -0.000635
0.735000, 1.000000, 0.999247, -0.000376
0.740000, 1.000000, 0.999568, -0.000216
0.745000, 1.000000, 0.999760, -0.000120
0.750000, 1.000000, 0.999871, -0.000065
