Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000296, 0.000000, -0.000148
0.255000, 0.000535, 0.000000, -0.000267
0.260000, 0.000934, 0.000000, -0.000467
0.265000, 0.001576, 0.000000, -0.000788
0.270000, 0.002574, 0.000000, -0.001287
0.275000, 0.004066, 0.000000, -0.002033
0.280000, 0.006218, 0.000001, -0.003108
0.285000, 0.009206, 0.000001, -0.004602
0.290000, 0.013206, 0.000003, -0.006601
0.295000, 0.018366, 0.000005, -0.009180
0.300000, 0.024781, 0.000010, -0.012386
0.305000, 0.032466, 0.000017, -0.016224
0.310000, 0.041338, 0.000031, -0.020654
0.315000, 0.051208, 0.000053, -0.025577
0.320000, 0.061791, 0.000091, -0.030850
0.325000, 0.072726, 0.000153, -0.036286
0.330000, 0.083613, 0.000252, -0.041680
0.335000, 0.094061, 0.000408, -0.046826
0.340000, 0.103723, 0.000648, -0.051537
0.345000, 0.112336, 0.001011, -0.055663
0.350000, 0.119738, 0.001549, -0.059094
0.355000, 0.125873, 0.002332, -0.061770
0.360000, 0.130781, 0.003450, -0.063666
0.365000, 0.134579, 0.005016, -0.064781
0.370000, 0.137430, 0.007168, -0.065131
0.375000, 0.139526, 0.010072, -0.064727
0.380000, 0.141059, 0.013918, -0.063570
0.385000, 0.142210, 0.018920, -0.061645
0.390000, 0.143142, 0.025307, -0.058917
0.395000, 0.143998, 0.033321, -0.055338
0.400000, 0.144905, 0.043200, -0.050852
0.405000, 0.145977, 0.055170, -0.045404
0.410000, 0.147325, 0.069428, -0.038949
0.415000, 0.149062, 0.086134, -0.031464
0.420000, 0.151303, 0.105393, -0.022955
0.425000, 0.154183, 0.127250, -0.013467
0.430000, 0.157867, 0.151678, -0.003094
0.435000, 0.162502, 0.178582, +0.008040
0.440000, 0.168257, 0.207794, +0.019768
0.445000, 0.175308, 0.239081, +0.031887
0.450000, 0.183834, 0.272156, +0.044161
0.455000, 0.194011, 0.306684, +0.056336
0.460000, 0.206006, 0.342299, +0.068147
0.465000, 0.219967, 0.378617, +0.079325
0.470000, 0.236022, 0.415244, +0.089611
0.475000, 0.254263, 0.451793, +0.098765
0.480000, 0.274750, 0.487889, +0.106569
0.485000, 0.297501, 0.523180, +0.112840
0.490000, 0.322489, 0.557343, +0.117427
0.495000, 0.349641, 0.590088, +0.120224
0.500000, 0.378837, 0.621163, +0.121163
0.505000, 0.409912, 0.650359, +0.120224
0.510000, 0.442657, 0.677511, +0.117427
0.515000, 0.476820, 0.702499, +0.112840
0.520000, 0.512111, 0.725250, +0.106569
0.525000, 0.548207, 0.745737, +0.098765
0.530000, 0.584756, 0.763978, +0.089611
0.535000, 0.621383, 0.780033, +0.079325
0.540000, 0.657701, 0.793994, +0.068147
0.545000, 0.693316, 0.805989, +0.056336
0.550000, 0.727844, 0.816166, +0.044161
0.555000, 0.760919, 0.824692, +0.031887
0.560000, 0.792206, 0.831743, +0.019768
0.565000, 0.821418, 0.837498, +0.008040
0.570000, 0.848322, 0.842133, -0.003094
0.575000, 0.872750, 0.845817, -0.013467
0.580000, 0.894607, 0.848697, -0.022955
0.585000, 0.913866, 0.850938, -0.031464
0.590000, 0.930572, 0.852675, -0.038949
0.595000, 0.944830, 0.854023, -0.045404
0.600000, 0.956800, 0.855095, -0.050852
0.605000, 0.966679, 0.856002, -0.055338
0.610000, 0.974693, 0.856858, -0.058917
0.615000, 0.981080, 0.857790, -0.061645
0.620000, 0.986082, 0.858941, -0.063570
0.625000, 0.989928, 0.860474, -0.064727
0.630000, 0.992832, 0.862570, -0.065131
0.635000, 0.994984, 0.865421, -0.064781
0.640000, 0.996550, 0.869219, -0.063666
0.645000, 0.997668, 0.874127, -0.061770
0.650000, 0.998451, 0.880262, -0.059094
0.655000, 0.998989, 0.887664, -0.055663
0.660000, 0.999352, 0.896277, -0.051537
0.665000, 0.999592, 0.905939, -0.046826
0.670000, 0.999748, 0.916387, -0.041680
0.675000, 0.999847, 0.927274, -0.036286
0.680000, 0.999909, 0.938209, -0.030850
0.685000, 0.999947, 0.948792, -0.025577
0.690000, 0.999969, 0.958662, -0.020654
0.695000, 0.999983, 0.967534, -0.016224
0.700000, 0.999990, 0.975219, -0.012386
0.705000, 0.999995, 0.981634, -0.009180
0.710000, 0.999997, 0.986794, -0.006601
0.715000, 0.999999, 0.990794, -0.004602
0.720000, 0.999999, 0.993782, -0.003108
0.725000, 1.000000, 0.995934, -0.002033
0.730000, 1.000000, 0.997426, -0.001287
0.735000, 1.000000, 0.998424, -0.000788
0.740000, 1.000000, 0.999066, -0.000467
0.745000, 1.000000, 0.999465, -0.000267
0.750000, 1.000000, 0.999704, -0.000148
