Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000609, 0.000000, -0.000305, 0.000000, 0.075622, 0.142857
0.255000, 0.001070, 0.000000, -0.000535, 0.000000, 0.082676, 0.142857
0.260000, 0.001813, 0.000000, -0.000906, 0.000000, 0.089557, 0.142857
0.265000, 0.002966, 0.000000, -0.001483, 0.000000, 0.096165, 0.142857
0.270000, 0.004689, 0.000000, -0.002344, 0.000000, 0.102414, 0.142857
0.275000, 0.007163, 0.000000, -0.003581, 0.000000, 0.108231, 0.142857
0.280000, 0.010583, 0.000001, -0.005291, 0.000000, 0.113562, 0.142857
0.285000, 0.015127, 0.000002, -0.007563, 0.000000, 0.118372, 0.142857
0.290000, 0.020938, 0.000003, -0.010467, 0.000000, 0.122644, 0.142857
0.295000, 0.028083, 0.000006, -0.014039, 0.000000, 0.126381, 0.142857
0.300000, 0.036536, 0.000011, -0.018262, 0.000000, 0.129599, 0.142857
0.305000, 0.046154, 0.000020, -0.023067, 0.000000, 0.132326, 0.142857
0.310000, 0.056681, 0.000036, -0.028323, 0.000000, 0.134602, 0.142857
0.315000, 0.067765, 0.000062, -0.033851, 0.000000, 0.136473, 0.142857
0.320000, 0.078990, 0.000107, -0.039442, 0.142857, 0.137986, 0.142857
0.325000, 0.089926, 0.000180, -0.044873, 0.142857, 0.139192, 0.142857
0.330000, 0.100173, 0.000296, -0.049939, 0.142857, 0.140137, 0.142857
0.335000, 0.109411, 0.000480, -0.054466, 0.142857, 0.140868, 0.142857
0.340000, 0.117422, 0.000764, -0.058329, 0.142857, 0.141426, 0.142857
0.345000, 0.124105, 0.001194, -0.061456, 0.142857, 0.141845, 0.142857
0.350000, 0.129471, 0.001832, -0.063820, 0.142857, 0.142159, 0.142857
0.355000, 0.133619, 0.002764, -0.065428, 0.142857, 0.142394, 0.142857
0.360000, 0.136710, 0.004095, -0.066307, 0.142857, 0.142573, 0.142857
0.365000, 0.138935, 0.005964, -0.066486, 0.142857, 0.142717, 0.142857
0.370000, 0.140491, 0.008536, -0.065978, 0.142857, 0.142844, 0.142857
0.375000, 0.141563, 0.012012, -0.064776, 0.142857, 0.142972, 0.142857
0.380000, 0.142311, 0.016621, -0.062845, 0.142857, 0.143119, 0.142857
