SC-2012, 2010S, Definition
state<V>, 0.310199, Statewide fractional D vote
t-bias, -0.003948, state<V> minus average district D vote
S-fptp, 1, Seats from first past the post
S<V>est, 0.967766, Seats at state<V>
S50est, 2.712993, Seats at V=0.5
BS<V>, -6.91003, % Geometric Seat Bias at statewide<V>
BS50, 11.242957, % Simple Bias at V=0.5
BV<V>, -5.817294, % Vote Bias at statewide<V>
BV50, 1.908277, % Vote Bias at V=0.5
R<V>, 0.165137, Responsiveness as a slope in S(V) at statewide<V>
R50, 4.976020, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.126002, Number of responsive districts at statewide <V>
RD50, 3.127624, Number of responsive districts at V=0.5
EG<V>fpp, -2.245914, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -1.785433, Efficiency Gap at state<V> using estimated S(V)
