Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.024894, 0.000000, -0.012447, 0.000000, 0.090534, 0.142857
0.255000, 0.034290, 0.000000, -0.017145, 0.000000, 0.097096, 0.142857
0.260000, 0.045344, 0.000000, -0.022672, 0.000000, 0.103286, 0.142857
0.265000, 0.057675, 0.000000, -0.028838, 0.000000, 0.109035, 0.142857
0.270000, 0.070719, 0.000000, -0.035359, 0.000000, 0.114292, 0.142857
0.275000, 0.083799, 0.000000, -0.041900, 0.142857, 0.119025, 0.142857
0.280000, 0.096238, 0.000001, -0.048119, 0.142857, 0.123220, 0.142857
0.285000, 0.107452, 0.000001, -0.053725, 0.142857, 0.126881, 0.142857
0.290000, 0.117039, 0.000002, -0.058518, 0.142857, 0.130027, 0.142857
0.295000, 0.124810, 0.000004, -0.062403, 0.142857, 0.132688, 0.142857
0.300000, 0.130784, 0.000007, -0.065389, 0.142857, 0.134906, 0.142857
0.305000, 0.135141, 0.000013, -0.067564, 0.142857, 0.136726, 0.142857
0.310000, 0.138156, 0.000024, -0.069066, 0.142857, 0.138200, 0.142857
0.315000, 0.138981, 0.000042, -0.069470, 0.142857, 0.139378, 0.142857
0.320000, 0.139646, 0.000072, -0.069787, 0.142857, 0.140309, 0.142857
0.325000, 0.140227, 0.000123, -0.070052, 0.142857, 0.141043, 0.142857
0.330000, 0.140739, 0.000204, -0.070267, 0.142857, 0.141622, 0.142857
0.335000, 0.141198, 0.000335, -0.070431, 0.142857, 0.142090, 0.142857
0.340000, 0.141618, 0.000538, -0.070540, 0.142857, 0.142484, 0.142857
0.345000, 0.142018, 0.000850, -0.070584, 0.142857, 0.142842, 0.142857
0.350000, 0.142416, 0.001319, -0.070549, 0.142857, 0.143199, 0.142857
0.355000, 0.142836, 0.002011, -0.070412, 0.142857, 0.143592, 0.142857
0.360000, 0.143301, 0.003015, -0.070143, 0.142857, 0.144059, 0.142857
0.365000, 0.143842, 0.004441, -0.069700, 0.142857, 0.144640, 0.142857
0.370000, 0.144489, 0.006432, -0.069029, 0.142857, 0.145380, 0.142857
0.375000, 0.145282, 0.009158, -0.068062, 0.142857, 0.146327, 0.142857
0.380000, 0.146263, 0.012822, -0.066720, 0.142857, 0.147536, 0.142857
0.385000, 0.147479, 0.017657, -0.064911, 0.142857, 0.149064, 0.142857
0.390000, 0.148984, 0.023919, -0.062533, 0.142857, 0.150975, 0.142857
0.395000, 0.150836, 0.031881, -0.059477, 0.142857, 0.153333, 0.142857
0.400000, 0.153097, 0.041821, -0.055638, 0.142857, 0.156207, 0.142857
0.405000, 0.155833, 0.054005, -0.050914, 0.142857, 0.159660, 0.142857
0.410000, 0.159112, 0.068672, -0.045220, 0.142857, 0.163757, 0.142857
0.415000, 0.163003, 0.086012, -0.038496, 0.142857, 0.168553, 0.142857
0.420000, 0.167577, 0.106149, -0.030714, 0.142857, 0.174096, 0.142857
0.425000, 0.172901, 0.129127, -0.021887, 0.142857, 0.180423, 0.142857
0.430000, 0.179041, 0.154892, -0.012075, 0.142857, 0.187560, 0.142857
0.435000, 0.186061, 0.183289, -0.001386, 0.142857, 0.195517, 0.142857
0.440000, 0.194022, 0.214064, +0.010021, 0.142857, 0.204290, 0.142857
0.445000, 0.202982, 0.246869, +0.021944, 0.142857, 0.213866, 0.142857
0.450000, 0.213000, 0.281280, +0.034140, 0.142857, 0.224216, 0.142857
0.455000, 0.224136, 0.316816, +0.046340, 0.142857, 0.235306, 0.285714
0.460000, 0.236453, 0.352966, +0.058257, 0.142857, 0.247095, 0.285714
0.465000, 0.250022, 0.389219, +0.069598, 0.285714, 0.259544, 0.285714
0.470000, 0.264922, 0.425084, +0.080081, 0.285714, 0.272617, 0.285714
0.475000, 0.281241, 0.460119, +0.089439, 0.285714, 0.286287, 0.285714
0.480000, 0.299075, 0.493950, +0.097437, 0.285714, 0.300541, 0.285714
0.485000, 0.318527, 0.526275, +0.103874, 0.285714, 0.315382, 0.285714
0.490000, 0.339701, 0.556877, +0.108588, 0.285714, 0.330835, 0.285714
0.495000, 0.362690, 0.585617, +0.111463, 0.285714, 0.346945, 0.285714
0.500000, 0.387570, 0.612430, +0.112430, 0.428571, 0.363777, 0.428571
0.505000, 0.414383, 0.637310, +0.111463, 0.428571, 0.381412, 0.428571
0.510000, 0.443123, 0.660299, +0.108588, 0.428571, 0.399947, 0.428571
0.515000, 0.473725, 0.681473, +0.103874, 0.428571, 0.419480, 0.428571
0.520000, 0.506050, 0.700925, +0.097437, 0.428571, 0.440110, 0.428571
0.525000, 0.539881, 0.718759, +0.089439, 0.428571, 0.461917, 0.428571
0.530000, 0.574916, 0.735078, +0.080081, 0.428571, 0.484961, 0.428571
0.535000, 0.610781, 0.749978, +0.069598, 0.428571, 0.509264, 0.428571
0.540000, 0.647034, 0.763547, +0.058257, 0.571429, 0.534804, 0.428571
0.545000, 0.683184, 0.775864, +0.046340, 0.714286, 0.561505, 0.428571
0.550000, 0.718720, 0.787000, +0.034140, 0.857143, 0.589239, 0.428571
0.555000, 0.753131, 0.797018, +0.021944, 1.000000, 0.617816, 0.428571
0.560000, 0.785936, 0.805978, +0.010021, 1.000000, 0.646996, 0.571429
0.565000, 0.816711, 0.813939, -0.001386, 1.000000, 0.676493, 0.571429
0.570000, 0.845108, 0.820959, -0.012075, 1.000000, 0.705985, 0.714286
0.575000, 0.870873, 0.827099, -0.021887, 1.000000, 0.735131, 0.857143
0.580000, 0.893851, 0.832423, -0.030714, 1.000000, 0.763585, 0.857143
0.585000, 0.913988, 0.836997, -0.038496, 1.000000, 0.791013, 1.000000
