Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000000, 0.000001, +0.000000
0.255000, 0.000000, 0.000002, +0.000001
0.260000, 0.000000, 0.000003, +0.000001
0.265000, 0.000001, 0.000007, +0.000003
0.270000, 0.000002, 0.000013, +0.000005
0.275000, 0.000004, 0.000024, +0.000010
0.280000, 0.000007, 0.000044, +0.000018
0.285000, 0.000013, 0.000078, +0.000033
0.290000, 0.000024, 0.000137, +0.000057
0.295000, 0.000042, 0.000234, +0.000096
0.300000, 0.000074, 0.000390, +0.000158
0.305000, 0.000125, 0.000588, +0.000231
0.310000, 0.000208, 0.000810, +0.000301
0.315000, 0.000338, 0.001105, +0.000384
0.320000, 0.000536, 0.001494, +0.000479
0.325000, 0.000834, 0.002000, +0.000583
0.330000, 0.001270, 0.002653, +0.000691
0.335000, 0.001893, 0.003487, +0.000797
0.340000, 0.002762, 0.004543, +0.000890
0.345000, 0.003949, 0.005867, +0.000959
0.350000, 0.005532, 0.007513, +0.000991
0.355000, 0.007597, 0.009542, +0.000972
0.360000, 0.010231, 0.012021, +0.000895
0.365000, 0.013519, 0.015026, +0.000753
0.370000, 0.017536, 0.018640, +0.000552
0.375000, 0.022344, 0.022955, +0.000305
0.380000, 0.027985, 0.028067, +0.000041
0.385000, 0.034479, 0.034082, -0.000198
0.390000, 0.041822, 0.041111, -0.000356
0.395000, 0.049991, 0.049267, -0.000362
0.400000, 0.058948, 0.058670, -0.000139
0.405000, 0.068646, 0.069439, +0.000397
0.410000, 0.079038, 0.081689, +0.001325
0.415000, 0.090091, 0.095532, +0.002720
0.420000, 0.101789, 0.111067, +0.004639
0.425000, 0.114143, 0.128380, +0.007119
0.430000, 0.127193, 0.147536, +0.010171
0.435000, 0.141011, 0.168572, +0.013780
0.440000, 0.155696, 0.191496, +0.017900
0.445000, 0.171366, 0.216276, +0.022455
0.450000, 0.188155, 0.242843, +0.027344
0.455000, 0.206199, 0.271083, +0.032442
0.460000, 0.225626, 0.300836, +0.037605
0.465000, 0.246547, 0.331903, +0.042678
0.470000, 0.269046, 0.364046, +0.047500
0.475000, 0.293172, 0.396992, +0.051910
0.480000, 0.318932, 0.430447, +0.055757
0.485000, 0.346290, 0.464100, +0.058905
0.490000, 0.375157, 0.497638, +0.061240
0.495000, 0.405401, 0.530755, +0.062677
0.500000, 0.436838, 0.563162, +0.063162
0.505000, 0.469245, 0.594599, +0.062677
0.510000, 0.502362, 0.624843, +0.061240
0.515000, 0.535900, 0.653710, +0.058905
0.520000, 0.569553, 0.681068, +0.055757
0.525000, 0.603008, 0.706828, +0.051910
0.530000, 0.635954, 0.730954, +0.047500
0.535000, 0.668097, 0.753453, +0.042678
0.540000, 0.699164, 0.774374, +0.037605
0.545000, 0.728917, 0.793801, +0.032442
0.550000, 0.757157, 0.811845, +0.027344
0.555000, 0.783724, 0.828634, +0.022455
0.560000, 0.808504, 0.844304, +0.017900
0.565000, 0.831428, 0.858989, +0.013780
0.570000, 0.852464, 0.872807, +0.010171
0.575000, 0.871620, 0.885857, +0.007119
0.580000, 0.888933, 0.898211, +0.004639
0.585000, 0.904468, 0.909909, +0.002720
0.590000, 0.918311, 0.920962, +0.001325
0.595000, 0.930561, 0.931354, +0.000397
0.600000, 0.941330, 0.941052, -0.000139
0.605000, 0.950733, 0.950009, -0.000362
0.610000, 0.958889, 0.958178, -0.000356
0.615000, 0.965918, 0.965521, -0.000198
0.620000, 0.971933, 0.972015, +0.000041
0.625000, 0.977045, 0.977656, +0.000305
0.630000, 0.981360, 0.982464, +0.000552
0.635000, 0.984974, 0.986481, +0.000753
0.640000, 0.987979, 0.989769, +0.000895
0.645000, 0.990458, 0.992403, +0.000972
0.650000, 0.992487, 0.994468, +0.000991
0.655000, 0.994133, 0.996051, +0.000959
0.660000, 0.995457, 0.997238, +0.000890
0.665000, 0.996513, 0.998107, +0.000797
0.670000, 0.997347, 0.998730, +0.000691
0.675000, 0.998000, 0.999166, +0.000583
0.680000, 0.998506, 0.999464, +0.000479
0.685000, 0.998895, 0.999662, +0.000384
0.690000, 0.999190, 0.999792, +0.000301
0.695000, 0.999412, 0.999875, +0.000231
0.700000, 0.999610, 0.999926, +0.000158
0.705000, 0.999766, 0.999958, +0.000096
0.710000, 0.999863, 0.999976, +0.000057
0.715000, 0.999922, 0.999987, +0.000033
0.720000, 0.999956, 0.999993, +0.000018
0.725000, 0.999976, 0.999996, +0.000010
0.730000, 0.999987, 0.999998, +0.000005
0.735000, 0.999993, 0.999999, +0.000003
0.740000, 0.999997, 1.000000, +0.000001
0.745000, 0.999998, 1.000000, +0.000001
0.750000, 0.999999, 1.000000, +0.000000
