TN-2012, 2006S, Definition
state<V>, 0.486205, Statewide fractional D vote
t-bias, -0.000154, state<V> minus average district D vote
S-fptp, 2, Seats from first past the post
S<V>est, 2.510572, Seats at state<V>
S50est, 2.918412, Seats at V=0.5
BS<V>, 16.6329, % Geometric Seat Bias at statewide<V>
BS50, 17.573204, % Simple Bias at V=0.5
BV<V>, 2.524270, % Vote Bias at statewide<V>
BV50, 3.228246, % Vote Bias at V=0.5
R<V>, 2.687280, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.704139, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.841848, Number of responsive districts at statewide <V>
RD50, 2.952754, Number of responsive districts at V=0.5
EG<V>fpp, 25.018778, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 19.345759, Efficiency Gap at state<V> using estimated S(V)
