Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000548, 0.000000, -0.000274, 0.000000, 0.090275, 0.111111
0.255000, 0.000955, 0.000000, -0.000478, 0.000000, 0.093831, 0.111111
0.260000, 0.001609, 0.000000, -0.000804, 0.000000, 0.096979, 0.111111
0.265000, 0.002615, 0.000001, -0.001307, 0.000000, 0.099731, 0.111111
0.270000, 0.004106, 0.000002, -0.002052, 0.000000, 0.102112, 0.111111
0.275000, 0.006229, 0.000004, -0.003113, 0.000000, 0.104157, 0.111111
0.280000, 0.009137, 0.000007, -0.004565, 0.000000, 0.105909, 0.111111
0.285000, 0.012966, 0.000013, -0.006477, 0.000000, 0.107421, 0.111111
0.290000, 0.017816, 0.000023, -0.008897, 0.000000, 0.108748, 0.111111
0.295000, 0.023725, 0.000042, -0.011842, 0.000000, 0.109949, 0.111111
0.300000, 0.030648, 0.000073, -0.015288, 0.000000, 0.111087, 0.111111
0.305000, 0.038454, 0.000125, -0.019165, 0.000000, 0.112222, 0.111111
0.310000, 0.046926, 0.000211, -0.023358, 0.000000, 0.113420, 0.111111
0.315000, 0.055779, 0.000347, -0.027716, 0.000000, 0.114740, 0.111111
0.320000, 0.064699, 0.000559, -0.032070, 0.111111, 0.116242, 0.111111
0.325000, 0.073377, 0.000882, -0.036247, 0.111111, 0.117983, 0.111111
0.330000, 0.081549, 0.001366, -0.040091, 0.111111, 0.120015, 0.111111
0.335000, 0.089031, 0.002073, -0.043479, 0.111111, 0.122380, 0.111111
0.340000, 0.095736, 0.003085, -0.046325, 0.111111, 0.125116, 0.111111
0.345000, 0.101676, 0.004505, -0.048586, 0.111111, 0.128246, 0.111111
0.350000, 0.106954, 0.006454, -0.050250, 0.111111, 0.131785, 0.111111
0.355000, 0.111739, 0.009079, -0.051330, 0.111111, 0.135731, 0.111111
0.360000, 0.116236, 0.012544, -0.051846, 0.111111, 0.140066, 0.111111
0.365000, 0.120662, 0.017034, -0.051814, 0.111111, 0.144759, 0.111111
0.370000, 0.125213, 0.022743, -0.051235, 0.111111, 0.149764, 0.111111
0.375000, 0.130049, 0.029874, -0.050088, 0.111111, 0.155021, 0.111111
0.380000, 0.135281, 0.038628, -0.048326, 0.111111, 0.160458, 0.111111
0.385000, 0.140961, 0.049196, -0.045882, 0.111111, 0.166000, 0.111111
0.390000, 0.147087, 0.061753, -0.042667, 0.111111, 0.171564, 0.222222
0.395000, 0.153609, 0.076445, -0.038582, 0.111111, 0.177071, 0.222222
0.400000, 0.160434, 0.093386, -0.033524, 0.111111, 0.182448, 0.222222
0.405000, 0.167444, 0.112646, -0.027399, 0.222222, 0.187632, 0.222222
0.410000, 0.174509, 0.134253, -0.020128, 0.222222, 0.192574, 0.222222
0.415000, 0.181500, 0.158180, -0.011660, 0.222222, 0.197248, 0.222222
0.420000, 0.188304, 0.184349, -0.001978, 0.222222, 0.201646, 0.222222
0.425000, 0.194840, 0.212626, +0.008893, 0.222222, 0.205786, 0.222222
0.430000, 0.201062, 0.242821, +0.020879, 0.222222, 0.209713, 0.222222
0.435000, 0.206972, 0.274690, +0.033859, 0.222222, 0.213497, 0.222222
0.440000, 0.212615, 0.307936, +0.047661, 0.222222, 0.217238, 0.222222
0.445000, 0.218083, 0.342218, +0.062068, 0.222222, 0.221060, 0.222222
0.450000, 0.223509, 0.377154, +0.076823, 0.222222, 0.225112, 0.222222
0.455000, 0.229059, 0.412334, +0.091638, 0.222222, 0.229566, 0.222222
0.460000, 0.234923, 0.447331, +0.106204, 0.222222, 0.234611, 0.222222
0.465000, 0.241308, 0.481716, +0.120204, 0.222222, 0.240453, 0.222222
0.470000, 0.248427, 0.515075, +0.133324, 0.222222, 0.247303, 0.222222
0.475000, 0.256488, 0.547021, +0.145266, 0.222222, 0.255376, 0.222222
0.480000, 0.265688, 0.577211, +0.155761, 0.222222, 0.264880, 0.222222
0.485000, 0.276204, 0.605361, +0.164578, 0.222222, 0.276008, 0.222222
0.490000, 0.289640, 0.631250, +0.170805, 0.222222, 0.288929, 0.222222
0.495000, 0.305747, 0.654731, +0.174492, 0.222222, 0.303778, 0.222222
0.500000, 0.324268, 0.675732, +0.175732, 0.222222, 0.320648, 0.222222
0.505000, 0.345269, 0.694253, +0.174492, 0.222222, 0.339584, 0.222222
0.510000, 0.368750, 0.710360, +0.170805, 0.222222, 0.360575, 0.222222
0.515000, 0.394639, 0.723796, +0.164578, 0.222222, 0.383553, 0.222222
0.520000, 0.422789, 0.734312, +0.155761, 0.222222, 0.408391, 0.222222
0.525000, 0.452979, 0.743512, +0.145266, 0.222222, 0.434909, 0.222222
0.530000, 0.484925, 0.751573, +0.133324, 0.444444, 0.462875, 0.444444
0.535000, 0.518284, 0.758692, +0.120204, 0.666667, 0.492017, 0.444444
0.540000, 0.552669, 0.765077, +0.106204, 0.666667, 0.522035, 0.666667
0.545000, 0.587666, 0.770941, +0.091638, 0.666667, 0.552605, 0.666667
0.550000, 0.622846, 0.776491, +0.076823, 0.666667, 0.583402, 0.666667
0.555000, 0.657782, 0.781917, +0.062068, 0.666667, 0.614102, 0.666667
0.560000, 0.692064, 0.787385, +0.047661, 0.666667, 0.644402, 0.666667
0.565000, 0.725310, 0.793028, +0.033859, 0.888889, 0.674022, 0.666667
0.570000, 0.757179, 0.798938, +0.020879, 0.888889, 0.702715, 0.666667
0.575000, 0.787374, 0.805160, +0.008893, 0.888889, 0.730275, 0.888889
0.580000, 0.815651, 0.811696, -0.001978, 0.888889, 0.756532, 0.888889
0.585000, 0.841820, 0.818500, -0.011660, 0.888889, 0.781360, 0.888889
0.590000, 0.865747, 0.825491, -0.020128, 0.888889, 0.804669, 0.888889
0.595000, 0.887354, 0.832556, -0.027399, 1.000000, 0.826407, 0.888889
0.600000, 0.906614, 0.839566, -0.033524, 1.000000, 0.846550, 0.888889
0.605000, 0.923555, 0.846391, -0.038582, 1.000000, 0.865101, 0.888889
0.610000, 0.938247, 0.852913, -0.042667, 1.000000, 0.882086, 0.888889
0.615000, 0.950804, 0.859039, -0.045882, 1.000000, 0.897546, 0.888889
0.620000, 0.961372, 0.864719, -0.048326, 1.000000, 0.911535, 1.000000
0.625000, 0.970126, 0.869951, -0.050088, 1.000000, 0.924117, 1.000000
0.630000, 0.977257, 0.874787, -0.051235, 1.000000, 0.935363, 1.000000
0.635000, 0.982966, 0.879338, -0.051814, 1.000000, 0.945346, 1.000000
0.640000, 0.987456, 0.883764, -0.051846, 1.000000, 0.954147, 1.000000
0.645000, 0.990921, 0.888261, -0.051330, 1.000000, 0.961847, 1.000000
0.650000, 0.993546, 0.893046, -0.050250, 1.000000, 0.968528, 1.000000
0.655000, 0.995495, 0.898324, -0.048586, 1.000000, 0.974276, 1.000000
0.660000, 0.996915, 0.904264, -0.046325, 1.000000, 0.979174, 1.000000
0.665000, 0.997927, 0.910969, -0.043479, 1.000000, 0.983307, 1.000000
0.670000, 0.998634, 0.918451, -0.040091, 1.000000, 0.986759, 1.000000
0.675000, 0.999118, 0.926623, -0.036247, 1.000000, 0.989610, 1.000000
0.680000, 0.999441, 0.935301, -0.032070, 1.000000, 0.991937, 1.000000
0.685000, 0.999653, 0.944221, -0.027716, 1.000000, 0.993815, 1.000000
0.690000, 0.999789, 0.953074, -0.023358, 1.000000, 0.995312, 1.000000
0.695000, 0.999875, 0.961546, -0.019165, 1.000000, 0.996489, 1.000000
0.700000, 0.999927, 0.969352, -0.015288, 1.000000, 0.997403, 1.000000
0.705000, 0.999958, 0.976275, -0.011842, 1.000000, 0.998103, 1.000000
0.710000, 0.999977, 0.982184, -0.008897, 1.000000, 0.998633, 1.000000
0.715000, 0.999987, 0.987034, -0.006477, 1.000000, 0.999027, 1.000000
0.720000, 0.999993, 0.990863, -0.004565, 1.000000, 0.999317, 1.000000
0.725000, 0.999996, 0.993771, -0.003113, 1.000000, 0.999527, 1.000000
0.730000, 0.999998, 0.995894, -0.002052, 1.000000, 0.999677, 1.000000
0.735000, 0.999999, 0.997385, -0.001307, 1.000000, 0.999782, 1.000000
0.740000, 1.000000, 0.998391, -0.000804, 1.000000, 0.999855, 1.000000
0.745000, 1.000000, 0.999045, -0.000478, 1.000000, 0.999905, 1.000000
0.750000, 1.000000, 0.999452, -0.000274, 1.000000, 0.999939, 1.000000
