Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.052851, 0.000000, -0.026425
0.255000, 0.063848, 0.000000, -0.031924
0.260000, 0.074366, 0.000000, -0.037183
0.265000, 0.083841, 0.000001, -0.041920
0.270000, 0.091896, 0.000002, -0.045947
0.275000, 0.098387, 0.000003, -0.049192
0.280000, 0.103394, 0.000006, -0.051694
0.285000, 0.107165, 0.000011, -0.053577
0.290000, 0.110050, 0.000021, -0.055015
0.295000, 0.112433, 0.000038, -0.056197
0.300000, 0.114678, 0.000067, -0.057305
0.305000, 0.117103, 0.000117, -0.058493
0.310000, 0.119965, 0.000198, -0.059884
0.315000, 0.123460, 0.000329, -0.061566
0.320000, 0.127718, 0.000535, -0.063591
0.325000, 0.132805, 0.000854, -0.065975
0.330000, 0.138718, 0.001336, -0.068691
0.335000, 0.145388, 0.002051, -0.071668
0.340000, 0.152678, 0.003086, -0.074796
0.345000, 0.160398, 0.004558, -0.077920
0.350000, 0.168316, 0.006609, -0.080854
0.355000, 0.176181, 0.009408, -0.083386
0.360000, 0.183749, 0.013158, -0.085295
0.365000, 0.190800, 0.018085, -0.086358
0.370000, 0.197165, 0.024437, -0.086364
0.375000, 0.202728, 0.032479, -0.085124
0.380000, 0.207438, 0.042479, -0.082480
0.385000, 0.211302, 0.054696, -0.078303
0.390000, 0.214372, 0.069366, -0.072503
0.395000, 0.216737, 0.086688, -0.065025
0.400000, 0.217951, 0.106806, -0.055572
0.405000, 0.218746, 0.129799, -0.044474
0.410000, 0.219438, 0.155662, -0.031888
0.415000, 0.220048, 0.184304, -0.017872
0.420000, 0.220601, 0.215539, -0.002531
0.425000, 0.221125, 0.249088, +0.013981
0.430000, 0.221656, 0.284581, +0.031463
0.435000, 0.222236, 0.321573, +0.049668
0.440000, 0.222920, 0.359555, +0.068317
0.445000, 0.223774, 0.397973, +0.087099
0.450000, 0.224883, 0.436254, +0.105685
0.455000, 0.226351, 0.473828, +0.123739
0.460000, 0.228307, 0.510156, +0.140925
0.465000, 0.230905, 0.544748, +0.156922
0.470000, 0.234325, 0.577187, +0.171431
0.475000, 0.238777, 0.607141, +0.184182
0.480000, 0.244495, 0.634376, +0.194941
0.485000, 0.251731, 0.658756, +0.203512
0.490000, 0.260751, 0.680241, +0.209745
0.495000, 0.271823, 0.698879, +0.213528
0.500000, 0.285204, 0.714796, +0.214796
0.505000, 0.301121, 0.728177, +0.213528
0.510000, 0.319759, 0.739249, +0.209745
0.515000, 0.341244, 0.748269, +0.203512
0.520000, 0.365624, 0.755505, +0.194941
0.525000, 0.392859, 0.761223, +0.184182
0.530000, 0.422813, 0.765675, +0.171431
0.535000, 0.455252, 0.769095, +0.156922
0.540000, 0.489844, 0.771693, +0.140925
0.545000, 0.526172, 0.773649, +0.123739
0.550000, 0.563746, 0.775117, +0.105685
0.555000, 0.602027, 0.776226, +0.087099
0.560000, 0.640445, 0.777080, +0.068317
0.565000, 0.678427, 0.777764, +0.049668
0.570000, 0.715419, 0.778344, +0.031463
0.575000, 0.750912, 0.778875, +0.013981
0.580000, 0.784461, 0.779399, -0.002531
0.585000, 0.815696, 0.779952, -0.017872
0.590000, 0.844338, 0.780562, -0.031888
0.595000, 0.870201, 0.781254, -0.044474
0.600000, 0.893194, 0.782049, -0.055572
0.605000, 0.913312, 0.783263, -0.065025
0.610000, 0.930634, 0.785628, -0.072503
0.615000, 0.945304, 0.788698, -0.078303
0.620000, 0.957521, 0.792562, -0.082480
0.625000, 0.967521, 0.797272, -0.085124
0.630000, 0.975563, 0.802835, -0.086364
0.635000, 0.981915, 0.809200, -0.086358
0.640000, 0.986842, 0.816251, -0.085295
0.645000, 0.990592, 0.823819, -0.083386
0.650000, 0.993391, 0.831684, -0.080854
0.655000, 0.995442, 0.839602, -0.077920
0.660000, 0.996914, 0.847322, -0.074796
0.665000, 0.997949, 0.854612, -0.071668
0.670000, 0.998664, 0.861282, -0.068691
0.675000, 0.999146, 0.867195, -0.065975
0.680000, 0.999465, 0.872282, -0.063591
0.685000, 0.999671, 0.876540, -0.061566
0.690000, 0.999802, 0.880035, -0.059884
0.695000, 0.999883, 0.882897, -0.058493
0.700000, 0.999933, 0.885322, -0.057305
0.705000, 0.999962, 0.887567, -0.056197
0.710000, 0.999979, 0.889950, -0.055015
0.715000, 0.999989, 0.892835, -0.053577
0.720000, 0.999994, 0.896606, -0.051694
0.725000, 0.999997, 0.901613, -0.049192
0.730000, 0.999998, 0.908104, -0.045947
0.735000, 0.999999, 0.916159, -0.041920
0.740000, 1.000000, 0.925634, -0.037183
0.745000, 1.000000, 0.936152, -0.031924
0.750000, 1.000000, 0.947149, -0.026425
